月別,火災件数／計,建物／小計,全焼,半焼,部分焼,ぼや,車両,船舶,航空機,林野,その他,り災世帯数／計,全損,半損,小損,り災人員,焼損棟数／計,全焼,半焼,部分焼,ぼや,焼損床面積(m2),損害額(千円),死者,傷者
計,6678,3893,321,255,329,2988,716,4,－,22,2043,4463,647,470,3346,11249,5144,429,318,365,4032,63904,15289368,118,1055
1,728,437,32,32,42,331,54,1,－,5,231,576,88,66,422,1442,609,51,42,47,469,6408,1708524,15,110
2,521,361,32,24,40,265,45,1,－,－,114,473,76,38,359,1213,480,44,26,41,369,6647,1850509,17,109
3,723,404,50,27,31,296,63,－,－,8,248,512,59,89,364,1244,567,57,40,36,434,7618,1496465,10,90
4,556,344,35,19,34,256,56,－,－,2,154,448,58,39,351,1191,470,46,24,36,364,5310,1291491,8,103
5,550,294,31,17,28,218,83,－,－,－,173,361,82,41,238,902,400,45,22,34,299,6775,1593757,20,111
6,450,259,17,16,29,197,55,1,－,－,135,250,30,42,178,653,331,27,18,32,254,5197,924536,6,71
7,546,292,18,18,14,242,63,1,－,2,188,260,24,21,215,711,375,25,24,17,309,4506,847925,4,74
8,533,296,20,25,12,239,54,－,－,2,181,289,39,24,226,700,369,25,27,13,304,3800,1122192,2,80
9,426,251,18,24,19,190,52,－,－,－,123,295,41,27,227,730,344,24,29,25,266,4375,1465057,6,64
10,414,234,13,13,12,196,53,－,－,－,127,261,42,13,206,621,289,17,16,13,243,3225,610112,3,70
11,550,327,26,18,30,253,65,－,－,－,158,314,50,33,231,736,404,30,22,30,322,3716,814729,11,65
12,681,394,29,22,38,305,73,－,－,3,211,424,58,37,329,1106,506,38,28,41,399,6327,1564071,16,108
