区分,計,国・公立／国立,国・公立／都立,国・公立／市・町・村立,公的／日本赤十字・済生会・国保団体連合会等,私的／病院,私的／診療所
計,460,8,12,7,6,367,60
千代田区,6,－,－,－,－,6,－
中央区,6,－,1,－,－,4,1
港区,13,－,1,－,1,11,－
品川区,15,－,－,－,－,10,5
大田区,35,－,－,－,1,26,8
目黒区,11,1,－,－,－,9,1
世田谷区,26,1,2,－,－,19,4
渋谷区,8,－,1,－,1,6,－
新宿区,12,1,－,－,－,10,1
中野区,14,－,－,－,－,10,4
杉並区,17,－,－,－,－,13,4
文京区,8,2,－,－,－,6,－
豊島区,20,－,1,－,－,18,1
北区,22,1,－,－,－,17,4
板橋区,32,－,2,－,－,27,3
練馬区,16,－,－,－,－,13,3
台東区,8,－,－,－,－,7,1
荒川区,12,－,－,－,－,12,－
足立区,22,－,－,－,－,22,－
墨田区,13,－,1,－,1,10,1
江東区,12,－,－,－,－,11,1
葛飾区,16,－,－,－,－,14,2
江戸川区,23,－,－,－,－,19,4
立川市,6,1,－,－,－,4,1
昭島市,4,－,－,－,－,4,－
国立市,－,－,－,－,－,－,－
小金井市,2,－,－,－,－,1,1
小平市,5,－,－,1,－,3,1
国分寺市,4,－,－,－,－,3,1
武蔵野市,9,－,－,－,1,7,1
田無市,3,－,－,－,－,3,－
保谷市,2,－,－,－,－,－,2
三鷹市,4,－,－,－,－,4,－
調布市,4,－,－,－,－,4,－
府中市,5,－,1,－,－,4,－
日野市,3,－,－,1,－,2,－
町田市,9,－,－,1,－,7,1
八王子市,10,－,－,－,1,8,1
青梅市,2,－,－,－,－,1,1
東村山市,5,－,1,－,－,3,1
福生市,2,－,－,－,－,2,－
狛江市,1,－,－,－,－,1,－
清瀬市,2,－,1,－,－,1,－
東大和市,1,－,－,－,－,1,－
武蔵村山市,1,1,－,－,－,－,－
稲城市,1,－,－,1,－,－,－
多摩市,1,－,－,－,－,1,－
東久留米市,2,－,－,－,－,2,－
秋川市,2,－,－,1,－,－,1
奥多摩町,1,－,－,1,－,－,－
瑞穂町,1,－,－,－,－,1,－
八丈町,1,－,－,1,－,－,－
