区分,件数／計,件数／従事,救助人員／計,救助人員／重症,救助人員／中等症,救助人員／軽症,救助人員／無症,救助人員／死亡,出場車両数／計,出場車両数／ポンプ車,出場車両数／救助車,出場車両数／化学車,出場車両数／はしご車,出場車両数／救急車,出場車両数／照明車,出場車両数／防災機動車,出場車両数／ヘリコプター,出場車両数／消防艇,出場車両数／救助先行者,出場車両数／その他,従事台数,出場人員,従事人員
計,4321,2696,3733,305,738,2072,427,191,16339,4633,2318,912,387,4496,47,21,25,143,2905,452,8515,73848,37859
火災,105,105,119,23,9,21,46,20,1672,807,93,73,165,161,15,1,4,1,209,143,1077,7367,4708
火災／逃げおくれ,98,98,111,20,9,20,46,16,1564,757,86,68,155,147,15,1,4,1,197,133,1007,6881,4396
火災／自損,7,7,8,3,－,1,－,4,108,50,7,5,10,14,－,－,－,－,12,10,70,486,312
交通,2417,1568,2455,135,459,1769,16,76,8239,2231,1220,520,98,2805,5,2,1,7,1244,106,4404,36346,18731
交通／自動車／自動車との衝突,1529,1062,1818,71,309,1395,10,33,5048,1345,661,358,66,1826,1,1,－,－,737,53,2970,21982,12512
交通／自動車／ガードレール等との衝突,676,448,564,44,141,359,5,15,2206,664,287,130,21,755,3,1,1,5,314,25,1212,9658,5191
交通／自動車／人との衝突,63,25,27,11,5,8,1,2,244,66,48,14,2,63,－,－,－,－,48,3,71,1107,313
交通／列車・電車／列車・電車との衝突,10,1,1,－,－,－,－,1,52,11,17,－,－,10,－,－,－,－,11,3,6,260,27
交通／列車・電車／自動車との衝突,12,8,14,2,2,7,－,3,60,15,9,2,1,17,1,－,－,－,12,3,41,254,169
交通／列車・電車／飛び込み自損等,127,24,31,7,2,－,－,22,629,130,198,16,8,134,－,－,－,2,122,19,104,3085,519
交通／列車・電車／転覆・脱線,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
交通／航空機墜落等その他,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
水難,104,60,53,10,10,4,1,28,681,153,56,23,7,105,24,17,9,135,112,40,342,3168,1620
