用途,火災件数／計,火災件数／全焼,火災件数／半焼,火災件数／部分焼,火災件数／ぼや,焼損棟数／計,焼損棟数／全焼,焼損棟数／半焼,焼損棟数／部分焼,焼損棟数／ぼや,り災世帯数／計,り災世帯数／全損,り災世帯数／半損,り災世帯数／小損,り災人員,焼損床面積(m2),損害額(千円),死者,傷者
計,1204,39,63,122,980,1445,57,74,134,1180,1270,197,153,920,2807,15873,4449883,26,272
(一)／イ／映画館,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,－,－,－
(二)／イ／キャバレー,7,－,－,－,7,7,－,－,－,7,－,－,－,－,－,－,664,－,－
(二)／イ／ナイトクラブ,5,－,－,1,4,5,－,－,1,4,－,－,－,－,－,25,11536,－,－
(二)／イ／その他(2項イ),4,－,－,2,2,5,－,－,2,3,－,－,－,－,－,37,35987,－,1
(二)／ロ／遊技場,9,－,－,－,9,9,－,－,－,9,1,－,－,1,6,－,143,－,－
(三)／イ／料理店,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,72,－,－
(三)／ロ／飲食店,144,3,6,13,122,159,3,6,14,136,56,7,6,43,147,1268,407122,－,31
(四)／百貨店,20,－,－,－,20,20,－,－,－,20,－,－,－,－,－,－,6346,－,1
(四)／物品販売店舗,39,3,2,3,31,49,4,2,3,40,25,6,2,17,91,966,288944,1,7
(五)／イ／旅館,1,1,－,－,－,2,1,－,－,1,1,1,－,－,5,299,7036,－,－
(五)／イ／ホテル,5,－,－,－,5,5,－,－,－,5,－,－,－,－,－,2,1317,－,1
(五)／ロ／寄宿舎,20,－,1,8,11,25,－,1,8,16,63,3,33,27,104,244,83381,1,2
(五)／ロ／共同住宅,388,2,18,55,313,427,3,20,58,346,576,82,68,426,1051,2559,644718,10,106
(六)／イ／病院,2,－,－,－,2,2,－,－,－,2,－,－,－,－,－,－,116,－,－
(六)／イ／診療所,8,－,－,3,5,9,－,－,3,6,4,－,1,3,11,41,60447,－,1
(六)／ロ／老人福祉施設,2,－,－,－,2,2,－,－,－,2,－,－,－,－,－,－,63,－,－
(七)／小学校,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,4,－,1
(九)／イ／熱気浴場,1,－,－,－,1,1,－,－,－,1,－,－,－,－,－,－,147,－,－
(九)／ロ／公衆浴場,3,－,－,－,3,3,－,－,－,3,1,－,－,1,4,－,2123,－,－
(十)／停車場,7,－,－,1,6,7,－,－,1,6,－,－,－,－,－,11,2809,－,－
(十二)／イ／工場,12,2,－,2,8,18,3,－,3,12,11,3,1,7,35,516,95860,－,3
(十二)／イ／作業場,90,4,4,5,77,100,4,4,6,86,81,12,2,67,212,1136,307367,－,17
(十三)／イ／車庫,10,－,1,－,9,11,－,1,－,10,4,1,－,3,11,116,53441,－,－
(十三)／イ／駐車場,12,－,－,－,12,13,－,－,－,13,3,－,－,3,13,－,10011,1,4
(十四)／倉庫,42,9,6,3,24,97,17,10,3,67,74,13,6,55,192,3413,948760,1,13
(十五)／事務所,40,1,－,6,33,47,1,－,7,39,9,3,1,5,22,230,114352,－,6
(十五)／その他の事業場,26,1,1,2,22,33,3,1,2,27,31,7,2,22,53,557,160209,－,7
共用部分／(十六)イの共用部分,65,－,－,－,65,65,－,－,－,65,－,－,－,－,－,－,6707,－,5
共用部分／(十六)ロの共用部分,25,1,－,3,21,26,1,－,3,22,4,2,－,2,8,55,9430,－,1
住宅部分,199,10,23,15,151,270,15,27,18,210,322,56,30,236,828,4009,1148602,11,64
空室部分,4,2,1,－,1,14,2,2,2,8,4,1,1,2,14,389,40914,－,－
工事部分,11,－,－,－,11,11,－,－,－,11,－,－,－,－,－,－,1255,1,1
