行政区,計,国立,公立・都立,公立・市町村立,"公的日本赤十字済生会・国保団体連合会等",私的・病院,私的・診療所,
平成27年,329,9,7,11,5,291,6,
平成28年,324,15,7,11,5,282,4,
平成29年,319,15,7,11,5,277,4,
平成30年,317,15,7,11,5,275,4, 
令和元年,318,15,7,11,5,275,5,
特別区,233,12,5,1,4,207,4,
千代田区,5,0,0,0,0,5,0,
中央区,2,0,0,0,0,1,1,
港区,8,1,0,0,1,6,0,
品川区,7,0,0,0,0,7,0,
大田区,15,2,0,0,1,12,0,
目黒区,9,1,0,0,0,8,0,
世田谷区,15,2,1,0,0,12,0,
渋谷区,6,0,1,0,1,4,0,
新宿区,12,3,0,0,0,9,0,
中野区,6,0,0,0,0,6,0,
杉並区,9,0,0,0,0,9,0,
文京区,7,2,1,0,0,4,0,
豊島区,13,0,1,0,0,11,1,
北区,10,0,0,0,0,10,0,
板橋区,23,0,0,0,0,23,0,
練馬区,8,0,0,0,0,7,1,
台東区,6,0,0,1,0,4,1,
荒川区,5,0,0,0,0,5,0,
足立区,27,0,0,0,0,27,0,
墨田区,8,0,1,0,1,6,0,
江東区,12,1,0,0,0,11,0,
葛飾区,9,0,0,0,0,9,0,
江戸川区,11,0,0,0,0,11,0,
受託地区,85,3,2,10,1,68,1,
立川市,5,1,0,0,0,4,0,
武蔵野市,5,0,0,0,1,4,0,
三鷹市,3,0,0,0,0,3,0,
府中市,6,0,2,0,0,4,0,
昭島市,5,0,0,0,0,5,0,
調布市,3,0,0,0,0,3,0,
小金井市,1,0,0,0,0,1,0,
小平市,3,0,0,1,0,2,0,
東村山市,4,0,0,0,0,4,0,
国分寺市,0,0,0,0,0,0,0,
国立市,1,0,0,0,0,1,0,
狛江市,1,0,0,0,0,1,0,
東大和市,1,0,0,0,0,1,0,
武蔵村山市,2,1,0,0,0,1,0,
清瀬市,4,1,0,0,0,3,0,
西東京市,5,0,0,0,0,5,0,
八王子市,12,0,0,0,0,12,0,
青梅市,2,0,0,1,0,1,0,
町田市,8,0,0,1,0,6,1,
日野市,2,0,0,1,0,1,0,
福生市,3,0,0,1,0,2,0,
多摩市,2,0,0,0,0,2,0,
あきる野市,1,0,0,1,0,0,0,
西多摩郡,1,0,0,1,0,0,0,
東久留米市,2,0,0,0,0,2,0,
稲城市,1,0,0,1,0,0,0,
八丈町,1,0,0,1,0,0,0,
大島町,1,0,0,1,0,0,0,
