ガス漏れ要因,火災件数／合計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／その他,焼損床面積(m2),損害額(千円),死傷者／死者,死傷者／傷者,火元建物等用途別火災件数／(一)ロ／集会所,火元建物等用途別火災件数／(三)ロ／飲食店,火元建物等用途別火災件数／(四)／物品販売店舗,火元建物等用途別火災件数／(五)イ／宿泊所,火元建物等用途別火災件数／(五)ロ／共同住宅,火元建物等用途別火災件数／(六)イ／老人福祉施設,火元建物等用途別火災件数／(七)／小学校,火元建物等用途別火災件数／(十ニ)イ／作業場,火元建物等用途別火災件数／住宅,火元建物等用途別火災件数／建物以外
計,26,25,2,4,1,18,1,527,63212,1,18,1,1,1,1,4,1,1,2,11,3
器具等の取扱不適,9,9,－,1,1,7,－,180,23533,－,8,－,1,－,－,3,－,－,1,4,－
器具等の取扱不適／コックの誤操作,6,6,－,1,－,5,－,173,22781,－,7,－,1,－,－,3,－,－,1,1,－
器具等の取扱不適／コックの誤操作／二口ガス栓の不使用側コックを開いた,4,4,－,－,－,4,－,－,197,－,3,－,－,－,－,2,－,－,1,1,－
器具等の取扱不適／コックの誤操作／誤って使用していないガスボンベのコックを開く,1,1,－,－,－,1,－,－,2998,－,1,－,1,－,－,－,－,－,－,－,－
器具等の取扱不適／コックの誤操作／誤って不使用側の器具栓を開く,1,1,－,1,－,－,－,173,19586,－,3,－,－,－,－,1,－,－,－,－,－
器具等の取扱不適／その他,3,3,－,－,1,2,－,7,752,－,1,－,－,－,－,－,－,－,－,3,－
器具等の取扱不適／その他／ゴム管が器具に接近していた,2,2,－,－,1,1,－,7,737,－,－,－,－,－,－,－,－,－,－,2,－
器具等の取扱不適／その他／開栓したままゴム管を切断した,1,1,－,－,－,1,－,－,15,－,1,－,－,－,－,－,－,－,－,1,－
維持管理不適,7,7,1,－,－,6,－,61,10906,－,3,1,－,1,1,－,－,－,1,3,－
維持管理不適／ゴム管結合部の緩み,2,2,－,－,－,2,－,－,34,－,1,－,－,1,－,－,－,－,1,－,－
維持管理不適／ゴム管結合部の緩み／ホースバンドなし,1,1,－,－,－,1,－,－,9,－,－,－,－,1,－,－,－,－,－,－,－
維持管理不適／ゴム管結合部の緩み／ゴム管差し込み不良,1,1,－,－,－,1,－,－,25,－,1,－,－,－,－,－,－,－,1,－,－
維持管理不適／ゴム管等の老化亀裂,5,5,1,－,－,4,－,61,10872,－,2,1,－,－,1,－,－,－,－,3,－
維持管理不適／ゴム管等の老化亀裂／ゴム管,3,3,－,－,－,3,－,－,133,－,2,1,－,－,1,－,－,－,－,1,－
維持管理不適／ゴム管等の老化亀裂／ガス管の腐食,1,1,－,－,－,1,－,－,2,－,－,－,－,－,－,－,－,－,－,1,－
維持管理不適／ゴム管等の老化亀裂／高圧導管,1,1,1,－,－,－,－,61,10737,－,－,－,－,－,－,－,－,－,－,1,－
ガス関係工事人の行為,2,2,－,－,－,2,－,－,3,－,2,－,－,－,－,－,－,1,－,1,－
その他,2,1,－,－,－,1,1,－,611,－,－,－,－,－,－,－,1,－,－,－,1
自殺,4,4,1,3,－,－,－,286,28141,1,3,－,－,－,－,1,－,－,－,2,1
その他意図的に放出,2,2,－,－,－,2,－,－,18,－,2,－,－,－,－,－,－,－,－,1,1
