用途,"防火管理者を選任し届出しなければならない防火対象物（令和元年12月末）","防火管理者を選任し届出している防火対象物（令和元年12月末）","防火管理者の選任届・解任届受理状況（令和元年中）・選任","防火管理者の選任届・解任届受理状況（令和元年中）・解任","統括防火管理者を選任し届出しなければならない防火対象物（令和元年12月末）","統括防火管理者を選任し届出している防火対象物（令和元年12月末）"
計,"109,324","103,404","62,125","47,195","42,734","28,969"
（一）・イ・劇場、映画館、演芸場又は観覧場,91,89,35,27,9,9
（一）・ロ・公会堂又は集会場,39,39,23,21,4,4
（二）・イ・キャバレー、カフェー、ナイトクラブその他これらに類するもの,33,27,16,7,17,6
（二）・ロ・遊技場又はダンスホール,445,438,201,198,24,19
（二）・ハ・その他の性風俗店舗,6,5,1,0,1,1
（二）・ニ・カラオケボックス等,177,177,135,133,9,3
"（三）・イ・待合、料理店その他これらに類するもの",59,53,7,5,2,0
（三）・ロ・飲　　　食　　　店,"4,035","3,783","1,964","1,562",674,435
（四）・百貨店、マーケットその他の物品販売業を営む店舗又は展示場,"3,832","3,560","2,118","1,787",172,127
（五）・イ・旅館、ホテル又は宿泊所,"1,466","1,449",607,469,85,79
（五）・ロ・寄宿舎、下宿又は共同住宅,"30,786","28,907","6,203","5,308",575,276
（六）・イ・（１）病院,199,197,62,59,3,3
（六）・イ・（２）有床診療所,124,123,25,20,8,4
（六）・イ・（３）病院（（六）項イ（１）を除く。）、有床診療所（（六）項イ（２）を除く。）又は有床助産所,406,405,85,81,10,10
（六）・イ・（４）無床診療所又は無床助産所,265,252,55,35,30,24
（六）・ロ・（１）老人短期入所施設、特別養護老人ホーム等,1707,1690,682,576,31,28
（六）・ロ・（２）救護施設,6,6,2,2,0,0
（六）・ロ・（３）乳児院,3,3,2,2,1,1
（六）・ロ・（４）障害児入所施設,13,13,2,1,0,0
（六）・ロ・（５）障害者支援施設等,109,105,50,28,0,0
（六）・ハ・（１）老人デイサービスセンター等,291,282,127,123,12,10
（六）・ハ・（２）更生施設,16,16,6,6,0,0
（六）・ハ・（３）助産施設、保育所等,1793,1770,724,497,20,18
（六）・ハ・（４）児童発達支援センター、情緒障害児短期治療施設等,39,39,14,5,1,1
（六）・ハ・（５）身体障害者福祉センター、障害者支援施設等,326,323,131,95,10,9
（六）・ニ・幼稚園又は特別支援学校,779,772,104,91,3,2
"（七）・小学校、中学校、高等学校、中等教育学校､高等専門学校､大学､専修学校､各種学校その他これらに類するもの",3296,3226,1089,1029,12,5
（八）・図書館、博物館、美術館その他これらに類するもの,261,260,61,60,0,0
"（九）・イ・公衆浴場のうち、蒸気浴場、熱気浴場その他これらに類するもの",153,152,32,31,10,10
（九）・ロ・イに掲げる公衆浴場以外の公衆浴場,332,331,8,9,1,1
（十）・車両の停車場又は船舶若しくは航空機の発着場,65,65,102,115,3,2
"(十一)・神社、寺院、教会その他これらに類するもの",1611,1569,107,88,3,1
(十二)・イ・工場又は作業場,847,807,131,121,2,2
(十二)・ロ・映画スタジオ又はテレビスタジオ,10,9,6,4,1,0
(十三)・イ・自動車車庫又は駐車場,218,206,39,31,14,9
(十三)・ロ・飛行機又は回転翼航空機の格納庫,1,1,0,0,0,0
(十四)倉庫,588,545,282,223,14,12
(十五)・①官公署,971,940,566,547,6,4
(十五)・②事務所,"8,010","7,586","6,239","4,206",544,296
(十五)・③その他の事業場,4059,3850,1670,1433,89,49
(十六)・イ特定用途を含む複合用途,34101,32005,34645,25403,25099,16860
(十六)・ロその他の複合用途,7695,7268,3403,2427,3445,1760
(十六の二)地下街,10,10,154,142,8,8
(十六の三)準地下街,0,0,0,0,2,2
(十七)文化財建造物,51,51,10,7,1,1
高層建築物,0,0,200,181,11779,8878
