区分,件数／計,件数／従事,救助人員／計,救助人員／重症,救助人員／中等症,救助人員／軽症,救助人員／無症,救助人員／死亡,出場車両数／計,出場車両数／ポンプ車,出場車両数／救助車,出場車両数／化学車,出場車両数／はしご車,出場車両数／救急車,出場車両数／照明車,出場車両数／防災機動車,出場車両数／ヘリコプター,出場車両数／消防艇,出場車両数／救助先行者,出場車両数／その他,従事台数,出場人員,従事人員
計,4115,2544,3558,263,734,1878,516,167,15136,4136,2240,868,331,4141,30,18,27,104,2731,510,7767,69055,34788
火災,74,74,81,12,7,17,31,14,1402,635,84,57,132,140,10,3,12,－,134,195,955,6125,4259
火災／逃げおくれ,71,71,78,11,7,17,31,12,1368,618,82,56,127,136,10,3,12,－,131,193,936,5955,4177
火災／自損,3,3,3,1,－,－,－,2,34,17,2,1,5,4,－,－,－,－,3,2,19,170,82
交通,2236,1460,2255,127,459,1592,18,59,7571,2011,1117,491,82,2568,－,－,4,－,1172,126,4062,33622,17477
交通／自動車／自動車との衝突,1387,974,1637,67,308,1228,12,22,4658,1207,629,332,51,1665,－,－,3,－,693,78,2775,20508,11881
交通／自動車／ガードレール等との衝突,668,430,552,39,144,353,6,10,2130,628,292,125,23,718,－,－,1,－,317,26,1111,9359,4798
交通／自動車／人との衝突,53,21,22,6,5,8,－,3,196,44,37,16,2,55,－,－,－,－,37,5,48,908,193
交通／列車・電車／列車・電車との衝突,13,4,7,1,2,－,－,4,65,13,16,3,－,16,－,－,－,－,16,1,22,307,102
交通／列車・電車／自動車との衝突,6,3,3,－,－,3,－,－,24,6,5,2,－,7,－,－,－,－,4,－,7,118,30
交通／列車・電車／飛び込み自損等,108,28,34,14,－,－,－,20,494,112,138,13,6,105,－,－,－,－,104,16,99,2404,473
交通／列車・電車／転覆・脱線,1,－,－,－,－,－,－,－,4,1,－,－,－,2,－,－,－,－,1,－,－,18,－
交通／航空機墜落等その他,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
水難,107,62,60,6,15,10,7,22,637,150,53,19,8,104,19,15,8,97,109,55,303,2923,1372
水難／海・河川等／船舶と船舶との衝突,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
水難／海・河川等／河川等への転落,50,29,31,2,11,4,3,11,309,68,27,12,6,50,11,8,3,43,52,29,164,1428,756
水難／海・プール・井戸等への転落,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
水難／飛び込み自損等,28,17,15,3,4,2,1,5,169,41,13,3,2,25,5,3,3,34,28,12,82,767,361
水難／その他,29,16,14,1,－,4,3,6,159,41,13,4,－,29,3,4,2,20,29,14,57,728,255
機械,225,95,136,2,12,20,97,5,862,180,220,49,10,166,－,－,－,－,213,24,271,4229,1412
機械／昇降機／エレベーターに閉じ込められ,104,55,95,－,－,－,95,－,344,70,100,21,4,45,－,－,－,－,95,9,137,1781,780
機械／昇降機／エレベーターにはさまれ,9,5,6,－,－,3,－,3,35,9,9,1,－,8,－,－,－,－,8,－,14,171,66
機械／昇降機／エスカレーターにはさまれ等,2,－,1,－,－,1,－,－,8,2,2,－,－,2,－,－,－,－,2,－,－,40,－
機械／昇降機／リフトダムウェーターにはさまれ,6,2,2,－,1,－,－,1,28,4,6,2,－,9,－,－,－,－,7,－,10,136,48
機械／プレス機械にはさまれ,4,1,1,1,－,－,－,－,19,3,5,2,－,5,－,－,－,－,4,－,5,99,28
機械／回転機械／印刷機械ローラーにはさまれ,16,5,5,－,2,3,－,－,75,18,18,1,－,16,－,－,－,－,18,4,20,326,85
機械／回転機械／その他の回転機械・かくはん機,31,12,12,1,6,4,1,－,132,27,31,9,2,31,－,－,－,－,31,1,39,642,182
機械／ベルトコンベアーにはさまれ・まき込まれ,13,3,3,－,2,1,－,－,51,13,12,1,2,11,－,－,－,－,11,1,10,257,47
機械／コンクリートミキサー等機械にはさまれ,1,－,－,－,－,－,－,－,4,1,1,－,－,1,－,－,－,－,1,－,－,19,－
機械／その他の機械／自動販売機等,3,1,1,－,－,1,－,－,10,1,2,2,－,2,－,－,－,－,3,－,3,53,14
機械／その他の機械／その他,36,11,10,－,1,7,1,1,156,32,34,10,2,36,－,－,－,－,33,9,33,705,162
建物・工作物,779,457,481,76,110,69,196,30,2298,566,397,122,56,499,－,－,－,1,612,45,1034,11201,5016
建物・工作物／建物・工作物／居室等閉じ込められ,400,223,238,24,37,10,157,10,1119,289,207,57,32,195,－,－,－,－,319,20,482,5524,2419
建物・工作物／建物・工作物／ドア等にはさまれ,62,32,32,－,1,22,9,－,225,44,44,13,6,60,－,－,－,－,54,4,77,1106,363
建物・工作物／家庭器具・洗濯機・扇風機等にはさまれ,17,13,13,－,－,7,6,－,51,14,8,2,－,14,－,－,－,－,12,1,28,241,134
建物・工作物／その他建物内事故(階段が狭く搬出不能),300,189,198,52,72,30,24,20,903,219,138,50,18,230,－,－,－,1,227,20,447,4330,2100
崩かい,36,17,143,2,7,3,128,3,164,48,28,7,5,35,－,－,－,－,35,6,74,804,372
崩かい／土砂くずれ,12,7,133,－,3,1,128,1,59,21,9,3,－,11,－,－,－,－,12,3,32,302,175
崩かい／建物・工作物の倒かい,8,1,1,－,1,－,－,－,35,9,6,1,1,9,－,－,－,－,8,1,4,169,21
崩かい／工事作業車(クレーン車等)の倒転,11,7,7,2,2,1,－,2,48,13,9,2,2,10,－,－,－,－,10,2,31,225,142
崩かい／荷くずれ,4,1,1,－,－,1,－,－,19,4,4,1,2,4,－,－,－,－,4,－,4,94,20
崩かい／物体の飛来落下,1,1,1,－,1,－,－,－,3,1,－,－,－,1,－,－,－,－,1,－,3,14,14
墜落,148,95,103,20,46,13,1,23,578,125,120,22,14,138,－,－,－,4,138,17,354,2767,1710
墜落／高所からの転落,67,42,48,8,21,9,1,9,252,51,51,13,5,63,－,－,－,－,60,9,150,1221,735
墜落／地下への転落,39,29,30,4,19,4,－,3,164,37,39,4,3,39,－,－,－,－,38,4,118,789,571
墜落／飛び降り自損等,42,24,25,8,6,－,－,11,162,37,30,5,6,36,－,－,－,4,40,4,86,757,404
ガス,67,16,21,3,8,6,－,4,282,57,59,11,9,75,－,－,－,－,64,7,56,1384,258
ガス／酸欠等／酸素欠乏,3,－,－,－,－,－,－,－,13,2,3,1,1,3,－,－,－,－,3,－,－,63,－
ガス／酸欠等／シンナー中毒等,3,1,3,－,1,2,－,－,16,3,3,－,－,6,－,－,－,－,3,1,4,73,18
ガス／一酸化炭素中毒,3,3,6,2,2,－,－,2,17,1,2,1,1,7,－,－,－,－,3,2,15,71,60
ガス／自損行為によるガス中毒,24,10,10,1,4,3,－,2,97,24,20,2,2,25,－,－,－,－,22,2,32,478,155
ガス／高圧ガス(塩素・アンモニア)中毒,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
ガス／爆発,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
ガス／その他,34,2,2,－,1,1,－,－,139,27,31,7,5,34,－,－,－,－,33,2,5,699,25
電気,2,1,1,－,－,－,－,1,9,1,1,1,1,2,－,－,－,－,2,1,6,41,28
電気／感電／柱上,1,1,1,－,－,－,－,1,6,－,1,1,1,1,－,－,－,－,1,1,6,28,28
電気／感電／その他,1,－,－,－,－,－,－,－,3,1,－,－,－,1,－,－,－,－,1,－,－,13,－
山岳,29,21,22,－,11,8,1,2,144,47,11,1,－,37,－,－,3,－,25,20,92,595,373
山岳／沢に転落・滑落,9,5,5,－,4,－,－,1,57,14,3,－,－,13,－,－,3,－,8,16,31,247,125
山岳／傷病,17,14,15,－,5,8,1,1,75,28,7,1,－,21,－,－,－,－,14,4,54,294,217
山岳／その他,3,2,2,－,2,－,－,－,12,5,1,－,－,3,－,－,－,－,3,－,7,54,31
その他,412,246,255,15,59,140,37,4,1189,316,150,88,14,377,1,－,－,2,227,14,560,5364,2511
その他／土管・ヒューム管にはさまれ,7,6,6,－,－,6,－,－,26,5,5,1,－,7,－,－,－,－,7,1,17,127,82
その他／自転車のリム等にはさまれ,71,25,31,－,－,31,－,－,214,56,18,12,－,72,－,－,－,－,54,2,62,984,282
その他／自動車内での病気になった等,136,109,106,8,29,57,11,1,304,99,16,35,2,125,－,－,－,－,27,－,224,1245,924
その他／その他の屋外での事故,198,106,112,7,30,46,26,3,645,156,111,40,12,173,1,－,－,2,139,11,257,3008,1223
