月別,計／回数,計／聴衆数,本庁行事／回数,本庁行事／聴衆数,消防署行事／回数,消防署行事／聴衆数,東京都関係／回数,東京都関係／聴衆数,官公庁関係／回数,官公庁関係／聴衆数,学校関係／回数,学校関係／聴衆数,一般／回数,一般／聴衆数
計,192,441490,51,62953,41,28127,37,27300,19,85700,7,5900,37,231510
1月,8,32900,5,31850,－,－,－,－,3,1050,－,－,－,－
2月,11,4470,2,170,5,2200,－,－,2,500,－,－,2,1600
3月,16,18033,5,1333,5,3300,1,1500,2,1100,－,－,3,10800
4月,16,13327,5,1700,4,2927,2,2000,3,4350,1,1350,1,1000
5月,14,9650,－,－,3,1900,6,4750,1,200,1,1000,3,1800
6月,14,28020,1,60,3,1210,7,4250,1,20000,－,－,2,2500
7月,18,30220,5,2120,3,6400,3,950,1,100,－,－,6,20650
8月,26,112680,9,10680,3,3500,7,4750,1,2000,－,－,6,91750
9月,18,7100,9,2900,4,1050,4,2800,－,－,－,－,1,350
10月,18,24010,4,7300,3,700,4,2900,3,6100,－,－,4,7010
11月,24,128690,2,650,8,4940,2,1400,2,50300,4,2850,6,68550
12月,9,32390,4,4190,－,－,1,2000,－,－,1,700,3,25500
