"救急隊出場先
区市町村","全事故
種別",一般負傷,"運動競技
事故","自然災害
事故",水難事故,"労働災害
事故"
全出場先,954.4 ,896.5 ,21.9 ,0.1 ,2.7 ,33.3 
千代田区,2692.8 ,2450.3 ,32.7 ,-,6.0 ,203.8 
中央区,1090.4 ,997.2 ,13.5 ,-,2.9 ,76.8 
港区,1282.8 ,1156.2 ,27.8 ,-,1.5 ,97.3 
品川区,906.2 ,850.4 ,21.9 ,-,2.5 ,31.5 
大田区,929.4 ,871.8 ,17.3 ,-,2.3 ,38.0 
目黒区,829.3 ,783.5 ,15.6 ,-,0.4 ,29.9 
世田谷区,820.3 ,775.1 ,24.0 ,0.1 ,2.6 ,18.5 
渋谷区,1220.8 ,1116.2 ,37.7 ,0.4 ,2.6 ,63.8 
新宿区,1353.0 ,1268.1 ,30.7 ,-,2.3 ,51.8 
中野区,855.6 ,823.0 ,11.7 ,-,1.5 ,19.4 
杉並区,810.8 ,771.6 ,18.0 ,-,3.3 ,18.0 
文京区,828.0 ,764.4 ,30.9 ,0.4 ,2.2 ,30.0 
豊島区,1127.4 ,1065.8 ,24.0 ,-,0.7 ,36.9 
北区,1027.9 ,980.3 ,21.2 ,0.3 ,3.1 ,22.9 
板橋区,896.0 ,852.0 ,15.6 ,-,2.1 ,26.3 
練馬区,815.2 ,779.8 ,14.2 ,-,1.2 ,20.0 
台東区,1376.9 ,1297.8 ,16.7 ,0.5 ,6.4 ,55.5 
荒川区,1009.1 ,961.0 ,10.6 ,-,6.0 ,31.4 
足立区,967.9 ,919.4 ,14.5 ,-,3.0 ,31.0 
墨田区,966.8 ,914.2 ,15.6 ,-,7.6 ,29.4 
江東区,1139.9 ,1025.5 ,40.0 ,-,5.0 ,69.4 
葛飾区,1167.5 ,1110.8 ,23.1 ,-,6.8 ,26.8 
江戸川区,1175.5 ,1111.3 ,23.1 ,-,4.3 ,36.8 
立川市,1059.7 ,989.8 ,34.1 ,-,2.7 ,33.0 
国立市,869.4 ,796.1 ,31.4 ,-,1.3 ,40.6 
武蔵野市,942.8 ,888.6 ,26.4 ,-,-,27.8 
三鷹市,791.6 ,754.2 ,19.5 ,-,0.5 ,17.4 
府中市,758.1 ,705.8 ,23.8 ,-,1.9 ,26.5 
昭島市,912.4 ,844.5 ,22.9 ,-,1.8 ,43.2 
調布市,808.6 ,748.1 ,40.4 ,0.4 ,1.3 ,18.5 
小金井市,692.1 ,650.9 ,17.8 ,-,0.8 ,22.6 
小平市,816.2 ,770.7 ,18.4 ,-,0.5 ,26.6 
東村山市,930.2 ,892.0 ,14.5 ,-,1.3 ,22.4 
国分寺市,737.8 ,711.0 ,9.5 ,-,0.8 ,16.6 
狛江市,703.8 ,683.3 ,10.8 ,-,1.2 ,8.4 
東大和市,904.9 ,843.9 ,30.5 ,-,4.7 ,25.8 
武蔵村山市,817.8 ,742.8 ,27.8 ,-,1.4 ,45.8 
清瀬市,1026.6 ,970.6 ,25.4 ,-,1.3 ,29.4 
東久留米市,901.7 ,859.8 ,16.2 ,-,1.7 ,23.9 
西東京市,816.3 ,763.4 ,26.2 ,-,5.8 ,20.9 
八王子市,877.5 ,815.0 ,29.2 ,0.2 ,2.3 ,30.8 
青梅市,749.2 ,700.0 ,12.9 ,-,4.5 ,31.8 
町田市,924.8 ,868.7 ,25.2 ,-,1.9 ,29.1 
日野市,799.3 ,752.8 ,15.0 ,-,2.1 ,29.4 
多摩市,846.6 ,785.3 ,33.0 ,-,1.3 ,26.9 
福生市,1019.7 ,956.1 ,28.1 ,-,1.9 ,33.7 
羽村市,827.8 ,789.4 ,7.3 ,-,-,31.1 
瑞穂町,862.8 ,715.4 ,21.5 ,-,-,125.9 
あきる野市,784.1 ,725.5 ,27.4 ,-,6.2 ,24.9 
日の出町,952.5 ,892.2 ,18.1 ,-,-,42.2 
檜原村,1893.9 ,1704.5 ,-,-,-,189.4 
奥多摩町,2264.1 ,2103.8 ,-,-,40.1 ,120.2 
