"救急隊出場先
区市町村","全事故
種別",一般負傷,"運動競技
事故","自然災害
事故",水難事故,"労働災害
事故"
全出場先,127382 ,119645 ,2917 ,7 ,363 ,4450 
千代田区,1810 ,1647 ,22 ,-,4 ,137 
中央区,1860 ,1701 ,23 ,-,5 ,131 
港区,3323 ,2995 ,72 ,-,4 ,252 
品川区,3683 ,3456 ,89 ,-,10 ,128 
大田区,6819 ,6396 ,127 ,-,17 ,279 
目黒区,2333 ,2204 ,44 ,-,1 ,84 
世田谷区,7550 ,7134 ,221 ,1 ,24 ,170 
渋谷区,2814 ,2573 ,87 ,1 ,6 ,147 
新宿区,4671 ,4378 ,106 ,-,8 ,179 
中野区,2863 ,2754 ,39 ,-,5 ,65 
杉並区,4650 ,4425 ,103 ,-,19 ,103 
文京区,1876 ,1732 ,70 ,1 ,5 ,68 
豊島区,3239 ,3062 ,69 ,-,2 ,106 
北区,3630 ,3462 ,75 ,1 ,11 ,81 
板橋区,5109 ,4858 ,89 ,-,12 ,150 
練馬区,6033 ,5771 ,105 ,-,9 ,148 
台東区,2804 ,2643 ,34 ,1 ,13 ,113 
荒川区,2185 ,2081 ,23 ,-,13 ,68 
足立区,6688 ,6353 ,100 ,-,21 ,214 
墨田区,2665 ,2520 ,43 ,-,21 ,81 
江東区,4762 ,4284 ,167 ,-,21 ,290 
葛飾区,4448 ,4232 ,88 ,-,26 ,102 
江戸川区,6006 ,5678 ,118 ,-,22 ,188 
立川市,1956 ,1827 ,63 ,-,5 ,61 
国立市,664 ,608 ,24 ,-,1 ,31 
武蔵野市,1392 ,1312 ,39 ,-,-,41 
三鷹市,1505 ,1434 ,37 ,-,1 ,33 
府中市,1973 ,1837 ,62 ,-,5 ,69 
昭島市,1036 ,959 ,26 ,-,2 ,49 
調布市,1923 ,1779 ,96 ,1 ,3 ,44 
小金井市,857 ,806 ,22 ,-,1 ,28 
小平市,1596 ,1507 ,36 ,-,1 ,52 
東村山市,1410 ,1352 ,22 ,-,2 ,34 
国分寺市,936 ,902 ,12 ,-,1 ,21 
狛江市,586 ,569 ,9 ,-,1 ,7 
東大和市,772 ,720 ,26 ,-,4 ,22 
武蔵村山市,589 ,535 ,20 ,-,1 ,33 
清瀬市,769 ,727 ,19 ,-,1 ,22 
東久留米市,1055 ,1006 ,19 ,-,2 ,28 
西東京市,1682 ,1573 ,54 ,-,12 ,43 
八王子市,4930 ,4579 ,164 ,1 ,13 ,173 
青梅市,990 ,925 ,17 ,-,6 ,42 
町田市,3969 ,3728 ,108 ,-,8 ,125 
日野市,1495 ,1408 ,28 ,-,4 ,55 
多摩市,1257 ,1166 ,49 ,-,2 ,40 
福生市,545 ,511 ,15 ,-,1 ,18 
羽村市,453 ,432 ,4 ,-,-,17 
瑞穂町,281 ,233 ,7 ,-,-,41 
あきる野市,629 ,582 ,22 ,-,5 ,20 
日の出町,158 ,148 ,3 ,-,-,7 
檜原村,40 ,36 ,-,-,-,4 
奥多摩町,113 ,105 ,-,-,2 ,6 
