"応援を行った消防本部",応援救急隊名,出場件数・合計,出場件数・搬送,出場件数・不搬送・小計,出場件数・不搬送・現場処置,出場件数・不搬送・不救護,救護人員・計,救護人員・搬送,救護人員・現場処置,搬送人員（程度別）・死亡,搬送人員（程度別）・重篤,搬送人員（程度別）・重症,搬送人員（程度別）・中等症,搬送人員（程度別）・軽症
平成27年,合計,154,99,55,9,46,133,116,5,1,1,7,19,88
平成28年,合計,129,90,40,9,31,106,95,12,0,1,8,17,69
平成29年,合計,131,89,42,13,29,132,120,12,1,0,3,21,95
平成30年,合計,158,111,48,8,40,140,132,8,0,0,3,27,103
令和元年,合計,164,116,49,11,38,141,135,8,3,0,3,26,103
相模原市,　大沼Ａ,1,0,1,1,0,1,0,1,0,0,0,0,0
相模原市,　城山Ａ,3,2,1,0,1,2,2,0,0,0,0,1,1
相模原市,　津久井本署Ａ,2,1,1,0,1,1,1,0,0,0,0,0,1
相模原市,　藤野Ａ,9,5,4,1,3,6,5,1,0,0,0,1,4
川崎市,　臨港Ａ,2,2,0,0,0,2,2,0,0,0,0,0,2
川崎市,　殿町Ａ,10,5,5,1,4,9,8,1,0,0,2,0,6
川崎市,　藤崎Ａ,3,1,2,0,2,1,1,0,0,0,0,1,0
川崎市,　大島Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
川崎市,　川崎Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
川崎市,　小田中Ａ,1,0,1,1,0,1,0,1,0,0,0,0,0
川崎市,　高津Ａ,3,0,3,0,3,0,0,0,0,0,0,0,0
川崎市,　新作Ａ,2,2,0,0,0,2,2,0,0,0,0,1,1
川崎市,　久地Ａ,0,0,0,0,0,0,0,0,0,0,0,0,0
川崎市,　宮前Ａ,8,6,2,2,0,5,7,0,1,0,0,2,4
川崎市,　向丘Ａ,5,4,1,0,1,4,4,0,1,0,0,0,3
川崎市,　菅生Ａ,1,0,1,1,0,0,0,0,0,0,0,0,0
川崎市,　宮崎Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
横浜市,　若葉台Ａ,3,3,0,0,0,3,3,0,0,0,0,0,3
横浜市,　都岡Ａ,4,2,2,0,2,3,3,0,0,0,0,2,1
横浜市,　旭Ａ,2,2,0,0,0,2,2,0,0,0,0,0,2
横浜市,　長津田Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
横浜市,　中瀬谷Ａ,2,2,0,0,0,4,4,0,0,0,0,2,2
横浜市,　今宿Ａ,5,3,2,0,2,3,3,0,0,0,0,2,1
横浜市,　瀬谷Ａ,3,3,0,0,0,3,3,0,0,0,0,0,3
大和市,,0,0,0,0,0,0,0,0,0,0,0,0,0
市川市,　東第一Ａ,1,1,0,0,0,2,2,0,0,0,0,1,1
市川市,　東第二Ａ,3,2,1,0,1,3,3,0,0,0,0,1,2
市川市,　西第二Ａ,2,0,2,1,1,1,0,1,0,0,0,0,0
松戸市,　中央Ａ,2,2,0,0,0,2,2,0,0,0,0,0,2
松戸市,　六実Ａ,2,2,0,0,0,2,2,0,0,0,0,0,2
松戸市,　東部Ａ,2,2,0,0,0,2,2,0,0,0,0,2,0
松戸市,　二十世紀Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
浦安市,　浦安救急Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
浦安市,　浦安堀江救急Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
稲城市,　稲城Ａ,3,2,1,0,1,2,2,0,1,0,0,0,1
稲城市,　上平尾Ａ,1,1,0,0,0,1,1,0,0,0,0,1,0
三郷市,　救急南１,1,1,0,0,0,1,1,0,0,0,0,0,1
草加八潮,　救急谷塚１,1,1,0,0,0,1,1,0,0,0,0,1,0
草加八潮,　救急西１,1,1,0,0,0,1,1,0,0,0,0,0,1
川口市,　川口南Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
川口市,　南平Ａ,2,0,2,0,2,0,0,0,0,0,0,0,0
川口市,　新郷Ａ,2,1,1,0,1,1,1,0,0,0,0,0,1
川口市,　青木Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
川口市,　鳩ヶ谷Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
戸田市,　本署Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
戸田市,　東部Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
戸田市,　西部Ａ,5,4,1,0,1,4,4,0,0,0,0,2,2
