月別,受講者数,免状種別受講者数／計,免状種別受講者数／甲種,免状種別受講者数／乙種／小計,免状種別受講者数／乙種／第1類,免状種別受講者数／乙種／第2類,免状種別受講者数／乙種／第3類,免状種別受講者数／乙種／第4類,免状種別受講者数／乙種／第5類,免状種別受講者数／乙種／第6類,免状種別受講者数／丙種
計,11721,13384,614,11264,177,149,151,10217,148,422,1506
4月,－,－,－,－,－,－,－,－,－,－,－
5月,1470,1670,83,1400,16,17,22,1275,20,50,187
6月,897,1025,39,843,17,13,10,764,13,26,143
7月,1442,1686,90,1404,31,25,20,1242,23,63,192
8月,750,851,36,730,12,9,9,657,13,30,85
9月,1070,1217,56,1023,14,12,17,934,10,36,138
10月,852,957,51,804,13,8,6,736,9,32,102
11月,1321,1487,50,1251,16,10,12,1162,9,42,186
12月,889,1024,54,863,17,11,12,769,15,39,107
1月,789,911,41,795,10,12,8,724,11,30,75
2月,1029,1176,58,1011,15,13,23,916,10,34,107
3月,1212,1380,56,1140,16,19,12,1038,15,40,184
