出火原因,死者の発生した火災件数,年齢／計,年齢／0～5歳,年齢／6～9歳,年齢／１0～19歳,年齢／20～29歳,年齢／30～39歳,年齢／40～49歳,年齢／50～59歳,年齢／60～64歳,年齢／65～79歳,年齢／70～79歳,年齢／80歳以上,年齢／不明
計,107,116,4,1,4,16,15,16,15,5,10,17,13,－
放火・放火の疑い,48,53,－,1,－,12,8,13,9,3,1,4,2,－
たばこ,22,23,1,－,1,1,4,－,3,－,4,8,1,－
ガスこんろ,6,7,2,－,－,1,1,1,1,－,－,－,1,－
石油ストーブ,3,5,－,－,1,－,－,－,1,－,1,－,2,－
電気ストーブ,3,3,－,－,－,－,1,－,－,－,－,1,1,－
ライター,3,3,－,－,1,－,－,－,－,－,1,1,－,－
ガスストーブ,2,2,－,－,－,－,－,－,－,－,1,－,1,－
火遊び,2,2,1,－,－,－,－,－,－,－,－,－,1,－
電気こんろ,1,1,－,－,－,－,－,－,－,－,－,1,－,－
器具付コード,1,1,－,－,－,－,－,－,－,－,1,－,－,－
差込みプラグ,1,1,－,－,－,－,－,－,－,－,－,1,－,－
テーブルタップ,1,1,－,－,－,－,－,－,1,－,－,－,－,－
白熱スタンド,1,1,－,－,－,－,－,－,－,1,－,－,－,－
ごみ焼却炉,1,1,－,－,－,－,－,－,－,－,－,－,1,－
焼却火,1,1,－,－,－,－,－,1,－,－,－,－,－,－
マッチ,1,1,－,－,－,－,－,－,－,－,－,－,1,－
煙突,1,1,－,－,1,－,－,－,－,－,－,－,－,－
火薬,1,1,－,－,－,1,－,－,－,－,－,－,－,－
車両等の衝撃火花,1,1,－,－,－,1,－,－,－,－,－,－,－,－
不明,7,7,－,－,－,－,1,1,－,1,1,1,2,－
