"科目","金額[百万円]"
"年度","2016"
"期間（自）","20160401"
"期間（至）","20170331"
"経常費用","151329"
"経常費用 業務費用","74826"
"経常費用 業務費用 人件費","19137"
"経常費用 業務費用 人件費 職員給与費","15905"
"経常費用 業務費用 人件費 賞与等引当金繰入額","949"
"経常費用 業務費用 人件費 退職手当引当金繰入額","845"
"経常費用 業務費用 人件費 その他","1438"
"経常費用 業務費用 物件費等","53525"
"経常費用 業務費用 物件費等 物件費","39652"
"経常費用 業務費用 物件費等 維持補修費","3616"
"経常費用 業務費用 物件費等 減価償却費","10257"
"経常費用 業務費用 物件費等 その他","0"
"経常費用 業務費用 その他の業務費用","2165"
"経常費用 業務費用 その他の業務費用 支払利息","53"
"経常費用 業務費用 その他の業務費用 徴収不能引当金繰入額","945"
"経常費用 業務費用 その他の業務費用 その他","1166"
"経常費用 移転費用","76503"
"経常費用 移転費用 補助金等","56427"
"経常費用 移転費用 社会保障給付","19560"
"経常費用 移転費用 他会計への繰出金","0"
"経常費用 移転費用 その他","516"
"経常収益","10621"
"経常収益 使用料及び手数料","7735"
"経常収益 その他","2886"
"純経常行政コスト","-140709"
"臨時損失","44"
"臨時損失 災害復旧事業費","0"
"臨時損失 資産除売却損","44"
"臨時損失 投資損失引当金繰入額","0"
"臨時損失 損失補償等引当金繰入額","0"
"臨時損失 その他","0"
"臨時利益","2"
"臨時利益 資産売却益","2"
"臨時利益 その他","0"
"純行政コスト","-140750"

"全体会計財務書類（行政コスト計算書）(平成28年4月1日から平成29年3月31日)","Ver201703"
