"科目","金額[百万円]"
"年度","2021"
"期間（自）","20210401"
"期間（至）","20220331"
"経常費用","190640"
"経常費用 業務費用","96124"
"経常費用 業務費用 人件費","21274"
"経常費用 業務費用 人件費 職員給与費","16710"
"経常費用 業務費用 人件費 賞与等引当金繰入額","1038"
"経常費用 業務費用 人件費 退職手当引当金繰入額","1134"
"経常費用 業務費用 人件費 その他","2391"
"経常費用 業務費用 物件費等","70617"
"経常費用 業務費用 物件費等 物件費","55822"
"経常費用 業務費用 物件費等 維持補修費","3161"
"経常費用 業務費用 物件費等 減価償却費","11634"
"経常費用 業務費用 物件費等 その他","-"
"経常費用 業務費用 その他の業務費用","4233"
"経常費用 業務費用 その他の業務費用 支払利息","5"
"経常費用 業務費用 その他の業務費用 徴収不能引当金繰入額","751"
"経常費用 業務費用 その他の業務費用 その他","3477"
"経常費用 移転費用","94516"
"経常費用 移転費用 補助金等","66798"
"経常費用 移転費用 社会保障給付","26282"
"経常費用 移転費用 その他","1436"
"経常収益","12703"
"経常収益 使用料及び手数料","8632"
"経常収益 その他","4071"
"純経常行政コスト","-177937"
"臨時損失","394"
"臨時損失 災害復旧事業費","-"
"臨時損失 資産除売却損","394"
"臨時損失 損失補償等引当金繰入額","-"
"臨時損失 その他","-"
"臨時利益","1973"
"臨時利益 資産売却益","1973"
"臨時利益 その他","-"
"純行政コスト","-176358"

"全体会計財務書類（行政コスト計算書）(令和3年4月1日から令和4年3月31日)","Ver202203"
