地域階層,地域コード,地域,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,平成21年1月
0,13000,総数,6431289,6433652,6434179,6449344,6466640,6469652,6473122,6475733,6476208,6479259,6483487,6483968,6484268
1,13100,区部,4367502,4369501,4370386,4382909,4394709,4396808,4399411,4401172,4401315,4403743,4406818,4407008,4406979
1,13200,市部,2020691,2021071,2020719,2023634,2028954,2029842,2030727,2031580,2031947,2032554,2033702,2034004,2034357
2,13300,郡部,29430,29416,29423,29379,29395,29416,29388,29391,29351,29374,29388,29383,29377
2,13350,島部,13666,13664,13651,13422,13582,13586,13596,13590,13595,13588,13579,13573,13555
1,13100,区部,4367502,4369501,4370386,4382909,4394709,4396808,4399411,4401172,4401315,4403743,4406818,4407008,4406979
4,13101,千代田区,22398,22437,22454,22546,22669,22631,22631,22570,22565,22640,22650,22640,22621
4,13102,中央区,55058,55192,55749,56454,57017,57289,57384,57502,57619,57775,57918,58009,58106
4,13103,港区,109117,109366,109302,109637,109869,109918,110067,110114,110348,110556,110726,111201,111382
4,13104,新宿区,156151,156233,156160,157136,158026,157616,157786,157853,157698,158062,158308,158274,158279
4,13105,文京区,100925,100904,100898,101401,101827,101823,101971,101987,102020,102185,102256,102291,102272
4,13106,台東区,82282,82361,82465,82703,82948,82968,83050,83206,83287,83346,83648,83738,83699
4,13107,墨田区,119798,119840,119803,120113,120434,120513,120544,120558,120593,120678,120754,120763,120852
4,13108,江東区,220403,220679,220790,222551,223450,223911,224262,224540,224709,224907,225090,225022,225131
4,13109,品川区,180369,180495,180492,181209,181540,181728,181760,181738,181777,181848,182010,182051,181999
4,13110,目黒区,141142,141189,141149,141388,141704,141770,141882,141858,141799,141869,141955,141889,141756
4,13111,大田区,332685,332601,332415,333389,334034,334330,334539,334516,334703,334793,334845,334896,334933
4,13112,世田谷区,444673,444808,444994,445776,447151,447294,447469,447550,447598,447551,447873,447666,447622
4,13113,渋谷区,105489,105450,105417,105428,105542,105589,105557,105488,105334,105238,105160,105014,104923
4,13114,中野区,156001,156174,156294,156755,157284,157251,157126,157162,156819,156754,156763,156543,156340
4,13115,杉並区,276609,276673,276844,277696,278420,278452,278492,278566,278332,278392,278263,278189,278062
4,13116,豊島区,128477,128463,128301,128503,129018,129071,129143,129192,129083,129118,129315,129240,129207
4,13117,北区,166733,166848,166809,167163,167677,167722,167857,167908,167825,167772,167871,167822,167826
4,13118,荒川区,98052,98043,98623,99003,99400,99378,99517,99724,99819,99888,100031,100026,100155
4,13119,板橋区,262866,262970,262752,263293,264044,264206,264267,264599,264701,264900,264925,264888,264708
4,13120,練馬区,356268,356496,356599,357555,358438,358673,358925,358987,358986,359249,359519,359537,359600
4,13121,足立区,313090,313106,312943,313592,314056,314173,314323,314456,314508,314824,315116,315346,315566
4,13122,葛飾区,214071,214146,214080,214383,214587,214682,214800,214851,214803,214895,215033,214995,214937
4,13123,江戸川区,324845,325027,325053,325235,325574,325820,326059,326247,326389,326503,326789,326968,327003
1,13200,市部,2020691,2021071,2020719,2023634,2028954,2029842,2030727,2031580,2031947,2032554,2033702,2034004,2034357
4,13201,八王子市,277891,277948,277941,278143,279281,279376,279580,279718,279780,279927,280100,280141,280209
4,13202,立川市,88176,88186,88176,88257,88596,88644,88610,88634,88660,88674,88738,88739,88776
4,13203,武蔵野市,71612,71534,71550,71679,71800,71795,71803,71833,71792,71748,71723,71716,71699
4,13204,三鷹市,90663,90701,90699,90831,91177,91216,91239,91257,91222,91266,91287,91235,91231
4,13205,青梅市,70316,70302,70292,70297,70284,70289,70281,70268,70287,70280,70256,70235,70246
4,13206,府中市,120237,120257,120295,120711,121292,121396,121439,121450,121434,121455,121412,121459,121534
4,13207,昭島市,55507,55520,55517,55458,55498,55465,55461,55442,55418,55373,55385,55386,55400
4,13208,調布市,108908,108952,108932,109729,110068,110190,110286,110396,110460,110496,110621,110663,110655
4,13209,町田市,209659,209668,209639,210037,210555,210624,210803,210904,210931,211115,211210,211269,211244
4,13210,小金井市,56900,56913,56831,56988,57087,57094,57100,57149,57131,57130,57139,57151,57094
4,13211,小平市,93095,93138,92999,92837,93291,93283,93337,93356,93291,93310,93396,93425,93499
4,13212,日野市,87473,87501,87438,87499,87703,87767,87826,87853,87908,87953,88028,88013,88059
4,13213,東村山市,74195,74201,74259,74536,74659,74754,74738,74820,74892,74990,75093,75153,75200
4,13214,国分寺市,59469,59454,59419,59605,59733,59791,59826,59825,59811,59848,59968,59987,59978
4,13215,国立市,36556,36542,36490,36423,36586,36599,36622,36647,36660,36685,36724,36711,36706
4,13218,福生市,29824,29830,29821,29853,29890,29898,29881,29887,29880,29888,29879,29856,29844
4,13219,狛江市,39331,39323,39306,39394,39415,39433,39419,39360,39361,39366,39405,39410,39413
