"科目","金額[百万円]"
"年度","2016"
"期間（自）","20160401"
"期間（至）","20170331"
"経常費用","181046"
"経常費用 業務費用","83776"
"経常費用 業務費用 人件費","20205"
"経常費用 業務費用 人件費 職員給与費","16886"
"経常費用 業務費用 人件費 賞与等引当金繰入額","986"
"経常費用 業務費用 人件費 退職手当引当金繰入額","884"
"経常費用 業務費用 人件費 その他","1449"
"経常費用 業務費用 物件費等","55773"
"経常費用 業務費用 物件費等 物件費","40685"
"経常費用 業務費用 物件費等 維持補修費","4140"
"経常費用 業務費用 物件費等 減価償却費","10926"
"経常費用 業務費用 物件費等 その他","22"
"経常費用 業務費用 その他の業務費用","7799"
"経常費用 業務費用 その他の業務費用 支払利息","66"
"経常費用 業務費用 その他の業務費用 徴収不能引当金繰入額","945"
"経常費用 業務費用 その他の業務費用 その他","6788"
"経常費用 移転費用","97269"
"経常費用 移転費用 補助金等","77185"
"経常費用 移転費用 社会保障給付","19562"
"経常費用 移転費用 他会計への繰出金","0"
"経常費用 移転費用 その他","523"
"経常収益","17018"
"経常収益 使用料及び手数料","5258"
"経常収益 その他","8760"
"純経常行政コスト","-164028"
"臨時損失","94"
"臨時損失 災害復旧事業費","0"
"臨時損失 資産除売却損","88"
"臨時損失 損失補償等引当金繰入額","0"
"臨時損失 その他","6"
"臨時利益","3"
"臨時利益 資産売却益","3"
"臨時利益 その他","0"
"純行政コスト","-164119"

"連結会計財務書類（行政コスト計算書）(平成28年4月1日から平成29年3月31日)","Ver201703"
