"年月[西暦]","調査項目","設問","方法","調査回答者の属性種別","調査回答者の属性","調査数[人]","利用したことがある[人]","実際に利用したことはないが、利用すると思う","利用しないと思う[人]","無回答[人]"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","全体",,"558","145","166","162","85"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","性・年代別","男性（計）","231","50","86","71","24"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","性・年代別","男性 18～29歳","13","4","5","3","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","性・年代別","男性 30～39歳","38","15","8","13","2"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","性・年代別","男性 40～49歳","50","15","25","10","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","性・年代別","男性 50～59歳","47","8","21","11","7"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","性・年代別","男性 60～69歳","42","4","16","17","5"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","性・年代別","男性 70歳以上","40","4","11","16","9"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","性・年代別","男性 無回答","1","0","0","1","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","性・年代別","女性（計）","313","94","79","90","50"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","性・年代別","女性 18～29歳","26","17","2","6","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","性・年代別","女性 30～39歳","49","23","12","7","7"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","性・年代別","女性 40～49歳","78","28","27","15","8"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","性・年代別","女性 50～59歳","62","18","22","13","9"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","性・年代別","女性 60～69歳","56","6","12","25","13"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","性・年代別","女性 70歳以上","42","2","4","24","12"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","性・年代別","女性 無回答","0","0","0","0","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","性・年代別","無回答","14","1","1","1","11"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","職業別","自営業主・家族従業","86","17","30","23","16"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","職業別","会社員・団体職員・公務員","243","75","89","55","24"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","職業別","アルバイト・パートタイマー","35","13","8","12","2"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","職業別","家事専業","55","14","11","25","5"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","職業別","学生","13","6","3","3","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","職業別","無職","81","11","17","36","17"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","職業別","その他","31","8","7","8","8"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","職業別","無回答","14","1","1","0","12"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","居住地区別","芝地区","86","27","18","24","17"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","居住地区別","麻布地区","87","22","30","20","15"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","５　インターネットを使用して解決方法を検索する","居住地区別","赤坂地区","81","16","20","34","11"
