年月,西暦（年）,月,消費者物価指数（平成17年基準）/全国,消費者物価指数（平成17年基準）/東京都区部,戦前基準指数(昭和9～11年=1)/東京都区部消費者物価指数,戦前基準指数(昭和9～11年=1)/企業物価指数,1)消費水準指数全国(平成17年=100）/二人以上の世帯,1)消費水準指数全国(平成17年=100）/二人以上の世帯のうち勤労者世帯,生計（東京都勤労者世帯）/実収入（円）,生計（東京都勤労者世帯）/消費支出（円）,生計（東京都勤労者世帯）/3)平均消費性向（％）,生計（東京都勤労者世帯）/4)公共的料金負担率（％）,2)実質賃金指数/調査産業計
平成18年2月,2006,2,99.7,99.5,1776.3,685.2,97.9,99.6,512337,326997,76.4,32.8,81.8
平成18年3月,2006,3,99.9,99.8,1781.6,684.4,102.6,101.6,476675,356552,89.1,31.4,84
平成18年4月,2006,4,100.1,100.1,1787,687.2,105.6,105.2,502827,377878,89.4,33.4,82.7
平成18年5月,2006,5,100.4,100.4,1792.3,686.2,95,92.2,479465,339516,88.5,30.1,80
平成18年6月,2006,6,100.4,100.3,1790.6,690.8,94.4,92.7,813540,330397,50.7,29.8,161.3
平成18年7月,2006,7,100.1,100,1785.2,697.1,95.4,95.5,664138,355276,65.1,25.8,119.2
平成18年8月,2006,8,100.8,100.6,1795.9,701.5,94.7,92.8,525594,338544,77,27.1,79.1
平成18年9月,2006,9,100.8,100.6,1795.9,704.5,91.5,90.3,503500,335703,81,31.6,78.6
平成18年10月,2006,10,100.6,100.5,1794.1,700.6,95.7,94.4,536293,337528,76.7,29.2,79.6
平成18年11月,2006,11,100.1,100,1785.2,696.5,95.4,93.9,511758,332214,78.5,30.8,86.1
平成18年12月,2006,12,100.2,100.1,1787,697.4,111.3,109.8,1039341,436651,50.2,23.5,194.4
平成19年1月,2007,1,100,99.9,1783.4,701.6,97.1,97.8,516342,355465,82.8,28.6,79.9
平成19年2月,2007,2,99.5,99.5,1776.3,699.2,99.4,96.6,523051,331147,75.5,30.1,80.8
平成19年3月,2007,3,99.8,99.9,1783.4,698,102.9,101.1,505554,365339,87,27.8,86.6
平成19年4月,2007,4,100.1,100.2,1788.8,707.3,106.9,105.3,515269,379894,87.2,37.7,83.8
平成19年5月,2007,5,100.4,100.4,1792.3,714.9,95.5,92.8,463172,353095,94.7,32.3,82.6
平成19年6月,2007,6,100.2,100.1,1787,718.8,94.5,92.1,779139,314146,50.3,26.9,178.5
平成19年7月,2007,7,100.1,99.9,1783.4,721.2,95.3,95.8,616166,346814,68.4,26.6,106.1
平成19年8月,2007,8,100.6,100.3,1790.6,714.6,96.3,96.1,522118,344552,78.7,27.2,80.3
平成19年9月,2007,9,100.6,100.5,1794.1,711.7,94.5,95.1,469001,322583,83.6,31.1,80
平成19年10月,2007,10,100.9,100.6,1795.9,718,96.3,96.4,503414,351091,84.5,32.9,80.3
平成19年11月,2007,11,100.7,100.3,1790.6,715.1,95,92.5,483507,313070,77.8,30.5,89.1
平成19年12月,2007,12,100.9,100.5,1794.1,722.3,113.8,111.7,997436,377875,45.8,26.6,197.8
平成20年1月,2008,1,100.7,100.2,1788.8,717.5,100.8,100.7,482323,347059,86.2,31.9,85.2
平成20年2月,2008,2,100.5,99.9,1783.4,722.2,96.1,94.4,510032,312408,73.2,33.1,86.8
平成20年3月,2008,3,101,100.5,1794.1,717.6,101.4,100.8,509035,333452,79,29.9,90
平成20年4月,2008,4,100.9,100.8,1799.5,730,104.1,104.5,484034,379104,94.6,38,84.2
平成20年5月,2008,5,101.7,101.3,1808.4,743.2,92.6,91.9,…,…,…,…,…
,,,,,,,,,,,,,
東京の物価／平成20年6月,,,,,,,,,,,,,
付属資料１　主要指標,,,,,,,,,,,,,
注1)月々の１世帯当たりの世帯人員別消費支出額を基準年の世帯分布で加重平均し、30.4日（365日÷12）の額に調整した後、これを平成17年平均を基準として指数化し、更に消費者物価指数で除して実質化した指数,,,,,,,,,,,,,
2)実質賃金指数(現金給与総額）（事業所規模30人以上）=名目賃金指数（現金給与総額）÷東京都区部消費者物価指数（持ち家の帰属家賃を除く総合）×100   　(平成17年＝100),,,,,,,,,,,,,
3)平均消費性向＝（消費支出÷可処分所得）×100（可処分所得＝実収入－租税公課等）,,,,,,,,,,,,,
4)公共的料金負担率＝（公共的料金÷消費支出）×100,,,,,,,,,,,,,
資料　 総務省統計局(1)／日本銀行(2)／東京都統計部(3),,,,,,,,,,,,,
