総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素材原料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,(参考)生産財(1)+(2),(参考)投資財 注),,,,,,,,
品目数,,,1264,944,320,83,640,434,111,19,76,541,155,386,80,306,723,269,,,,,,,,
ウエイト,,,1000,813.03,186.97,78.589,517.13,337.673,61.336,61.694,56.427,404.281,131.235,273.046,82.8,190.246,595.719,193.643,,,,,,,,
平成16年平均,2004,,96.8,98.4,88.4,82.1,96.2,96.3,96.6,91.9,99.3,100.7,101.7,100,102.5,99.2,94.4,99.8,,,,,,,,
平成17年平均,2005,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,
平成18年平均,2006,,104.3,102.2,113.7,120.7,105.5,105.7,103,110.8,101.3,99.7,99.4,99.8,97.1,101,107.5,100.6,,,,,,,,
平成19年平均,2007,,107.4,104,122.4,132.3,109.7,110.4,106.7,114.9,103.4,99.6,98.9,100,94.1,102.6,112.7,101.4,,,,,,,,
平成16年度平均,2004,,97.4,98.8,90.3,84.1,97.2,97.3,97.8,93.2,99.4,100.4,101.2,99.9,101.8,99.1,95.4,100,,,,,,,,
平成17年度平均,2005,,101.3,100.5,104.5,107.3,101.3,101.2,100.6,103.8,100.4,100,99.8,100.2,99.4,100.5,102.1,100,,,,,,,,
平成18年度平均,2006,,104.9,102.5,115.5,122.2,106.5,107,104.2,110.6,101.6,99.5,99.4,99.6,96.2,101.1,108.6,100.9,,,,,,,,
平成19年度平均,2007,,108.6,104.9,124.9,139.4,110.9,111.1,107.2,119.3,104.3,99.8,98.6,100.3,93.3,103.3,114.6,101.4,,,,,,,,
平成19年７月,2007,7,108.5,104.6,125.4,135.3,111,111.7,107.1,118.1,103.5,100,99.3,100.3,94.2,103,114.2,101.8,,,,,,,,
平成19年８月,2007,8,108,104.6,122.7,134.8,110.4,110.7,107,118.6,103.5,99.6,98.7,100,93.8,102.7,113.6,101.4,,,,,,,,
平成19年９月,2007,9,107.7,104.5,121.5,133.4,110.1,110.5,106.7,117.5,103.9,99.5,98.6,99.9,93.7,102.6,113.2,101.2,,,,,,,,
平成19年10月,2007,10,108.7,104.8,125.5,139.7,110.9,111.3,107,118.2,104.6,99.8,98.7,100.3,93.1,103.4,114.7,101.4,,,,,,,,
平成19年11月,2007,11,108.7,105,124.6,140.6,110.9,110.8,106.7,121.4,104.7,99.7,98.2,100.4,93,103.6,114.8,100.9,,,,,,,,
平成19年12月,2007,12,109.9,105.4,129.7,150.6,111.4,111,106.6,124.5,104.8,100.1,98.2,101,92.7,104.6,116.6,100.9,,,,,,,,
平成20年１月,2008,1,109.6,105.6,126.8,146.5,111.7,111,106.8,125.8,105.7,99.7,98.1,100.4,92.2,104,116.3,100.9,,,,,,,,
平成20年２月,2008,2,110.4,106.1,128.8,150.8,112.4,111.8,108,125.5,105.9,99.9,98.1,100.8,92.3,104.5,117.4,101.3,,,,,,,,
平成20年３月,2008,3,110.1,106.7,125.3,148.7,112.4,111.6,109.2,126,105.7,99.7,97.9,100.6,91.8,104.5,117.2,101.5,,,,,,,,
平成20年４月,2008,4,111.9,107.5,131.5,161.3,114.4,113.7,112.4,127.1,106.6,99.2,98,99.8,91.7,103.3,120.6,102.6,,,,,,,,
平成20年５月,2008,5,114.1,108.8,137.1,172.2,116,114.8,113.3,133.6,107.1,100.3,97.8,101.5,91.6,105.8,123.4,102.8,,,,,,,,
平成20年６月,2008,6,117,109.8,148.4,193.4,118,116.4,114.7,139.5,107.5,101,98,102.4,91.4,107.2,127.9,103.4,,,,,,,,
平成20年７月,2008,7,119.6,112,152.5,201,121.3,118.5,116.6,152.7,108.9,101.6,98.4,103.1,91.2,108.3,131.8,104.2,,,,,,,,
対前月比(%),,,2.2,2,2.8,3.9,2.8,1.8,1.7,9.5,1.3,0.6,0.4,0.7,-0.2,1,3,0.8,,,,,,,,
対前年同月比(%),,,10.2,7.1,21.6,48.6,9.3,6.1,8.9,29.3,5.2,1.6,-0.9,2.8,-3.2,5.1,15.4,2.4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成20年8月,,,,, ,,,,,,,,,,,,,,,,,,,,,
付属資料３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,,,,,,,,,
２００５年＝１００／（平成１７年平均＝１００）,,,,,,,,,,,,,,,,,,,,,
注) 投資財：(3)＋(4)＋素原材料内建設用材料 ,,,,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,,,,
