分類/品目/銘柄/単位,2007年12月,2008年10月,2008年11月,2008年12月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ(5kg入り）/1袋(円),2590,2639,2641,2651,
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く(5kg入り）/1袋(円),2260,2307,2330,2299,
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),1903,1828,1861,1866,
（穀類）/もち米/国内産、精米、複数原料米(1～2kg入り）/1kg(円),589,604,589,596,
（穀類）/食パン/普通品/1kg(円),438,488,487,487,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),93,94,95,95,
（穀類）/カレーパン/揚げパン、普通品/100g(円),100,110,109,108,
（穀類）/ゆでうどん/1食入り（200～250g入り）、普通品/1袋(円),35,39,39,40,
（穀類）/干しうどん/袋入り（250g～300g入り）、普通品/100g(円),516,559,71,67,平成20年11月から基本銘柄改正
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋(円),168,203,203,204,
（穀類）/即席めん/即席カップめん、中華タイプ、「カップヌードル(77g入り)」/1個(円),133,146,144,146,
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),111,110,113,113,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワーチャック付」/1袋(円),188,230,227,237,平成20年11月から基本銘柄改正
（穀類）/もち/包装生もち、袋入り（1kg入り）、普通品/1袋(円),1026,1031,892,851,平成20年11月から基本銘柄改正
（魚介類）/まぐろ/めばち又はきはだ、刺身用、さく、赤身/100g(円),399,405,421,419,
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),108,110,110,101,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),127,109,115,107,
（魚介類）/かつお/切り身（刺身用）/100g(円),        -,221,        -,        -,
（魚介類）/かれい/まがれい、あかがれい、むしがれい又はまこがれい、丸（長さ約20cm以上）/100g(円),186,191,179,155,
（魚介類）/さけ/トラウトサーモン､ぎんざけ､アトランティックサーモン､べにざけ､又はキングサーモン､切り身/100g(円),233,229,230,233,
（魚介類）/さば/まさば又はごまさば、切り身/100g(円),113,123,127,118,平成20年11月から基本銘柄改正
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),77,71,71,68,
（魚介類）/たい/まだい、刺身用、さく/100g(円),615,605,616,607,
（魚介類）/ぶり/切り身/100g(円),258,276,281,264,
（魚介類）/いか/するめいか/100g(円),70,77,77,78,
（魚介類）/たこ/まだこ（ゆでもの）/100g(円),288,278,282,284,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g(円),255,258,259,255,
（魚介類）/あさり/殻付き/100g(円),115,125,131,137,
（魚介類）/かき/まがき、むき身/100g(円),319,352,327,312,
（魚介類）/ほたて貝/養殖もの、むき身（ゆでもの）/100g(円),196,208,211,203,
（魚介類）/塩さけ/ぎんざけ、切り身/100g(円),171,175,165,168,
（魚介類）/たらこ/並/100g(円),540,550,566,557,
（魚介類）/しらす干し/並/100g(円),515,463,474,473,
（魚介類）/干しあじ/まあじ、開き、並/100g(円),166,174,180,183,
（魚介類）/丸干しいわし/まいわし（長さ約12cm以上）、並/100g(円),118,117,119,120,
（魚介類）/煮干し/かたくちいわし、小羽（約6cm）、上/100g(円),256,253,255,254,
（魚介類）/ししゃも/子持ちししゃも、カラフトシシャモ、パック入り（8～12匹入り/100g(円),171,175,186,172,
（魚介類）/さつま揚げ/並/100g(円),95,128,131,129,
