総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素材原料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,(参考)生産財(1)+(2),(参考)投資財 注),,,,,,,,
品目数,,,1264,944,320,83,640,434,111,19,76,541,155,386,80,306,723,269,,,,,,,,
ウエイト,,,1000,813.03,186.97,78.589,517.13,337.673,61.336,61.694,56.427,404.281,131.235,273.046,82.8,190.246,595.719,193.643,,,,,,,,
平成16年平均,2004,,96.8,98.4,88.4,82.1,96.2,96.3,96.6,91.9,99.3,100.7,101.7,100,102.5,99.2,94.4,99.8,,,,,,,,
平成17年平均,2005,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,
平成18年平均,2006,,104.3,102.2,113.7,120.7,105.5,105.7,103,110.8,101.3,99.7,99.4,99.8,97.1,101,107.5,100.6,,,,,,,,
平成19年平均,2007,,107.4,104,122.4,132.3,109.7,110.4,106.7,114.9,103.4,99.6,98.9,100,94.1,102.6,112.7,101.4,,,,,,,,
平成16年度平均,2004,,97.4,98.8,90.3,84.1,97.2,97.3,97.8,93.2,99.4,100.4,101.2,99.9,101.8,99.1,95.4,100,,,,,,,,
平成17年度平均,2005,,101.3,100.5,104.5,107.3,101.3,101.2,100.6,103.8,100.4,100,99.8,100.2,99.4,100.5,102.1,100,,,,,,,,
平成18年度平均,2006,,104.9,102.5,115.5,122.2,106.5,107,104.2,110.6,101.6,99.5,99.4,99.6,96.2,101.1,108.6,100.9,,,,,,,,
平成19年度平均,2007,,108.6,104.9,124.9,139.4,110.9,111.1,107.2,119.3,104.3,99.8,98.6,100.3,93.3,103.3,114.6,101.4,,,,,,,,
平成19年11月,2007,11,108.7,105,124.6,140.6,110.9,110.8,106.7,121.5,104.6,99.7,98.2,100.4,93,103.6,114.8,101,,,,,,,,
平成19年12月,2007,12,109.9,105.4,129.7,150.6,111.4,111,106.6,124.6,104.8,100.1,98.2,101,92.7,104.6,116.6,100.9,,,,,,,,
平成20年１月,2008,1,109.6,105.7,126.8,146.5,111.8,111.2,106.8,125.9,105.7,99.7,98.1,100.4,92.2,104,116.4,100.9,,,,,,,,
平成20年２月,2008,2,110.4,106.2,128.8,150.8,112.5,112,108,125.6,105.8,99.9,98.1,100.8,92.3,104.5,117.5,101.3,,,,,,,,
平成20年３月,2008,3,110.2,106.7,125.3,148.7,112.5,111.8,109.2,126.1,105.7,99.7,97.8,100.7,91.8,104.5,117.3,101.5,,,,,,,,
平成20年４月,2008,4,112.4,107.6,133,165.1,114.7,114.1,112.6,127.3,106.6,99.2,98,99.8,91.6,103.3,121.3,102.7,,,,,,,,
平成20年５月,2008,5,114.4,108.9,138.5,175.7,116.2,115.1,113.5,133.3,107.1,100.3,97.9,101.4,91.6,105.7,124.1,102.9,,,,,,,,
平成20年６月,2008,6,117.2,109.9,148.6,194.2,118.1,116.6,114.8,139.5,107.5,101,98,102.4,91.4,107.1,128.2,103.4,,,,,,,,
平成20年７月,2008,7,119.8,112.2,152.6,201.8,121.5,118.9,116.5,152.5,108.9,101.6,98.5,103.1,91.1,108.3,132.1,104.3,,,,,,,,
平成20年８月,2008,8,120.5,112.3,156.1,207.4,121.9,119.1,117.5,153.5,109.3,101.7,98.6,103.2,91.2,108.4,133.2,104.7,,,,,,,,
平成20年９月,2008,9,118,111.6,145.7,187.8,120.5,117.8,117.3,148.3,109.5,101.2,98.6,102.5,90.9,107.6,129.4,104.6,,,,,,,,
平成20年10月,2008,10,113.7,110,129.7,160.8,117.2,115.6,116.4,133,110.4,99.9,98.2,100.8,90.1,105.4,123,104,,,,,,,,
平成20年11月,2008,11,109.1,107.9,113.9,133.1,113.6,112.5,115,121.5,110.3,98.5,97.8,98.9,89.8,102.8,116.2,103.3,,,,,,,,
対前月比(%),,,-4,-1.9,-12.2,-17.2,-3.1,-2.7,-1.2,-8.6,-0.1,-1.4,-0.4,-1.9,-0.3,-2.5,-5.5,-0.7,,,,,,,,
対前年同月比(%),,,0.4,2.8,-8.6,-5.3,2.4,1.5,7.8,0,5.4,-1.2,-0.4,-1.5,-3.4,-0.8,1.2,2.3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成20年12月,,,,, ,,,,,,,,,,,,,,,,,,,,,
付属資料３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,,,,,,,,,
２００５年＝１００／（平成１７年平均＝１００）,,,,,,,,,,,,,,,,,,,,,,
注) 投資財：(3)＋(4)＋素原材料内建設用材料 ,,,,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,,,,
