"年月[西暦]","調査項目","設問","選択肢","回答数[件]","構成比[%]"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","省資源・省エネルギー","76","58.9"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","温室効果ガスの排出削減","46","35.7"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","気候変動による影響への適応（気象災害や原材料等の安定調達への備えなど）","29","22.5"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","資源のリユース、リサイクルの推進","65","50.4"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","廃棄物の排出削減","63","48.8"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","水質汚濁の防止","26","20.2"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","大気汚染の防止","24","18.6"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","土壌汚染の防止","17","13.2"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","化学物質の適正な管理","26","20.2"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","近隣住民の生活環境への配慮（騒音・振動対策）","40","31.0"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","生物多様性の保全・再生","22","17.1"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","環境マネジメントシステムの運用を通じた環境負荷低減に向けた取組の継続的改善","33","25.6"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","環境報告書等を通じた情報開示","25","19.4"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","社会貢献活動の一環としての地域の環境活動や環境教育などへの協力","38","29.5"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","重要な課題は特にない","12","9.3"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","その他","1","0.8"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","無回答","3","2.3"

"港区の環境に関する事業者アンケート調査結果・単純集計表・環境に関する取組Q2","Ver202003",,,,
