年度（平成）,区分,路線名／215号八丈循環線,路線名／216号神湊・八重根港線,路線名／217号汐間・洞輪沢港線,路線名／236号青ヶ島循環線,路線名／216号底土・空港・八重根線,路線名／河川災害防除,計
18,補償件数,15,9,0,0,0,0,24
18,用地／件数,10,7,0,0,0,0,17
18,用地／面積(m2),2078,717,0,0,0,0,2795
19,補償件数,4,13,0,0,0,0,17
19,用地／件数,5,5,0,0,1,0,11
19,用地／面積(m2),368,1080,0,0,1205,0,2653
20,補償件数,2,5,0,1,0,0,8
20,用地／件数,13,6,0,4,0,2,25
20,用地／面積(m2),1890,747,0,438,0,4686,7761
21,補償件数,21,5,0,1,1,0,28
21,用地／件数,20,6,0,3,0,4,33
21,用地／面積(m2),1232,638,0,96,0,553,2519
22,補償件数,11,0,0,1,0,3,15
22,用地／件数,13,0,0,2,0,1,16
22,用地／面積(m2),656,0,0,450,0,3598,4704
23,補償件数,18,0,0,0,0,0,18
23,用地／件数,13,0,0,0,0,7,20
23,用地／面積(m2),2576,0,0,0,0,6143,8719
24,補償件数,12,0,0,1,0,0,13
24,用地／件数,11,0,0,2,0,0,13
24,用地／面積(m2),1374,0,0,280,0,0,1654
25,補償件数,14,1,0,3,0,0,18
25,用地／件数,17,1,0,2,0,0,20
25,用地／面積(m2),1615,856,0,157,0,0,2628
26,補償件数,10,12,0,0,0,2,24
26,用地／件数,5,9,0,0,0,4,18
26,用地／面積(m2),204,705,0,0,0,963,1872
27,補償件数,2,18,0,0,0,0,20
27,用地／件数,1,13,0,0,0,0,14
27,用地／面積(m2),71,1560,0,0,0,0,1631
