年次(平成),月次,民間機／定期便(回),民間機／その他(回),民間機／合計(回),その他／国有機等(回),その他／自衛隊機(回),その他／その他(回),その他／合計(回)
23,計,1008,839,1847,72,31,0,103
24,計,989,857,1846,63,31,0,94
25,計,1022,910,1932,111,37,0,148
26,計,1021,945,1966,105,54,0,159
27,計,993,816,1809,94,33,0,127
27,1,86,75,161,7,1,0,8
27,2,77,64,141,9,5,0,14
27,3,88,68,156,8,7,0,15
27,4,71,52,123,6,3,0,9
27,5,76,67,143,10,1,0,11
27,6,69,52,121,5,4,0,9
27,7,80,67,147,10,2,0,12
27,8,99,81,180,10,0,0,10
27,9,88,71,159,5,0,0,5
27,10,86,70,156,8,1,0,9
27,11,86,74,160,9,3,0,12
27,12,87,75,162,7,6,0,13
