区分,番号,名称,区域指定,概要
景観基本軸,1,下町水網軸,,東京都東部地域を網目状に走る掘割や運河、水路などから成り立つ軸
景観基本軸,2,隅田川軸,○,東京を代表する河川である隅田川を中心
景観基本軸,3,南北崖線軸,,城北から都心を通り城南に至る武蔵野台地東端の崖線に沿った緑の多い軸
景観基本軸,4,都心東西軸,,新宿・渋谷から皇居を通り隅田川に至る首都を象徴する施設や公園が集積する軸
景観基本軸,5,臨海軸,○,葛西から羽田を弧状につなぐ、東京湾奥部・東京港の水際線となっている軸
景観基本軸,6,玉川上水・神田川軸,○ ,多摩川から東西方向に武蔵野を抜け、隅田川に至る東京の背骨のような軸
景観基本軸,7,多摩川・国分寺崖線軸,○ ,多摩川沿いの多摩川崖線、国分寺崖線及び立川（府中）崖線を中心とする東京の東西方向の骨格となる軸
景観基本軸,8,武蔵野軸,,区部と多摩部の境界に沿って雑木林や農地、湧水池の多い地帯を通る南北の軸
景観基本軸,9,丘陵地軸,○,東京の西側の山地から台地に突き出した緑豊かな丘陵地の軸
景観基本軸,10,山岳軸,,ほぼ全域が秩父多摩甲斐国立公園に含まれ、豊かな自然と稜線が美しい軸
景観基本軸,11,島しょ軸,,多様な地質・地形の変化に富む伊豆諸島、小笠原諸島の島々から成り立つ軸
