主な建築材料,色相,明度,彩度
コンクリート／新,2.5Y～7.5Y,7.0～8.0,0.2～1.5
コンクリート／古,10YR～10Y,6.0～7.0,0.2～1.5
石材／白御影,7.5YR～5.0Y、N,7.0～8.5,0.0～1.0
石材／錆御影,10YR～2.5Y,5.5～8.0,2.5～4.0
石材／黒御影,7.5YR～5.0Y、N,1.0～4.0,0.0～1.0
木材／新,7.5YR～2.5Y,5.0～8.5,3.0～6.0
木材／中,5.0YR～10YR,3.0～7.0,2.0～4.0
木材／古,5.0YR～10YR,2.0～4.0,0.5～2.0
ガラス／透明,5G～5B,6.0～8.0,0.5～2.0
ガラス／ブルー系,5BG～10PB,5.0～8.0,1.0～4.0
ガラス／グリーン系,10GY～5BG,5.0～8.0,1.0～4.0
ガラス／グレー系,5G～5B、N,4.0～8.0,0.0～2.0
アルミ型材／シルバー,10YR～10Y、N,7.5～8.5,0.0～0.5
アルミ型材／ステンカラー,10YR～5Y,6.5～8.0,0.5～1.5
アルミ型材／ブロンズ,10R～10YR,4.0～6.0,2.0～4.0
アルミ型材／ブラウン,10R～10YR,3.0～5.0,1.0～3.0
アルミ型材／ブラック,N,1.0～2.5,─
レンガ／新,5.0R～2.5YR,3.0～5.0,2.0～8.0
レンガ／古,5.0R～10R,2.0～4.0,2.0～6.0
いぶし瓦／新,10YR～5.0Y,6.5～5.0,0.0～0.5
いぶし瓦／古,10YR～7.5Y、N,3.5～5.0,0.0～1.0
