"選挙名称","届出番号","党派名","3:40 確定[人]","23:40[人]"
"令和元年7月21日執行　参議院（比例代表選出）議員選挙","1","日本共産党","8,098.306 ","6,500 "
"令和元年7月21日執行　参議院（比例代表選出）議員選挙","2","自由民主党","37,454.523 ","27,500 "
"令和元年7月21日執行　参議院（比例代表選出）議員選挙","3","オリーブの木","375.029 ","0 "
"令和元年7月21日執行　参議院（比例代表選出）議員選挙","4","社会民主党","1,395 ","1,000 "
"令和元年7月21日執行　参議院（比例代表選出）議員選挙","5","公明党","6,494.086 ","5,500 "
"令和元年7月21日執行　参議院（比例代表選出）議員選挙","6","国民民主党","4,200.083 ","3,000 "
"令和元年7月21日執行　参議院（比例代表選出）議員選挙","7","日本維新の会","9,462 ","6,500 "
"令和元年7月21日執行　参議院（比例代表選出）議員選挙","8","幸福実現党","521 ","0 "
"令和元年7月21日執行　参議院（比例代表選出）議員選挙","9","立憲民主党","15,394.185 ","12,500 "
"令和元年7月21日執行　参議院（比例代表選出）議員選挙","10","労働の解放をめざす労働者党","72 ","0 "
"令和元年7月21日執行　参議院（比例代表選出）議員選挙","11","NHKから国民を守る党","2,095 ","1,500 "
"令和元年7月21日執行　参議院（比例代表選出）議員選挙","12","安楽死制度を考える会","1,077 ","500 "
"令和元年7月21日執行　参議院（比例代表選出）議員選挙","13","れいわ新選組","9,078.778 ","4,000 "

"令和元年7月21日執行　参議院比例代表選出議員選挙党派別開票推移","Ver201907",,,
