調査項目,回答,全体(人),健康・体力づくりのため(人),楽しみや気晴らしのため(人),運動不足解消のため(人),精神の修養や訓練のため（心をきたえるため）(人),自己の記録や能力を向上させるため(人),リハビリテーションや医療・治療のため(人),家族のふれあいのため(人),友人・仲間との交流のため(人),美容や肥満解消（ダイエット）のため(人),障害者スポーツ大会に参加するため(人),その他(人),わからない(人)
実施した理由,,2091,1503,890,1109,240,182,340,154,254,217,17,36,61
障害者の年齢,7-17歳,379,256,204,187,57,57,33,71,110,22,9,13,8
障害者の年齢,18-19歳,24,13,10,10,4,1,2,1,5,3,0,0,1
障害者の年齢,20-29歳,189,117,81,90,17,13,17,11,21,29,1,1,9
障害者の年齢,30-39歳,238,166,110,124,40,26,29,14,27,37,1,5,5
障害者の年齢,40-49歳,275,198,121,142,35,25,39,10,19,47,3,5,11
障害者の年齢,50-59歳,372,280,127,201,38,24,70,19,21,44,3,8,10
障害者の年齢,60-69歳,287,219,111,159,28,16,58,10,23,23,0,2,9
障害者の年齢,70-120歳,327,254,126,196,21,20,92,18,28,12,0,2,8
障害者の年齢,18歳以上,1712,1247,686,922,183,125,307,83,144,195,8,23,53
障害者の性別,男性,1160,832,479,639,138,111,180,82,140,104,13,21,33
障害者の性別,女性,847,614,378,430,96,63,153,65,106,109,4,15,21
障害者の性別,無回答・その他,84,57,33,40,6,8,7,7,8,4,0,0,7
障害種別,視覚障害,166,101,65,81,13,18,18,8,20,10,1,5,7
障害種別,聴覚・平衡機能障害,204,146,96,108,20,21,20,18,41,14,6,3,4
障害種別,音声・言語・そしゃく機能障害,77,51,31,34,12,10,22,9,12,0,2,2,1
障害種別,肢体不自由（上肢）,224,156,63,110,20,20,88,5,16,15,1,2,7
障害種別,肢体不自由（下肢）,343,247,111,171,28,34,128,9,31,31,5,6,9
障害種別,肢体不自由（体幹）,137,89,51,72,16,20,60,10,15,9,4,2,2
障害種別,肢体不自由（脳原性運動機能障害）,35,25,13,19,2,7,11,4,5,1,2,2,1
障害種別,内部障害,429,333,169,249,32,24,63,28,35,47,1,7,13
障害種別,知的障害,387,268,204,211,43,36,28,51,78,32,6,10,11
障害種別,精神障害,535,402,239,297,97,46,64,34,44,96,2,9,14
車椅子の必要性,必要とする,158,95,58,68,25,36,58,9,22,13,5,3,4
車椅子の必要性,必要としない,393,281,140,202,24,24,134,15,30,33,2,4,11
障害者手帳の有無,持っている,1357,990,575,732,154,115,235,94,172,161,15,25,27
障害者手帳の有無,持っていない,734,513,315,377,86,67,105,60,82,56,2,11,34
障害種別,身体障害者手帳　1級,273,203,103,155,14,14,51,16,25,22,3,5,7
障害種別,身体障害者手帳　2級,151,98,53,70,20,13,44,9,20,17,4,0,5
障害種別,身体障害者手帳　3級,136,91,50,69,10,16,27,10,11,17,0,1,5
障害種別,身体障害者手帳　4級,158,118,66,90,18,15,40,7,29,17,2,3,0
障害種別,身体障害者手帳　5級,64,45,25,27,9,6,20,2,4,6,0,3,0
障害種別,身体障害者手帳　6級,59,42,26,27,4,6,9,4,8,1,0,2,2
障害種別,療育手帳（愛の手帳）1度（最重度）,15,9,6,6,1,1,3,0,2,1,0,0,0
障害種別,療育手帳（愛の手帳）2度（重度）,67,51,42,42,2,3,6,12,13,1,0,0,2
障害種別,療育手帳（愛の手帳）3度（中度）,61,45,34,38,5,4,5,10,15,4,3,1,0
障害種別,療育手帳（愛の手帳）4度（軽度）,121,94,67,57,19,15,4,14,31,15,2,5,1
障害種別,精神障害者保健福祉手帳　1級,15,9,2,8,3,4,2,2,2,3,0,0,0
障害種別,精神障害者保健福祉手帳　2級,129,94,60,73,27,12,23,10,10,34,0,3,1
障害種別,精神障害者保健福祉手帳　3級,161,130,67,95,31,15,14,5,14,30,1,4,4
障害種別,障害者手帳は持っていない,734,513,315,377,86,67,105,60,82,56,2,11,34
障害の程度別,重度,499,353,196,270,39,33,101,35,59,42,7,5,14
障害の程度別,軽度,858,637,379,462,115,82,134,59,113,119,8,20,13
障害の程度別,障害者手帳は持っていない,734,513,315,377,86,67,105,60,82,56,2,11,34
受傷の時期,生まれたとき,603,362,256,262,68,62,49,50,99,47,10,9,29
受傷の時期,生まれた後,1488,1141,634,847,172,120,291,104,155,170,7,27,32
学校の種別,小学校の普通学校（通常学級のみに在籍）,77,53,44,37,7,11,1,17,22,0,0,2,1
学校の種別,小学校の普通学校（通級による指導あり）,32,14,18,15,8,14,11,6,17,7,0,0,0
学校の種別,小学校の普通学校（特別支援学級）,73,51,40,37,15,17,8,17,16,4,1,1,0
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,34,24,18,18,6,3,5,12,15,3,2,0,1
学校の種別,中学校の普通学校（通常学級のみに在籍）,32,19,15,12,5,0,1,3,9,1,0,0,2
学校の種別,中学校の普通学校（通級による指導あり）,14,8,5,6,3,2,2,2,2,0,0,0,1
学校の種別,中学校の普通学校（特別支援学級）,29,19,15,11,5,5,3,5,7,2,1,2,0
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,29,20,11,14,3,3,3,0,6,1,1,2,0
学校の種別,高等学校の普通学校（通常学級のみに在籍）,34,21,16,16,3,1,2,2,6,5,0,5,1
学校の種別,高等学校の普通学校（通級による指導あり）,8,5,4,5,3,0,0,1,2,1,0,0,1
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,29,22,20,16,3,3,1,4,9,1,4,0,1
学校の種別,大学・短期大学,25,16,12,11,3,0,3,0,2,3,0,0,2
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,10,9,6,8,1,1,0,2,4,1,0,0,0
学校の種別,職業能力開発校、障害者職業能力開発校等,7,4,3,3,0,0,1,0,1,0,0,1,0
学校の種別,なし,80,52,40,40,6,7,6,7,10,11,0,0,5
仕事の有無,仕事をしている,894,644,347,458,94,79,112,34,79,128,6,13,25
仕事の有無,仕事をしていない,1077,774,489,593,131,94,214,111,164,74,9,22,35
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,120,85,54,58,15,9,14,9,11,15,2,1,1
平日・日中の居場所,自分の家,1098,818,436,600,105,73,227,68,96,100,4,16,41
平日・日中の居場所,職場（一般企業など）,506,366,203,266,59,42,51,23,41,81,4,8,11
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,74,52,36,39,9,5,9,3,7,9,1,0,0
平日・日中の居場所,学校,282,192,159,146,47,42,24,50,92,18,7,12,4
平日・日中の居場所,通所施設（生活介護、デイケアなど）,85,45,35,33,15,17,18,8,12,7,0,0,1
平日・日中の居場所,入所施設,28,16,11,13,2,1,6,1,3,0,0,0,3
平日・日中の居場所,その他,18,14,10,12,3,2,5,1,3,2,1,0,1
放課後の居場所,自分の家,256,180,143,129,34,34,18,54,70,16,7,8,7
放課後の居場所,習いごと（塾や英会話等の学習系）,65,38,40,36,12,17,10,8,26,6,1,1,1
