調査項目,回答,全体(人),必要とする(人),必要としない(人)
車いす利用の有無,,1033,396,637
障害者の年齢,7-17歳,60,43,17
障害者の年齢,18-19歳,4,1,3
障害者の年齢,20-29歳,42,24,18
障害者の年齢,30-39歳,61,29,32
障害者の年齢,40-49歳,89,23,66
障害者の年齢,50-59歳,199,55,144
障害者の年齢,60-69歳,202,62,140
障害者の年齢,70-120歳,376,159,217
障害者の性別,男性,501,174,327
障害者の性別,女性,505,215,290
障害者の性別,無回答・その他,27,7,20
障害種別,視覚障害,46,26,20
障害種別,聴覚・平衡機能障害,65,33,32
障害種別,音声・言語・そしゃく機能障害,83,49,34
障害種別,肢体不自由（上肢）,387,163,224
障害種別,肢体不自由（下肢）,684,274,410
障害種別,肢体不自由（体幹）,308,142,166
障害種別,肢体不自由（脳原性運動機能障害）,82,51,31
障害種別,内部障害,47,20,27
障害種別,知的障害,64,39,25
障害種別,精神障害,55,23,32
障害者手帳の有無,持っている,724,320,404
障害者手帳の有無,持っていない,309,76,233
障害種別,身体障害者手帳　1級,186,140,46
障害種別,身体障害者手帳　2級,158,80,78
障害種別,身体障害者手帳　3級,118,34,84
障害種別,身体障害者手帳　4級,117,34,83
障害種別,身体障害者手帳　5級,63,13,50
障害種別,身体障害者手帳　6級,52,6,46
障害種別,療育手帳（愛の手帳）1度（最重度）,11,11,0
障害種別,療育手帳（愛の手帳）2度（重度）,13,10,3
障害種別,療育手帳（愛の手帳）3度（中度）,10,4,6
障害種別,療育手帳（愛の手帳）4度（軽度）,13,4,9
障害種別,精神障害者保健福祉手帳　1級,7,6,1
障害種別,精神障害者保健福祉手帳　2級,14,5,9
障害種別,精神障害者保健福祉手帳　3級,11,4,7
障害種別,障害者手帳は持っていない,309,76,233
受傷の時期,生まれたとき,188,96,92
受傷の時期,生まれた後,845,300,545
学校の種別,小学校の普通学校（通常学級のみに在籍）,6,1,5
学校の種別,小学校の普通学校（通級による指導あり）,11,9,2
学校の種別,小学校の普通学校（特別支援学級）,8,8,0
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,11,8,3
学校の種別,中学校の普通学校（通常学級のみに在籍）,2,0,2
学校の種別,中学校の普通学校（通級による指導あり）,3,1,2
学校の種別,中学校の普通学校（特別支援学級）,5,5,0
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,9,8,1
学校の種別,高等学校の普通学校（通常学級のみに在籍）,0,0,0
学校の種別,高等学校の普通学校（通級による指導あり）,1,0,1
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,5,3,2
学校の種別,大学・短期大学,7,2,5
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,2,1,1
学校の種別,職業能力開発校、障害者職業能力開発校等,0,0,0
学校の種別,なし,16,11,5
仕事の有無,仕事をしている,324,67,257
仕事の有無,仕事をしていない,678,311,367
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,31,18,13
平日・日中の居場所,自分の家,702,251,451
平日・日中の居場所,職場（一般企業など）,151,16,135
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,16,11,5
平日・日中の居場所,学校,43,32,11
平日・日中の居場所,通所施設（生活介護、デイケアなど）,64,42,22
平日・日中の居場所,入所施設,41,36,5
平日・日中の居場所,その他,16,8,8
放課後の居場所,自分の家,34,24,10
放課後の居場所,習いごと（塾や英会話等の学習系）,12,10,2
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,6,4,2
放課後の居場所,習いごと（音楽や習字等の芸術系）,17,11,6
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,27,23,4
放課後の居場所,学童保育,11,7,4
放課後の居場所,広場や公園,12,10,2
放課後の居場所,学校（校庭や体育館）,2,2,0
放課後の居場所,児童館や図書館などの公共施設,2,2,0
放課後の居場所,その他,0,0,0
障害福祉サービスの利用状況,利用していない,558,104,454
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,143,104,39
障害福祉サービスの利用状況,重度訪問介護,20,19,1
障害福祉サービスの利用状況,同行援護,28,24,4
障害福祉サービスの利用状況,行動援護,37,26,11
障害福祉サービスの利用状況,重度障害者等包括支援,16,13,3
障害福祉サービスの利用状況,短期入所（ショートステイ）,86,61,25
障害福祉サービスの利用状況,療養介護,24,18,6
障害福祉サービスの利用状況,生活介護,62,41,21
障害福祉サービスの利用状況,施設入所支援,28,25,3
障害福祉サービスの利用状況,自立訓練,37,20,17
障害福祉サービスの利用状況,就労移行支援,6,5,1
障害福祉サービスの利用状況,就労継続支援（A型）,3,1,2
障害福祉サービスの利用状況,就労継続支援（B型）,13,6,7
障害福祉サービスの利用状況,就労定着支援,1,1,0
障害福祉サービスの利用状況,自立生活援助,13,10,3
障害福祉サービスの利用状況,共同生活援助（グループホーム）,11,10,1
障害福祉サービスの利用状況,計画相談支援,14,10,4
障害福祉サービスの利用状況,地域相談支援,25,14,11
障害福祉サービスの利用状況,移動支援,34,22,12
障害福祉サービスの利用状況,地域活動支援センター,30,17,13
障害福祉サービスの利用状況,福祉ホーム,17,15,2
障害福祉サービスの利用状況,児童発達支援,11,7,4
障害福祉サービスの利用状況,医療型児童発達支援,4,2,2
障害福祉サービスの利用状況,放課後等デイサービス,70,44,26
障害福祉サービスの利用状況,居宅訪問型児童発達支援,5,4,1
障害福祉サービスの利用状況,保育所等訪問支援,2,2,0
障害福祉サービスの利用状況,訪問看護,109,76,33
障害福祉サービスの利用状況,訪問リハビリテーション,137,83,54
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,408,90,318
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,155,50,105
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,84,33,51
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,25,13,12
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,67,27,40
過去1年間の実施種目,ブラインドサッカー,13,10,3
過去1年間の実施種目,車いすテニス,7,7,0
過去1年間の実施種目,サウンドテーブルテニス,15,11,4
過去1年間の実施種目,パラバレーボール,15,14,1
過去1年間の実施種目,車いすバスケットボール,8,8,0
過去1年間の実施種目,車いすラグビー,7,5,2
過去1年間の実施種目,ボッチャ,16,14,2
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,15,6,9
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,15,6,9
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,8,6,2
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,6,5,1
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,7,5,2
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,8,4,4
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,9,6,3
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,5,4,1
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,16,6,10
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,25,8,17
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,18,6,12
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,10,4,6
過去1年間の実施種目,その他,16,6,10
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,482,238,244
実施頻度（1年間）,週3日以上（年151日以上）,169,45,124
実施頻度（1年間）,週2日程度（年101日～150日）,114,35,79
実施頻度（1年間）,週1日程度（年51日～100日）,141,44,97
実施頻度（1年間）,月に1～3日程度（年12日～50日）,71,18,53
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,14,4,10
実施頻度（1年間）,年に1～3日程度,11,2,9
実施頻度（1年間）,わからない,31,10,21
実施した場所,自宅,245,77,168
実施した場所,道路や遊歩道,269,47,222
実施した場所,広場や公園,141,33,108
実施した場所,民間のスポーツ施設,79,31,48
実施した場所,公共のスポーツ施設（障害者専用施設）,53,39,14
実施した場所,公共のスポーツ施設（障害者専用施設以外）,67,26,41
実施した場所,小中高校の体育施設,19,10,9
実施した場所,特別支援学校の体育施設,27,24,3
実施した場所,職場のスポーツ施設,14,10,4
実施した場所,福祉施設,40,24,16
実施した場所,児童通所サービス（放課後等デイサービス等）,10,8,2
実施した場所,医療機関（病院やリハビリ施設）,42,16,26
実施した場所,山・川・海・空,22,4,18
実施した場所,その他,14,2,12
実施した場所,わからない,8,3,5
一緒に実施する人,一人,295,40,255
一緒に実施する人,家族,165,64,101
一緒に実施する人,福祉施設の職員・仲間,77,46,31
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,38,25,13
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,40,27,13
一緒に実施する人,スポーツ教室の指導者・仲間,48,20,28
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,32,19,13
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,19,9,10
一緒に実施する人,ボランティアの人たち,24,19,5
一緒に実施する人,学校の先生や学校の友達,20,13,7
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,13,6,7
一緒に実施する人,その他の友人・知人,29,6,23
一緒に実施する人,その他,12,4,8
一緒に実施する人,わからない,8,3,5
実施した理由,健康・体力づくりのため,376,95,281
実施した理由,楽しみや気晴らしのため,198,58,140
実施した理由,運動不足解消のため,270,68,202
実施した理由,精神の修養や訓練のため（心をきたえるため）,49,25,24
実施した理由,自己の記録や能力を向上させるため,60,36,24
実施した理由,リハビリテーションや医療・治療のため,192,58,134
実施した理由,家族のふれあいのため,24,9,15
実施した理由,友人・仲間との交流のため,52,22,30
実施した理由,美容や肥満解消（ダイエット）のため,46,13,33
実施した理由,障害者スポーツ大会に参加するため,7,5,2
実施した理由,その他,7,3,4
実施した理由,わからない,15,4,11
実施したきっかけ,家族に奨められた,145,50,95
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,37,21,16
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,32,14,18
実施したきっかけ,医師に奨められた,169,47,122
実施したきっかけ,看護師に奨められた,56,30,26
実施したきっかけ,作業療法士（OT）に奨められた,45,24,21
実施したきっかけ,理学療法士（PT）に奨められた,84,38,46
実施したきっかけ,言語聴覚士（ST）に奨められた,15,13,2
実施したきっかけ,視能訓練士（CO）に奨められた,11,7,4
実施したきっかけ,義肢装具士に奨められた,7,6,1
実施したきっかけ,介護福祉士に奨められた,30,16,14
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,24,10,14
実施したきっかけ,スポーツ指導者に奨められた,6,2,4
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,9,8,1
実施したきっかけ,学校の先生に奨められた,12,11,1
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,6,4,2
実施したきっかけ,所属する団体（会社等）に奨められた,6,4,2
実施したきっかけ,障害のある有名選手・パラアスリートの影響,9,5,4
実施したきっかけ,障害のない有名選手・アスリートの影響,7,5,2
実施したきっかけ,テレビや新聞の影響,20,8,12
実施したきっかけ,インターネットや動画配信を見て,16,3,13
実施したきっかけ,ＳＮＳの影響,6,3,3
実施したきっかけ,漫画、ドラマ、映画等の影響,4,2,2
実施したきっかけ,現地やテレビ等でそのスポーツを観た,5,3,2
実施したきっかけ,スポーツ団体等の関係者から誘われた,4,1,3
実施したきっかけ,スポーツイベントや体験会等で興味を持った,4,2,2
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,1,1,0
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,7,4,3
実施したきっかけ,行政の広報誌,5,0,5
実施したきっかけ,その他,32,10,22
実施したきっかけ,特にきっかけはない・なんとなく,141,16,125
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,189,64,125
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,171,52,119
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,312,121,191
スポーツ・運動への取組意向,スポーツや運動に関心はない,361,159,202
実施していない理由,医師に止められており、身体的にできない,75,43,32
実施していない理由,どのくらい体を動かしたらよいかわからない,35,13,22
実施していない理由,身近なところにスポーツや運動ができる場所がない,30,15,15
実施していない理由,スポーツや運動ができる場所への移動手段がない,27,10,17
実施していない理由,自分に合ったスポーツや運動の情報がない,46,18,28
実施していない理由,一緒にできる仲間がいない,31,9,22
実施していない理由,介助者がいない,58,38,20
実施していない理由,金銭的な余裕がない,43,18,25
実施していない理由,時間がない,27,7,20
実施していない理由,必要な競技用具や補助具がない,33,22,11
実施していない理由,その他,54,29,25
実施していない理由,活動したいと思わない,246,118,128
活動したいと思わない理由,スポーツ・運動が嫌いだから,37,9,28
活動したいと思わない理由,スポーツ・運動に興味がないから,54,24,30
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,13,6,7
活動したいと思わない理由,疲れるから,57,26,31
活動したいと思わない理由,人前に出るのが好きではないから,22,11,11
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,3,0,3
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,6,4,2
活動したいと思わない理由,スポーツ以外に趣味があるから,23,13,10
活動したいと思わない理由,忙しいから,14,4,10
活動したいと思わない理由,その他,35,23,12
活動したいと思わない理由,わからない,72,35,37
学校体育の参加状況,参加していて、体育が好きである,42,34,8
学校体育の参加状況,参加しているが、体育は好きではない,9,5,4
学校体育の参加状況,参加していない,4,2,2
学校体育の参加状況,わからない,6,2,4
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,2,2,0
学校体育に参加しない理由,自分にはできないと思ったから,0,0,0
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,1,0,1
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,0,0,0
学校体育に参加しない理由,医師から止められていたから,0,0,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,0,0,0
学校体育に参加しない理由,身体を動かすことが怖いから,0,0,0
学校体育に参加しない理由,その他,1,0,1
スポーツ・運動の参加方法,現地の会場で対面での参加,279,102,177
スポーツ・運動の参加方法,リモート参加,52,30,22
スポーツ・運動の参加方法,ハイブリッド（現地参加とリモート参加の両方から選択できる）,82,30,52
スポーツ・運動の参加方法,参加したいと思わない,620,234,386
参加したいスポーツ活動,ルールが簡単,201,81,120
参加したいスポーツ活動,自分のペースに合わせてできる,430,137,293
参加したいスポーツ活動,汗をかかない,53,27,26
参加したいスポーツ活動,自宅で実施できる,209,87,122
参加したいスポーツ活動,短い時間で実施できる,227,84,143
参加したいスポーツ活動,上達したことが分かる,98,40,58
参加したいスポーツ活動,ゲーム機を使い体を動かして行なうスポーツ・フィットネス等,44,21,23
参加したいスポーツ活動,好きな種目を選べる,120,36,84
参加したいスポーツ活動,やったことがないスポーツを試せる,35,19,16
参加したいスポーツ活動,予約や申し込みなしに、参加したいときに参加できる,96,29,67
参加したいスポーツ活動,有名な選手に会える,19,14,5
参加したいスポーツ活動,親子で一緒に参加ができる,29,21,8
参加したいスポーツ活動,新しい友達をつくることができる,66,28,38
参加したいスポーツ活動,スポーツ以外に芸術・文化的なパフォーマンスも楽しめる,44,22,22
参加したいスポーツ活動,失敗しても笑われたり恥ずかしい思いをしない,84,34,50
参加したいスポーツ活動,新しい道具やウェアを買わなくてよい,98,33,65
参加したいスポーツ活動,その他,26,11,15
参加したいスポーツ活動,どのようなスポーツや運動でも参加したいと思わない,352,144,208
スポーツ・運動の継続実施に必要なもの,スタジアム、体育館などの建物や設備のバリアフリー化,116,52,64
スポーツ・運動の継続実施に必要なもの,交通機関（電車やバス）やまちのバリアフリー化,146,62,84
スポーツ・運動の継続実施に必要なもの,会場までの送迎,135,54,81
スポーツ・運動の継続実施に必要なもの,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,96,48,48
スポーツ・運動の継続実施に必要なもの,障害にあわせた教室やプログラム,143,51,92
スポーツ・運動の継続実施に必要なもの,介助者や手話通訳などの支援,45,26,19
スポーツ・運動の継続実施に必要なもの,障害に対応した情報の提供や問合せ方法の充実,79,31,48
スポーツ・運動の継続実施に必要なもの,施設や用具等を利用する際に必要な手続きの支援,48,20,28
スポーツ・運動の継続実施に必要なもの,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,38,21,17
スポーツ・運動の継続実施に必要なもの,健康や体調を管理する医療的なサポート,94,26,68
スポーツ・運動の継続実施に必要なもの,目標となる大会やイベント,30,12,18
スポーツ・運動の継続実施に必要なもの,スポーツ用具等の貸出し,46,16,30
スポーツ・運動の継続実施に必要なもの,施設の利用料減免　（利用料が安くなったり、無料になったりする）,95,29,66
スポーツ・運動の継続実施に必要なもの,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,28,12,16
スポーツ・運動の継続実施に必要なもの,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,87,32,55
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（障害の無い人）,70,20,50
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と同じ障害のある人）,78,25,53
スポーツ・運動の継続実施に必要なもの,一緒に行う仲間（自分と異なる障害のある人）,43,16,27
スポーツ・運動の継続実施に必要なもの,適切な指導者やコーチ、トレーナー,98,24,74
スポーツ・運動の継続実施に必要なもの,その他,13,3,10
スポーツ・運動の継続実施に必要なもの,特にない,80,6,74
スポーツ・運動の継続実施に必要なもの,わからない,49,8,41
新たに別のスポーツ・運動を始めるために必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,76,40,36
新たに別のスポーツ・運動を始めるために必要な支援,交通機関（電車やバス）やまちのバリアフリー化,86,44,42
新たに別のスポーツ・運動を始めるために必要な支援,会場までの送迎,123,46,77
新たに別のスポーツ・運動を始めるために必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,49,28,21
新たに別のスポーツ・運動を始めるために必要な支援,障害にあわせた教室やプログラム,85,26,59
新たに別のスポーツ・運動を始めるために必要な支援,介助者や手話通訳などの支援,19,9,10
新たに別のスポーツ・運動を始めるために必要な支援,障害に対応した情報の提供や問合せ方法の充実,40,16,24
新たに別のスポーツ・運動を始めるために必要な支援,施設や用具等を利用する際に必要な手続きの支援,17,6,11
新たに別のスポーツ・運動を始めるために必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,13,6,7
新たに別のスポーツ・運動を始めるために必要な支援,健康や体調を管理する医療的なサポート,59,17,42
新たに別のスポーツ・運動を始めるために必要な支援,目標となる大会やイベント,19,8,11
新たに別のスポーツ・運動を始めるために必要な支援,スポーツ用具等の貸出し,24,7,17
新たに別のスポーツ・運動を始めるために必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,70,15,55
新たに別のスポーツ・運動を始めるために必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,18,9,9
新たに別のスポーツ・運動を始めるために必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,61,20,41
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（障害の無い人）,29,4,25
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と同じ障害のある人）,33,8,25
新たに別のスポーツ・運動を始めるために必要な支援,一緒に行う仲間（自分と異なる障害のある人）,12,2,10
新たに別のスポーツ・運動を始めるために必要な支援,適切な指導者やコーチ、トレーナー,78,18,60
新たに別のスポーツ・運動を始めるために必要な支援,その他,7,0,7
新たに別のスポーツ・運動を始めるために必要な支援,特にない,88,6,82
新たに別のスポーツ・運動を始めるために必要な支援,わからない,50,8,42
スポーツを始めるきっかけとして必要な支援,スタジアム、体育館などの建物や設備のバリアフリー化,18,12,6
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,19,12,7
スポーツを始めるきっかけとして必要な支援,会場までの送迎,53,29,24
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,18,16,2
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,56,31,25
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,19,16,3
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,20,15,5
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,6,6,0
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,2,2,0
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,32,22,10
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,3,1,2
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,8,3,5
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,21,7,14
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,5,2,3
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,32,10,22
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,17,8,9
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,27,18,9
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,5,3,2
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,36,19,17
スポーツを始めるきっかけとして必要な支援,その他,9,4,5
スポーツを始めるきっかけとして必要な支援,特にない,167,73,94
スポーツを始めるきっかけとして必要な支援,わからない,130,63,67
スポーツ以外に関心のある事,旅行,367,111,256
スポーツ以外に関心のある事,グルメ・食べ歩き,360,122,238
スポーツ以外に関心のある事,買い物・ショッピング,242,79,163
スポーツ以外に関心のある事,テレビ視聴,403,162,241
スポーツ以外に関心のある事,動画配信サービス視聴,211,74,137
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,135,56,79
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,127,41,86
スポーツ以外に関心のある事,インターネット閲覧,272,78,194
スポーツ以外に関心のある事,映画鑑賞,234,77,157
スポーツ以外に関心のある事,読書,194,59,135
スポーツ以外に関心のある事,アニメ／漫画,120,41,79
