調査項目,回答,全体(人),スタジアム、体育館などの建物や設備のバリアフリー化(人),交通機関（電車やバス）やまちのバリアフリー化(人),会場までの送迎(人),障害者への施設開放の促進（障害者が優先的に使える施設が増える）(人),障害にあわせた教室やプログラム(人),介助者や手話通訳などの支援(人),障害に対応した情報の提供や問合せ方法の充実(人),施設や用具等を利用する際に必要な手続きの支援(人),障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進(人),健康や体調を管理する医療的なサポート(人),目標となる大会やイベント(人),スポーツ用具等の貸出し(人),施設の利用料減免　（利用料が安くなったり、無料になったりする）(人),リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実(人),自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実(人),一緒に行う仲間（障害の無い人）(人),一緒に行う仲間（自分と同じ障害のある人）(人),一緒に行う仲間（自分と異なる障害のある人）(人),適切な指導者やコーチ、トレーナー(人),その他(人),特にない(人),わからない(人)
新たに別のスポーツ・運動を始めるために必要な支援,,2091,245,228,321,159,340,65,142,75,54,186,85,102,245,50,146,197,164,47,303,23,396,249
障害者の年齢,7-17歳,379,36,32,72,43,114,21,27,18,17,18,22,19,40,10,12,46,53,16,95,5,34,32
障害者の年齢,18-19歳,24,6,1,4,0,6,1,3,0,1,5,2,3,3,1,2,4,3,1,1,0,0,1
障害者の年齢,20-29歳,189,25,17,18,18,31,5,17,7,6,14,12,5,25,4,9,24,20,5,23,2,26,24
障害者の年齢,30-39歳,238,25,28,35,21,25,10,14,7,12,27,12,23,34,5,13,26,21,7,25,3,39,29
障害者の年齢,40-49歳,275,34,26,29,21,36,5,18,15,8,25,15,13,36,8,15,24,17,3,34,3,57,42
障害者の年齢,50-59歳,372,51,46,46,18,39,6,15,13,5,32,13,27,51,6,21,27,18,7,39,8,94,49
障害者の年齢,60-69歳,287,34,36,46,23,37,5,19,10,3,26,4,7,31,8,28,24,11,2,31,1,73,37
障害者の年齢,70-120歳,327,34,42,71,15,52,12,29,5,2,39,5,5,25,8,46,22,21,6,55,1,73,35
障害者の性別,男性,1160,130,117,165,86,197,39,66,51,31,86,49,61,135,19,65,109,97,20,187,15,236,140
障害者の性別,女性,847,103,98,149,66,135,22,69,22,21,93,28,37,105,27,78,81,62,25,113,8,146,96
障害者の性別,無回答・その他,84,12,13,7,7,8,4,7,2,2,7,8,4,5,4,3,7,5,2,3,0,14,13
障害種別,視覚障害,166,36,33,28,17,24,7,14,7,9,8,6,9,11,2,8,13,9,3,7,0,28,19
障害種別,聴覚・平衡機能障害,204,33,26,20,21,30,17,12,8,6,16,6,12,21,5,18,15,14,5,25,2,39,16
