調査項目,回答,全体(人),家族に奨められた(人),（障害のある）友人・知人・同僚に奨められた(人),（障害のない）友人・知人・同僚に奨められた(人),医師に奨められた(人),看護師に奨められた(人),作業療法士（OT）に奨められた(人),理学療法士（PT）に奨められた(人),言語聴覚士（ST）に奨められた(人),視能訓練士（CO）に奨められた(人),義肢装具士に奨められた(人),介護福祉士に奨められた(人),社会福祉士（ソーシャルワーカー）に奨められた(人),スポーツ指導者に奨められた(人),パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた(人),学校の先生に奨められた(人),学校の授業等で興味を持ち、自主的に始めた(人),所属する団体（会社等）に奨められた(人),障害のある有名選手・パラアスリートの影響(人),障害のない有名選手・アスリートの影響(人),テレビや新聞の影響(人),インターネットや動画配信を見て(人),ＳＮＳの影響(人),漫画、ドラマ、映画等の影響(人),現地やテレビ等でそのスポーツを観た(人),スポーツ団体等の関係者から誘われた(人),スポーツイベントや体験会等で興味を持った(人),スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った(人),福祉施設で実施している運動プログラムに参加して(人),行政の広報誌(人),その他(人),特にきっかけはない・なんとなく(人)
実施したきっかけ,,2091,561,101,119,500,114,100,128,39,21,15,43,49,20,19,57,64,17,14,13,66,81,40,20,22,11,18,6,36,15,89,676
障害者の年齢,7-17歳,379,106,26,22,44,19,27,20,16,6,4,11,11,7,9,47,51,7,3,2,7,13,5,8,5,3,9,1,15,2,17,110
障害者の年齢,18-19歳,24,5,1,5,5,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,6
障害者の年齢,20-29歳,189,63,10,13,22,4,3,5,5,2,2,0,4,2,3,4,5,4,2,4,2,9,10,5,5,4,5,4,1,0,3,58
障害者の年齢,30-39歳,238,48,16,17,47,13,10,15,6,7,3,4,4,3,6,3,4,2,2,3,10,19,10,3,5,3,1,1,3,0,9,93
障害者の年齢,40-49歳,275,55,14,22,50,15,13,14,3,2,1,1,5,2,1,1,3,1,3,2,7,8,4,2,2,0,1,0,3,2,8,125
障害者の年齢,50-59歳,372,88,6,14,118,17,16,20,2,0,2,3,6,2,0,0,0,1,3,1,7,13,3,0,1,0,1,0,4,1,21,127
障害者の年齢,60-69歳,287,70,11,9,94,14,12,22,2,3,1,3,4,1,0,1,0,0,1,0,14,12,5,0,1,0,0,0,0,2,21,91
障害者の年齢,70-120歳,327,126,17,17,120,30,19,30,5,1,2,21,15,3,0,0,0,2,0,1,18,7,1,1,3,1,1,0,10,8,10,66
障害者の性別,男性,1160,281,50,56,274,55,57,57,19,7,6,14,22,9,8,35,41,11,7,8,31,45,18,7,13,5,11,3,17,5,54,415
障害者の性別,女性,847,254,49,56,211,58,40,66,19,12,9,28,25,9,9,20,23,6,7,5,35,35,19,12,6,5,6,3,19,10,33,232
障害者の性別,無回答・その他,84,26,2,7,15,1,3,5,1,2,0,1,2,2,2,2,0,0,0,0,0,1,3,1,3,1,1,0,0,0,2,29
障害種別,視覚障害,166,61,14,13,35,9,18,7,5,2,2,2,3,1,3,5,2,0,0,2,7,6,3,1,3,0,1,0,1,2,6,35
障害種別,聴覚・平衡機能障害,204,66,13,20,50,11,13,8,8,5,2,2,2,5,1,8,11,1,2,2,9,9,5,5,6,2,3,1,2,1,5,49
障害種別,音声・言語・そしゃく機能障害,77,24,5,4,19,7,10,12,5,2,3,4,2,3,0,2,0,0,0,0,2,2,2,2,1,2,1,1,1,0,6,13
障害種別,肢体不自由（上肢）,224,56,9,15,69,20,26,45,7,4,1,13,4,3,0,2,2,2,3,3,7,3,4,1,0,1,0,0,5,1,14,55
