調査項目,回答,全体(人),週3日以上（年151日以上）(人),週2日程度（年101日～150日）(人),週1日程度（年51日～100日）(人),月に1～3日程度（年12日～50日）(人),3か月に1～2日程度（年4日～11日）(人),年に1～3日程度(人),わからない(人)
実施頻度（1年間）,,3226,604,429,506,280,75,52,145
障害者の年齢,7-17歳,507,83,105,93,47,13,7,31
障害者の年齢,18-19歳,33,6,0,8,7,1,0,2
障害者の年齢,20-29歳,273,56,26,51,32,8,7,9
障害者の年齢,30-39歳,336,50,57,66,34,7,7,17
障害者の年齢,40-49歳,377,76,43,65,43,20,6,22
障害者の年齢,50-59歳,588,129,72,74,48,13,9,27
障害者の年齢,60-69歳,454,103,49,60,41,8,7,19
障害者の年齢,70-120歳,658,101,77,89,28,5,9,18
障害者の年齢,18歳以上,2719,521,324,413,233,62,45,114
障害者の性別,男性,1160,360,233,263,154,41,26,83
障害者の性別,女性,847,229,177,222,114,31,23,51
障害者の性別,無回答・その他,84,15,19,21,12,3,3,11
障害種別,視覚障害,247,55,29,41,14,9,2,16
障害種別,聴覚・平衡機能障害,300,60,53,43,20,8,7,13
障害種別,音声・言語・そしゃく機能障害,135,21,13,27,8,3,2,3
障害種別,肢体不自由（上肢）,387,83,50,45,22,8,2,14
障害種別,肢体不自由（下肢）,684,110,69,85,40,9,7,23
障害種別,肢体不自由（体幹）,308,37,22,48,20,2,1,7
障害種別,肢体不自由（脳原性運動機能障害）,82,14,4,6,4,1,3,3
障害種別,内部障害,619,140,75,101,46,21,15,31
障害種別,知的障害,552,83,95,96,68,11,5,29
障害種別,精神障害,824,144,93,130,84,25,18,41
車椅子の必要性,必要とする,396,45,35,44,18,4,2,10
車椅子の必要性,必要としない,637,124,79,97,53,10,9,21
障害者手帳の有無,持っている,1357,408,282,327,184,54,29,73
障害者手帳の有無,持っていない,734,196,147,179,96,21,23,72
障害種別,身体障害者手帳　1級,273,104,43,56,32,17,4,17
障害種別,身体障害者手帳　2級,151,49,41,32,17,4,1,7
障害種別,身体障害者手帳　3級,136,37,28,39,16,4,4,8
障害種別,身体障害者手帳　4級,158,51,28,49,17,1,6,6
障害種別,身体障害者手帳　5級,64,18,17,15,7,2,1,4
障害種別,身体障害者手帳　6級,59,17,11,21,4,4,0,2
障害種別,療育手帳（愛の手帳）1度（最重度）,15,3,1,3,7,0,1,0
障害種別,療育手帳（愛の手帳）2度（重度）,67,16,13,17,11,0,3,7
障害種別,療育手帳（愛の手帳）3度（中度）,61,5,21,15,16,2,1,1
障害種別,療育手帳（愛の手帳）4度（軽度）,121,31,32,36,10,6,0,6
障害種別,精神障害者保健福祉手帳　1級,15,4,3,5,3,0,0,0
障害種別,精神障害者保健福祉手帳　2級,129,31,26,28,23,8,7,6
障害種別,精神障害者保健福祉手帳　3級,161,55,26,30,29,7,3,11
障害種別,障害者手帳は持っていない,734,196,147,179,96,21,23,72
障害の程度別,重度,810,171,99,106,65,21,7,30
障害の程度別,軽度,1293,237,183,221,119,33,22,43
