調査項目,回答,全体(人),スポーツ・運動が嫌いだから(人),スポーツ・運動に興味がないから(人),スポーツ・運動を楽しんだ経験がないから(人),疲れるから(人),人前に出るのが好きではないから(人),学校の体育や部活動等で苦手意識を持ったから(人),一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから(人),スポーツ以外に趣味があるから(人),忙しいから(人),その他(人),わからない(人)
活動したいと思わない理由,,666,158,151,39,163,57,23,18,64,34,56,216
障害者の年齢,7-17歳,73,13,21,2,13,7,5,2,9,1,1,34
障害者の年齢,18-19歳,4,1,2,0,1,0,0,0,1,0,0,1
障害者の年齢,20-29歳,52,16,13,6,8,7,6,5,8,4,3,19
障害者の年齢,30-39歳,60,18,13,3,18,4,4,2,8,6,3,22
障害者の年齢,40-49歳,66,28,17,3,19,6,2,2,9,3,4,15
障害者の年齢,50-59歳,123,34,32,8,33,12,5,2,8,9,8,35
障害者の年齢,60-69歳,96,18,20,7,26,9,0,3,13,6,6,25
障害者の年齢,70-120歳,192,30,33,10,45,12,1,2,8,5,31,65
障害者の性別,男性,296,67,70,14,72,25,7,6,40,16,19,97
障害者の性別,女性,339,83,78,21,85,30,13,9,21,15,36,102
障害者の性別,無回答・その他,31,8,3,4,6,2,3,3,3,3,1,17
障害種別,視覚障害,55,10,7,3,10,3,1,0,0,2,3,32
障害種別,聴覚・平衡機能障害,53,9,5,3,10,2,0,1,2,4,3,24
障害種別,音声・言語・そしゃく機能障害,29,3,6,2,4,3,0,1,2,1,6,10
障害種別,肢体不自由（上肢）,74,7,13,2,13,8,0,1,11,4,11,27
障害種別,肢体不自由（下肢）,185,25,36,6,40,13,2,3,16,11,30,58
障害種別,肢体不自由（体幹）,79,12,16,5,20,10,1,4,13,2,13,19
障害種別,肢体不自由（脳原性運動機能障害）,16,1,3,2,3,1,0,1,1,1,4,5
障害種別,内部障害,100,21,20,4,32,7,4,3,11,7,9,24
障害種別,知的障害,89,23,26,8,17,6,4,6,7,3,5,36
障害種別,精神障害,202,73,57,16,58,24,13,7,22,12,13,53
車椅子の必要性,必要とする,118,9,24,6,26,11,0,4,13,4,23,35
車椅子の必要性,必要としない,128,28,30,7,31,11,3,2,10,10,12,37
障害者手帳の有無,持っている,411,109,104,25,104,40,13,15,46,20,35,112
障害者手帳の有無,持っていない,255,49,47,14,59,17,10,3,18,14,21,104
障害種別,身体障害者手帳　1級,83,14,16,2,23,10,2,2,8,4,11,20
障害種別,身体障害者手帳　2級,52,10,13,4,13,6,0,1,9,3,4,16
障害種別,身体障害者手帳　3級,54,9,13,3,12,3,1,2,5,1,5,17
障害種別,身体障害者手帳　4級,32,4,7,1,6,0,0,1,2,0,1,16
障害種別,身体障害者手帳　5級,16,3,2,2,4,1,2,0,4,3,1,4
障害種別,身体障害者手帳　6級,14,5,4,0,2,0,0,2,0,1,0,4
障害種別,療育手帳（愛の手帳）1度（最重度）,5,0,0,0,0,0,0,1,0,0,2,2
障害種別,療育手帳（愛の手帳）2度（重度）,6,1,2,1,2,0,0,0,0,0,0,3
障害種別,療育手帳（愛の手帳）3度（中度）,13,4,4,0,3,1,0,0,2,0,0,5
障害種別,療育手帳（愛の手帳）4度（軽度）,34,11,14,2,4,2,2,2,2,3,2,11
障害種別,精神障害者保健福祉手帳　1級,1,0,0,0,0,0,0,0,0,0,1,0
障害種別,精神障害者保健福祉手帳　2級,61,28,16,4,18,11,2,1,5,2,7,8
障害種別,精神障害者保健福祉手帳　3級,52,24,17,6,19,7,4,3,10,4,3,8
障害種別,障害者手帳は持っていない,255,49,47,14,59,17,10,3,18,14,21,104
障害の程度別,重度,142,25,30,7,37,15,2,4,17,6,16,41
障害の程度別,軽度,269,84,74,18,67,25,11,11,29,14,19,71
障害の程度別,障害者手帳は持っていない,255,49,47,14,59,17,10,3,18,14,21,104
障害が発生した年齢２,出生時,152,25,29,7,20,8,5,4,12,9,6,77
障害が発生した年齢２,１０歳未満,48,15,14,3,11,5,3,1,10,2,1,16
障害が発生した年齢２,１０歳～１９歳,52,18,18,2,12,3,2,1,4,5,2,16
障害が発生した年齢２,２０歳以上,414,100,90,27,120,41,13,12,38,18,47,107
障害が発生した年齢２,中途障害,514,133,122,32,143,49,18,14,52,25,50,139
受傷の時期,生まれたとき,152,25,29,7,20,8,5,4,12,9,6,77
受傷の時期,生まれた後,514,133,122,32,143,49,18,14,52,25,50,139
学校の種別,小学校の普通学校（通常学級のみに在籍）,8,1,0,0,0,0,0,0,0,0,1,6
学校の種別,小学校の普通学校（通級による指導あり）,1,0,0,0,1,1,0,0,1,0,0,0
学校の種別,小学校の普通学校（特別支援学級）,7,2,2,1,1,1,1,1,1,0,0,4
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,5,1,3,1,3,2,0,0,1,0,0,2
学校の種別,中学校の普通学校（通常学級のみに在籍）,7,0,2,0,1,0,2,0,1,1,0,1
学校の種別,中学校の普通学校（通級による指導あり）,0,0,0,0,0,0,0,0,0,0,0,0
学校の種別,中学校の普通学校（特別支援学級）,6,2,3,0,2,0,0,0,1,0,0,2
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,3,0,1,0,0,0,0,1,0,0,0,1
学校の種別,高等学校の普通学校（通常学級のみに在籍）,11,4,4,0,3,0,0,0,1,0,0,4
学校の種別,高等学校の普通学校（通級による指導あり）,3,1,1,0,1,1,1,0,0,0,0,2
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,8,3,4,1,1,1,0,0,1,1,0,1
学校の種別,大学・短期大学,5,3,1,2,2,3,2,2,2,1,1,0
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,2,1,1,0,0,0,0,0,0,0,0,1
学校の種別,職業能力開発校、障害者職業能力開発校等,0,0,0,0,0,0,0,0,0,0,0,0
学校の種別,なし,43,7,8,2,4,3,3,2,7,2,2,22
仕事の有無,仕事をしている,201,58,51,12,56,10,10,7,23,20,9,57
仕事の有無,仕事をしていない,428,92,91,23,103,43,12,10,37,11,45,140
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,37,8,9,4,4,4,1,1,4,3,2,19
平日・日中の居場所,自分の家,450,101,86,25,104,40,11,10,37,14,37,158
平日・日中の居場所,職場（一般企業など）,106,33,32,5,32,4,5,2,14,16,5,21
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,16,4,7,2,3,2,1,1,2,1,2,6
