調査項目,回答,全体(人),医師に止められており、身体的にできない(人),どのくらい体を動かしたらよいかわからない(人),身近なところにスポーツや運動ができる場所がない(人),スポーツや運動ができる場所への移動手段がない(人),自分に合ったスポーツや運動の情報がない(人),一緒にできる仲間がいない(人),介助者がいない(人),金銭的な余裕がない(人),時間がない(人),必要な競技用具や補助具がない(人),その他(人),活動したいと思わない(人)
実施していない理由,,1135,127,74,61,40,89,96,93,117,90,42,87,666
障害者の年齢,7-17歳,128,5,6,12,2,14,23,16,12,12,4,1,73
障害者の年齢,18-19歳,9,0,2,2,2,1,1,0,1,2,0,1,4
障害者の年齢,20-29歳,84,6,6,3,2,5,9,7,6,11,1,6,52
障害者の年齢,30-39歳,98,6,3,7,1,9,10,4,11,8,2,4,60
障害者の年齢,40-49歳,102,4,9,6,3,8,7,5,10,4,2,7,66
障害者の年齢,50-59歳,216,23,12,15,6,17,14,8,39,26,8,12,123
障害者の年齢,60-69歳,167,22,11,9,11,12,12,14,15,22,5,18,96
障害者の年齢,70-120歳,331,61,25,7,13,23,20,39,23,5,20,38,192
障害者の年齢,18歳以上,1007,122,68,49,38,75,73,77,105,78,38,86,593
障害者の性別,男性,538,57,40,34,23,49,46,43,65,50,19,43,296
障害者の性別,女性,557,68,32,27,17,38,47,47,50,36,22,42,339
障害者の性別,無回答・その他,40,2,2,0,0,2,3,3,2,4,1,2,31
障害種別,視覚障害,81,7,1,1,1,1,5,6,5,3,1,8,55
障害種別,聴覚・平衡機能障害,96,13,5,4,3,6,8,12,13,12,5,12,53
障害種別,音声・言語・そしゃく機能障害,58,9,2,5,4,4,3,8,6,4,3,10,29
障害種別,肢体不自由（上肢）,163,24,10,13,7,16,8,19,15,13,11,22,74
障害種別,肢体不自由（下肢）,341,47,19,23,16,36,19,37,26,18,22,44,185
障害種別,肢体不自由（体幹）,171,33,19,10,12,14,11,30,15,12,15,18,79
障害種別,肢体不自由（脳原性運動機能障害）,47,12,2,4,5,4,4,7,5,4,2,8,16
障害種別,内部障害,190,40,18,7,4,10,11,8,20,19,2,12,100
障害種別,知的障害,165,12,10,14,6,19,20,23,17,14,8,10,89
障害種別,精神障害,289,15,17,13,9,18,31,12,42,26,7,13,202
