調査項目,回答,全体(人),指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）をやったことがある(人),指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）をやったことがない(人),「やったことがない」のうち、やりたい(人),「やったことがない」のうち、やりたいと思わない(人)
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験及び興味関心,,3226,758,2468,587,1881
障害者の年齢,7-17歳,507,211,296,113,183
障害者の年齢,18-19歳,33,18,15,7,8
障害者の年齢,20-29歳,273,103,170,54,116
障害者の年齢,30-39歳,336,125,211,70,141
障害者の年齢,40-49歳,377,96,281,88,193
障害者の年齢,50-59歳,588,100,488,105,383
障害者の年齢,60-69歳,454,70,384,72,312
障害者の年齢,70-120歳,658,35,623,78,545
障害者の性別,男性,1698,432,1266,318,948
障害者の性別,女性,1404,301,1103,245,858
障害者の性別,無回答・その他,124,25,99,24,75
障害種別,視覚障害,247,38,209,60,149
障害種別,聴覚・平衡機能障害,300,60,240,58,182
障害種別,音声・言語・そしゃく機能障害,135,23,112,24,88
障害種別,肢体不自由（上肢）,387,71,316,64,252
障害種別,肢体不自由（下肢）,684,112,572,113,459
障害種別,肢体不自由（体幹）,308,62,246,47,199
障害種別,肢体不自由（脳原性運動機能障害）,82,16,66,11,55
障害種別,内部障害,619,128,491,107,384
障害種別,知的障害,552,180,372,103,269
障害種別,精神障害,824,238,586,139,447
車椅子の必要性,必要とする,396,72,324,77,247
車椅子の必要性,必要としない,637,115,522,94,428
障害者手帳の有無,持っている,2103,520,1583,393,1190
障害者手帳の有無,持っていない,1123,238,885,194,691
障害種別,身体障害者手帳　1級,461,80,381,86,295
障害種別,身体障害者手帳　2級,248,55,193,50,143
障害種別,身体障害者手帳　3級,225,49,176,49,127
障害種別,身体障害者手帳　4級,224,59,165,35,130
障害種別,身体障害者手帳　5級,92,20,72,15,57
障害種別,身体障害者手帳　6級,85,21,64,17,47
障害種別,療育手帳（愛の手帳）1度（最重度）,24,1,23,8,15
障害種別,療育手帳（愛の手帳）2度（重度）,96,19,77,17,60
障害種別,療育手帳（愛の手帳）3度（中度）,79,37,42,14,28
障害種別,療育手帳（愛の手帳）4度（軽度）,170,75,95,34,61
