調査項目,回答,全体(人),スポーツや運動を行っており、満足している(人),スポーツや運動を行っているが、もっと行いたい(人),スポーツや運動を行いたいと思うができない(人),スポーツや運動に関心はない(人)
スポーツ・運動への取組意向,,3226,849,600,732,1045
障害者の年齢,7-17歳,507,178,121,83,125
障害者の年齢,18-19歳,33,8,3,11,11
障害者の年齢,20-29歳,273,89,47,43,94
障害者の年齢,30-39歳,336,87,87,67,95
障害者の年齢,40-49歳,377,90,94,81,112
障害者の年齢,50-59歳,588,153,93,149,193
障害者の年齢,60-69歳,454,106,80,132,136
障害者の年齢,70-120歳,658,138,75,166,279
障害者の性別,男性,1698,468,355,384,491
障害者の性別,女性,1404,346,226,329,503
障害者の性別,無回答・その他,124,35,19,19,51
障害種別,視覚障害,247,75,53,34,85
障害種別,聴覚・平衡機能障害,300,104,55,61,80
障害種別,音声・言語・そしゃく機能障害,135,31,24,35,45
障害種別,肢体不自由（上肢）,387,72,76,113,126
障害種別,肢体不自由（下肢）,684,121,99,215,249
障害種別,肢体不自由（体幹）,308,40,41,103,124
障害種別,肢体不自由（脳原性運動機能障害）,82,8,12,24,38
障害種別,内部障害,619,172,107,145,195
障害種別,知的障害,552,163,122,97,170
障害種別,精神障害,824,192,147,185,300
車椅子の必要性,必要とする,396,64,52,121,159
車椅子の必要性,必要としない,637,125,119,191,202
障害者手帳の有無,持っている,2103,530,414,512,647
障害者手帳の有無,持っていない,1123,319,186,220,398
障害種別,身体障害者手帳　1級,461,109,70,131,151
障害種別,身体障害者手帳　2級,248,63,50,61,74
障害種別,身体障害者手帳　3級,225,53,45,57,70
障害種別,身体障害者手帳　4級,224,72,45,54,53
障害種別,身体障害者手帳　5級,92,23,20,24,25
障害種別,身体障害者手帳　6級,85,25,20,20,20
障害種別,療育手帳（愛の手帳）1度（最重度）,24,8,6,2,8
障害種別,療育手帳（愛の手帳）2度（重度）,96,18,22,32,24
障害種別,療育手帳（愛の手帳）3度（中度）,79,23,24,9,23
障害種別,療育手帳（愛の手帳）4度（軽度）,170,63,33,22,52
障害種別,精神障害者保健福祉手帳　1級,23,5,4,7,7
障害種別,精神障害者保健福祉手帳　2級,216,32,47,62,75
障害種別,精神障害者保健福祉手帳　3級,242,55,46,50,91
障害種別,障害者手帳は持っていない,1123,319,186,220,398
障害の程度別,重度,810,195,148,219,248
障害の程度別,軽度,1293,335,266,293,399
障害の程度別,障害者手帳は持っていない,1123,319,186,220,398
受傷の時期,生まれたとき,852,265,182,134,271
受傷の時期,生まれた後,2374,584,418,598,774
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,48,14,9,18
学校の種別,小学校の普通学校（通級による指導あり）,38,21,6,6,5
学校の種別,小学校の普通学校（特別支援学級）,86,25,36,14,11
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,10,14,17,7
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,19,5,7,13
学校の種別,中学校の普通学校（通級による指導あり）,16,5,3,4,4
学校の種別,中学校の普通学校（特別支援学級）,39,15,9,7,8
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,11,11,5,13
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,15,11,6,18
学校の種別,高等学校の普通学校（通級による指導あり）,12,4,2,2,4
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,10,9,11,12
学校の種別,大学・短期大学,37,13,7,4,13
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,4,3,3,4
学校の種別,職業能力開発校、障害者職業能力開発校等,7,3,2,1,1
学校の種別,なし,136,32,18,23,63
仕事の有無,仕事をしている,1227,377,275,244,331
仕事の有無,仕事をしていない,1821,430,290,454,647
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,42,35,34,67
平日・日中の居場所,自分の家,1843,423,287,458,675
平日・日中の居場所,職場（一般企業など）,677,216,159,125,177
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,30,17,21,34
平日・日中の居場所,学校,362,141,87,60,74
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,21,35,32,47
平日・日中の居場所,入所施設,69,12,9,25,23
平日・日中の居場所,その他,38,6,6,11,15
放課後の居場所,自分の家,345,129,69,57,90
放課後の居場所,習いごと（塾や英会話等の学習系）,75,46,12,7,10
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,36,16,4,3
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,18,14,6,3
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,42,52,35,27
放課後の居場所,学童保育,34,14,10,8,2
放課後の居場所,広場や公園,35,19,13,3,0
放課後の居場所,学校（校庭や体育館）,35,21,11,2,1
放課後の居場所,児童館や図書館などの公共施設,16,7,7,0,2
放課後の居場所,その他,8,3,1,3,1
障害福祉サービスの利用状況,利用していない,2117,603,348,448,718
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,47,50,56,69
障害福祉サービスの利用状況,重度訪問介護,29,6,7,6,10
障害福祉サービスの利用状況,同行援護,70,14,24,19,13
障害福祉サービスの利用状況,行動援護,81,20,27,22,12
障害福祉サービスの利用状況,重度障害者等包括支援,29,7,10,8,4
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,22,27,38,54
障害福祉サービスの利用状況,療養介護,34,7,7,14,6
障害福祉サービスの利用状況,生活介護,85,17,14,28,26
障害福祉サービスの利用状況,施設入所支援,43,4,7,20,12
障害福祉サービスの利用状況,自立訓練,65,16,15,19,15
障害福祉サービスの利用状況,就労移行支援,42,14,16,3,9
障害福祉サービスの利用状況,就労継続支援（A型）,23,7,7,3,6
障害福祉サービスの利用状況,就労継続支援（B型）,89,26,13,23,27
障害福祉サービスの利用状況,就労定着支援,19,5,4,3,7
障害福祉サービスの利用状況,自立生活援助,45,12,14,10,9
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,5,5,12,11
障害福祉サービスの利用状況,計画相談支援,51,13,15,12,11
障害福祉サービスの利用状況,地域相談支援,57,16,15,12,14
障害福祉サービスの利用状況,移動支援,76,20,17,15,24
障害福祉サービスの利用状況,地域活動支援センター,81,22,20,21,18
障害福祉サービスの利用状況,福祉ホーム,25,13,3,7,2
障害福祉サービスの利用状況,児童発達支援,55,20,15,10,10
障害福祉サービスの利用状況,医療型児童発達支援,11,4,3,1,3
障害福祉サービスの利用状況,放課後等デイサービス,208,47,54,55,52
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,3,3,1,1
障害福祉サービスの利用状況,保育所等訪問支援,5,3,1,0,1
障害福祉サービスの利用状況,訪問看護,179,26,25,51,77
障害福祉サービスの利用状況,訪問リハビリテーション,165,23,30,55,57
スポーツ運動の実施の有無,行っている,2091,834,578,396,283
スポーツ運動の実施の有無,行っていない,1135,15,22,336,762
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,622,428,308,237
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,241,160,97,33
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,124,104,43,14
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,97,52,12,9
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,144,89,44,16
過去1年間の実施種目,ブラインドサッカー,24,17,5,1,1
過去1年間の実施種目,車いすテニス,15,10,4,0,1
過去1年間の実施種目,サウンドテーブルテニス,26,13,7,2,4
過去1年間の実施種目,パラバレーボール,26,16,6,2,2
過去1年間の実施種目,車いすバスケットボール,19,9,7,2,1
過去1年間の実施種目,車いすラグビー,13,5,5,1,2
過去1年間の実施種目,ボッチャ,50,20,20,5,5
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,71,36,8,9
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,53,22,13,6
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,11,7,1,0
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,13,3,5,3
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,11,2,1,1
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,26,18,2,1
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,25,9,4,0
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,6,4,3,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,55,31,16,3
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,55,42,14,3
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,57,47,18,12
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,34,27,10,8
過去1年間の実施種目,その他,53,23,15,10,5
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,15,22,336,762
実施頻度（1年間）,週3日以上（年151日以上）,604,345,145,57,57
実施頻度（1年間）,週2日程度（年101日～150日）,429,178,156,65,30
実施頻度（1年間）,週1日程度（年51日～100日）,506,198,149,97,62
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,70,89,80,41
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,7,17,36,15
実施頻度（1年間）,年に1～3日程度,52,6,8,26,12
実施頻度（1年間）,わからない,145,30,14,35,66
実施した場所,自宅,829,342,235,167,85
実施した場所,道路や遊歩道,1083,406,293,230,154
実施した場所,広場や公園,633,284,192,100,57
実施した場所,民間のスポーツ施設,314,177,95,33,9
実施した場所,公共のスポーツ施設（障害者専用施設）,130,61,52,11,6
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,108,88,37,8
実施した場所,小中高校の体育施設,128,78,29,12,9
実施した場所,特別支援学校の体育施設,85,44,25,10,6
実施した場所,職場のスポーツ施設,35,18,11,3,3
実施した場所,福祉施設,64,26,20,11,7
実施した場所,児童通所サービス（放課後等デイサービス等）,87,29,34,16,8
実施した場所,医療機関（病院やリハビリ施設）,68,25,17,21,5
実施した場所,山・川・海・空,171,80,53,28,10
実施した場所,その他,44,16,15,9,4
実施した場所,わからない,47,6,3,6,32
一緒に実施する人,一人,1133,452,306,230,145
一緒に実施する人,家族,762,320,215,139,88
一緒に実施する人,福祉施設の職員・仲間,174,71,56,34,13
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,44,32,10,5
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,49,42,11,5
一緒に実施する人,スポーツ教室の指導者・仲間,151,86,38,22,5
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,20,29,9,3
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,26,17,3,2
一緒に実施する人,ボランティアの人たち,54,24,19,7,4
一緒に実施する人,学校の先生や学校の友達,150,83,40,16,11
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,27,32,18,9
一緒に実施する人,その他の友人・知人,137,56,41,36,4
一緒に実施する人,その他,35,7,14,8,6
一緒に実施する人,わからない,40,3,3,4,30
実施した理由,健康・体力づくりのため,1503,676,414,265,148
実施した理由,楽しみや気晴らしのため,890,413,255,139,83
実施した理由,運動不足解消のため,1109,435,350,223,101
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,101,85,41,13
実施した理由,自己の記録や能力を向上させるため,182,84,58,29,11
実施した理由,リハビリテーションや医療・治療のため,340,110,116,92,22
実施した理由,家族のふれあいのため,154,63,47,33,11
実施した理由,友人・仲間との交流のため,254,129,72,41,12
実施した理由,美容や肥満解消（ダイエット）のため,217,83,65,56,13
実施した理由,障害者スポーツ大会に参加するため,17,8,8,1,0
実施した理由,その他,36,11,10,5,10
実施した理由,わからない,61,8,4,9,40
実施したきっかけ,家族に奨められた,561,288,126,98,49
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,57,33,8,3
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,54,39,23,3
実施したきっかけ,医師に奨められた,500,199,144,112,45
実施したきっかけ,看護師に奨められた,114,46,40,20,8
実施したきっかけ,作業療法士（OT）に奨められた,100,33,40,20,7
実施したきっかけ,理学療法士（PT）に奨められた,128,45,43,32,8
実施したきっかけ,言語聴覚士（ST）に奨められた,39,18,15,4,2
実施したきっかけ,視能訓練士（CO）に奨められた,21,11,7,1,2
実施したきっかけ,義肢装具士に奨められた,15,5,7,3,0
実施したきっかけ,介護福祉士に奨められた,43,23,6,9,5
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,19,19,11,0
実施したきっかけ,スポーツ指導者に奨められた,20,12,5,2,1
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,9,9,0,1
実施したきっかけ,学校の先生に奨められた,57,31,14,7,5
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,37,17,6,4
実施したきっかけ,所属する団体（会社等）に奨められた,17,10,4,2,1
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,7,6,1,0
実施したきっかけ,障害のない有名選手・アスリートの影響,13,7,5,1,0
実施したきっかけ,テレビや新聞の影響,66,28,24,12,2
実施したきっかけ,インターネットや動画配信を見て,81,28,34,18,1
実施したきっかけ,ＳＮＳの影響,40,14,15,9,2
実施したきっかけ,漫画、ドラマ、映画等の影響,20,14,5,1,0
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,11,8,1,2
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,8,3,0,0
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,12,5,1,0
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,3,3,0,0
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,10,16,7,3
実施したきっかけ,行政の広報誌,15,6,7,2,0
実施したきっかけ,その他,89,36,27,16,10
実施したきっかけ,特にきっかけはない・なんとなく,676,216,176,134,150
実施していない理由,医師に止められており、身体的にできない,127,1,1,51,74
実施していない理由,どのくらい体を動かしたらよいかわからない,74,2,3,28,41
実施していない理由,身近なところにスポーツや運動ができる場所がない,61,0,2,41,18
実施していない理由,スポーツや運動ができる場所への移動手段がない,40,1,1,25,13
実施していない理由,自分に合ったスポーツや運動の情報がない,89,0,3,50,36
実施していない理由,一緒にできる仲間がいない,96,1,6,42,47
実施していない理由,介助者がいない,93,1,2,52,38
実施していない理由,金銭的な余裕がない,117,1,3,59,54
実施していない理由,時間がない,90,4,1,51,34
実施していない理由,必要な競技用具や補助具がない,42,0,1,26,15
実施していない理由,その他,87,0,0,45,42
実施していない理由,活動したいと思わない,666,5,9,92,560
活動したいと思わない理由,スポーツ・運動が嫌いだから,158,0,0,8,150
活動したいと思わない理由,スポーツ・運動に興味がないから,151,0,0,12,139
活動したいと思わない理由,スポーツ・運動を楽しんだ経験がないから,39,0,0,5,34
活動したいと思わない理由,疲れるから,163,1,1,31,130
活動したいと思わない理由,人前に出るのが好きではないから,57,0,0,12,45
活動したいと思わない理由,学校の体育や部活動等で苦手意識を持ったから,23,0,0,1,22
活動したいと思わない理由,一緒に運動・スポーツする人に迷惑をかけるのではないかと心配だから,18,0,0,4,14
活動したいと思わない理由,スポーツ以外に趣味があるから,64,0,0,8,56
活動したいと思わない理由,忙しいから,34,0,0,5,29
活動したいと思わない理由,その他,56,0,0,12,44
活動したいと思わない理由,わからない,216,4,8,27,177
学校体育の参加状況,参加していて、体育が好きである,279,137,80,37,25
学校体育の参加状況,参加しているが、体育は好きではない,146,35,34,32,45
学校体育の参加状況,参加していない,42,4,3,14,21
学校体育の参加状況,わからない,37,7,3,5,22
学校体育に参加しない理由,授業の内容のとおりに身体を動かすことができないから,9,2,0,3,4
学校体育に参加しない理由,自分にはできないと思ったから,12,2,1,3,6
学校体育に参加しない理由,他の生徒や先生に迷惑をかけると思ったから,6,1,1,3,1
学校体育に参加しない理由,参加するために必要なスポーツ用具がなかったから,1,0,0,0,1
学校体育に参加しない理由,医師から止められていたから,1,0,0,1,0
学校体育に参加しない理由,学校の先生から見学するように言われたから,3,0,0,3,0
学校体育に参加しない理由,身体を動かすことが怖いから,5,0,1,0,4
学校体育に参加しない理由,その他,12,0,0,5,7
