設置者,名称,住所,緯度,経度,電話番号,アクセス方法,施設名称,出入口まで平坦、あっても２ｃｍ未満の段差※点字ブロック、タイル目地などの微妙な凹凸除く,出入口までに階段があるが、手すりがある,出入口までに階段があるが、リフトがある,出入口までにスロ－プがある,施設内が平坦、あっても２ｃｍ未満の段差,施設内に階段があるが、手すりがある,施設内に階段があるが、リフトがある,施設内にスロ－プがある,エレベーターがある,エスカレーターがある,障害者対応多目的トイレがある,オストメイト対応多目的トイレがある,洋式トイレがある,手すり付きの洋式トイレがある,手すり付きの小便器（男性用）がある,車椅子で利用可能な更衣スペースがある,異性介助可能な更衣スペースがある（独立タイプ）,施設案内図がある（点字表示あり・音声案内付き）,施設内に点字ブロックがある,施設内に点字案内がある,施設内に音声案内がある,駐車場がある,障害者専用スペースがある,手話対応できるスタッフがいる,貸出用の車椅子がある,障害者スポーツ指導員の資格を持つスタッフがいる,補助犬（盲導犬・介助犬・聴導犬）の同伴が可能,筆談対応が可能,障害者割引制度を適用できる,備考
東京都オリンピック・パラリンピック準備局,東京体育館,東京都渋谷区千駄ヶ谷1-17-1,35.679396,139.711963,03-5474-2112,都営大江戸線「国立競技場駅」徒歩1分,メインアリーナ,,○,○,,,○,,○,○,,○,○,,○,○,○,,,,○,,70,4,,○,,○,○,,休館中
東京都オリンピック・パラリンピック準備局,東京体育館,東京都渋谷区千駄ヶ谷1-17-1,35.679396,139.711963,03-5474-2112,都営大江戸線「国立競技場駅」徒歩1分,サブアリーナ,,,,○,,○,,○,○,,○,○,,○,○,,○,,○,○,,70,4,,○,,○,○,,休館中
東京都オリンピック・パラリンピック準備局,東京体育館,東京都渋谷区千駄ヶ谷1-17-1,35.679396,139.711963,03-5474-2112,都営大江戸線「国立競技場駅」徒歩1分,50mプール,,,,○,,○,,,○,,○,,,○,○,○,○,,,○,,70,4,,○,○,○,○,○,休館中
東京都オリンピック・パラリンピック準備局,東京体育館,東京都渋谷区千駄ヶ谷1-17-1,35.679396,139.711963,03-5474-2112,都営大江戸線「国立競技場駅」徒歩1分,25mプール,,,,○,,○,,,○,,○,,,○,○,○,○,,,○,,70,4,,○,○,○,○,○,休館中
東京都オリンピック・パラリンピック準備局,東京体育館,東京都渋谷区千駄ヶ谷1-17-1,35.679396,139.711963,03-5474-2112,都営大江戸線「国立競技場駅」徒歩1分,陸上競技場,,,,○,,,,,,,,,,○,○,,,,○,,,70,4,,○,,○,○,○,休館中
東京都オリンピック・パラリンピック準備局,東京体育館,東京都渋谷区千駄ヶ谷1-17-1,35.679396,139.711963,03-5474-2112,都営大江戸線「国立競技場駅」徒歩1分,トレーニングルーム,,,,○,,○,,,○,,○,,,○,○,○,○,,,○,,70,4,,○,○,○,○,○,休館中
東京都オリンピック・パラリンピック準備局,東京体育館,東京都渋谷区千駄ヶ谷1-17-1,35.679396,139.711963,03-5474-2112,都営大江戸線「国立競技場駅」徒歩1分,健康体力相談室,,,,○,,○,,,○,,○,,,○,○,○,○,,,○,,70,4,,○,○,○,○,○,休館中
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,東京都世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,東急田園都市線「駒沢大学駅」徒歩15分,陸上競技場,○,,,,,,,○,,,○,○,○,,○,○,,,,,,61,2,,,○,○,○,○,※陸上競技場は観覧席と選手入口が別れており、観覧者と選手で状況が異なります。詳細は担当までお問い合わせください。※筆談対応：観覧＝×、選手＝○【割引】東京都体育施設条例施行規則で定める手帳の掲示により適用（駐車無料。）
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,東京都世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,東急田園都市線「駒沢大学駅」徒歩15分,体育館,,○,,○,,○,,○,○,,○,,○,,○,○,,,○,,,61,2,,,,○,○,○,筆談対応：観覧＝×、選手＝○【割引】東京都体育施設条例施行規則で定める手帳の掲示により適用（駐車無料。）
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,東京都世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,東急田園都市線「駒沢大学駅」徒歩15分,第二球技場,,,,,,,,,,,○,,○,,○,○,,,,,,61,2,,,,○,○,○,
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,東京都世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,東急田園都市線「駒沢大学駅」徒歩15分,テニスコート,,,,,,,,,,,,,○,,,○,,,,,,61,2,,,,,○,○,【割引】東京都体育施設条例施行規則で定める手帳の掲示により適用（駐車無料。）
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,東京都世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,東急田園都市線「駒沢大学駅」徒歩15分,補助競技場,,,,○,,○,,○,,,○,,○,,○,○,,,○,,,61,2,,,,,○,○,
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,東京都世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,東急田園都市線「駒沢大学駅」徒歩15分,軟式野球場,,,,,,,,,,,○,,○,,,○,,,,,,61,2,,,,,○,○,
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,東京都世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,東急田園都市線「駒沢大学駅」徒歩15分,硬式野球場,,○,,○,,,,,○,,○,○,○,,○,○,,,○,,,61,2,,,,○,○,○,
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,東京都世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,東急田園都市線「駒沢大学駅」徒歩15分,トレーニングルーム,,○,,,,,,,,,○,,○,,○,○,,,,,,61,2,,,○,○,○,○,
東京都オリンピック・パラリンピック準備局,東京武道館,東京都足立区綾瀬3-20-1,35.765779,139.825792,03-5697-2111,東京メトロ千代田線「綾瀬駅」徒歩5分,大武道場,,,,○,,○,,○,○,,○,○,○,○,○,○,,,,,,68,2,,○,,○,○,○,【割引】東京都体育施設条例施行規則で定める手帳の掲示により、当館利用者の駐車料金無料。
東京都オリンピック・パラリンピック準備局,東京武道館,東京都足立区綾瀬3-20-1,35.765779,139.825792,03-5697-2111,東京メトロ千代田線「綾瀬駅」徒歩5分,第一武道場,,,,○,,○,,,,,○,○,○,○,○,○,,,,,,68,2,,○,,○,○,○,【割引】東京都体育施設条例施行規則で定める手帳の掲示により適用（個人利用無料※本人と介助者1人まで。当館利用者の駐車料金無料。）
東京都オリンピック・パラリンピック準備局,東京武道館,東京都足立区綾瀬3-20-1,35.765779,139.825792,03-5697-2111,東京メトロ千代田線「綾瀬駅」徒歩5分,第二武道場,,○,,,,○,,○,,,,,○,,,○,,,,,,68,2,,○,,○,○,○,【割引】東京都体育施設条例施行規則で定める手帳の掲示により適用（個人利用無料※本人と介助者1人まで。当館利用者の駐車料金無料。）
東京都オリンピック・パラリンピック準備局,東京武道館,東京都足立区綾瀬3-20-1,35.765779,139.825792,03-5697-2111,東京メトロ千代田線「綾瀬駅」徒歩5分,弓道場（近的）,,,,,,,,,,,,,○,,,○,,,○,,,68,2,,○,,○,○,○,【割引】東京都体育施設条例施行規則で定める手帳の掲示により適用（個人利用無料※本人と介助者1人まで。当館利用者の駐車料金無料。）
東京都オリンピック・パラリンピック準備局,東京武道館,東京都足立区綾瀬3-20-1,35.765779,139.825792,03-5697-2111,東京メトロ千代田線「綾瀬駅」徒歩5分,弓道場（遠的）,,,,,,,,,,,○,,○,,○,○,,,,,,68,2,,○,,○,○,○,【割引】東京都体育施設条例施行規則で定める手帳の掲示により適用（個人利用無料※本人と介助者1人まで。当館利用者の駐車料金無料。）
東京都オリンピック・パラリンピック準備局,東京武道館,東京都足立区綾瀬3-20-1,35.765779,139.825792,03-5697-2111,東京メトロ千代田線「綾瀬駅」徒歩5分,トレーニングルーム,,,○,,,○,,○,○,,○,,○,○,○,○,,,,,,68,2,,○,○,○,○,○,【割引】東京都体育施設条例施行規則で定める手帳の掲示により適用（個人利用無料※本人と介助者1人まで。当館利用者の駐車料金無料。）
東京都オリンピック・パラリンピック準備局,東京辰巳国際水泳場,東京都江東区辰巳2-8-10,35.647651,139.818932,03-5569-5061,東京メトロ有楽町線「辰巳駅」徒歩10分,メインプール,,○,,,,○,,○,○,,○,,○,,,○,,,,,,,,,○,○,○,,○,【割引】手帳提示
東京都オリンピック・パラリンピック準備局,東京辰巳国際水泳場,東京都江東区辰巳2-8-10,35.647651,139.818932,03-5569-5061,東京メトロ有楽町線「辰巳駅」徒歩10分,ダイビングプール,,○,,,,○,,○,○,,○,,○,,,○,,,,,,,,,○,○,○,,○,
東京都オリンピック・パラリンピック準備局,東京辰巳国際水泳場,東京都江東区辰巳2-8-10,35.647651,139.818932,03-5569-5061,東京メトロ有楽町線「辰巳駅」徒歩10分,サブプール,,○,,,,○,,○,○,,○,,○,,,○,,,,,,,,,○,○,○,,○,
東京都オリンピック・パラリンピック準備局,東京都障害者総合スポーツセンター,東京都北区十条台1-2-2,35.753929,139.724256,03-3907-5631,JR埼京線「十条駅」徒歩10分,体育館,○,,,,○,,,,○,,○,○,○,○,○,○,○,,○,,○,13,7,,○,○,○,○,,
東京都オリンピック・パラリンピック準備局,東京都障害者総合スポーツセンター,東京都北区十条台1-2-2,35.753929,139.724256,03-3907-5631,JR埼京線「十条駅」徒歩10分,トレーニング室,○,,,,○,,,,○,,○,○,○,○,○,○,○,,○,,○,13,7,,○,○,○,○,,
東京都オリンピック・パラリンピック準備局,東京都障害者総合スポーツセンター,東京都北区十条台1-2-2,35.753929,139.724256,03-3907-5631,JR埼京線「十条駅」徒歩10分,卓球室,○,,,,○,,,,○,,○,○,○,○,○,○,○,,○,,○,13,7,,○,○,○,○,,
東京都オリンピック・パラリンピック準備局,東京都障害者総合スポーツセンター,東京都北区十条台1-2-2,35.753929,139.724256,03-3907-5631,JR埼京線「十条駅」徒歩10分,芝生広場,○,,,,○,,,,○,,○,○,○,○,○,○,○,,○,,○,13,7,,○,○,○,○,,
東京都オリンピック・パラリンピック準備局,東京都多摩障害者スポーツセンター,東京都国立市富士見台2-1-1,35.686681,139.446549,042-573-3811,JR中央線「国立駅」バス5分,体育館,○,,,,○,,,,○,,○,○,○,,○,○,○,,○,○,○,59,14,○,○,○,○,○,,
東京都オリンピック・パラリンピック準備局,東京都多摩障害者スポーツセンター,東京都国立市富士見台2-1-1,35.686681,139.446549,042-573-3811,JR中央線「国立駅」バス5分,トレーニング室,○,,,,○,,,,○,,○,○,○,,○,○,○,,○,○,○,59,14,○,○,○,○,○,,
東京都オリンピック・パラリンピック準備局,東京都多摩障害者スポーツセンター,東京都国立市富士見台2-1-1,35.686681,139.446549,042-573-3811,JR中央線「国立駅」バス5分,屋内温水プール,○,,,,○,,,,○,,○,○,○,,○,○,○,,○,○,○,59,14,○,○,○,○,○,,
東京都オリンピック・パラリンピック準備局,東京都多摩障害者スポーツセンター,東京都国立市富士見台2-1-1,35.686681,139.446549,042-573-3811,JR中央線「国立駅」バス5分,卓球室,○,,,,○,,,,○,,○,○,○,,○,○,○,,○,○,○,59,14,○,○,○,○,○,,
東京都オリンピック・パラリンピック準備局,東京都多摩障害者スポーツセンター,東京都国立市富士見台2-1-1,35.686681,139.446549,042-573-3811,JR中央線「国立駅」バス5分,サウンドテーブルテニス室,○,,,,○,,,,○,,○,○,○,,○,○,○,,○,○,○,59,14,○,○,○,○,○,,
東京都オリンピック・パラリンピック準備局,東京都多摩障害者スポーツセンター,東京都国立市富士見台2-1-1,35.686681,139.446549,042-573-3811,JR中央線「国立駅」バス5分,健康体力相談室,○,,,,○,,,,○,,○,○,○,,○,○,○,,○,○,○,59,14,○,○,○,○,○,,
東京都オリンピック・パラリンピック準備局,有明テニスの森公園テニス施設,東京都東京都江東区有明2-2-22,35.63467,139.788526,03-3529-3301,りんかい線「国際展示場駅」徒歩5分,テニスコート(Aコート),,○,,○,○,,,,,,○,,○,,,○,,,,,,242,2,,,,○,○,○,【割引】障害者手帳を提示すれば、駐車場無料
東京都オリンピック・パラリンピック準備局,有明テニスの森公園テニス施設,東京都東京都江東区有明2-2-22,35.63467,139.788526,03-3529-3301,りんかい線「国際展示場駅」徒歩5分,テニスコート(Bコート),,○,,○,○,,,,,,○,,○,,,○,,,,,,242,2,,,,○,○,○,【割引】障害者手帳を提示すれば、駐車場無料
東京都オリンピック・パラリンピック準備局,有明テニスの森公園テニス施設,東京都東京都江東区有明2-2-22,35.63467,139.788526,03-3529-3301,りんかい線「国際展示場駅」徒歩5分,テニスコート(Cコート),,○,,○,○,,,,,,○,,○,,,○,,,,,,242,2,,,,○,○,○,【割引】障害者手帳を提示すれば、駐車場無料
東京都オリンピック・パラリンピック準備局,有明テニスの森公園テニス施設,東京都東京都江東区有明2-2-22,35.63467,139.788526,03-3529-3301,りんかい線「国際展示場駅」徒歩5分,テニスコート(Cコート),,○,,○,○,,,,,,○,,○,,,○,,,,,,242,2,,,,○,○,○,【割引】障害者手帳を提示すれば、駐車場無料
東京都オリンピック・パラリンピック準備局,若洲海浜公園ヨット訓練所,東京都江東区若洲3-1-1,35.630652,139.837654,03-5569-6703,JR京葉線「新木場駅」バス15分,若洲ヨット訓練所,,,,,,,,,,,○,○,○,,,,,,,,,,,,,,,,,
