調査項目,回答,全体(人),自宅(人),道路や遊歩道(人),広場や公園(人),民間のスポーツ施設(人),公共のスポーツ施設（障害者専用施設）(人),公共のスポーツ施設（障害者専用施設以外）(人),小中高校の体育施設(人),特別支援学校の体育施設(人),職場のスポーツ施設(人),福祉施設(人),児童通所サービス（放課後等デイサービス等）(人),医療機関（病院やリハビリ施設）(人),山・川・海・空(人),その他(人),わからない(人)
実施した場所,,2091,829,1083,633,314,130,241,128,85,35,64,87,68,171,44,47
障害者の年齢,7-17歳,379,126,108,135,88,50,69,94,64,9,10,69,5,58,4,5
障害者の年齢,18-19歳,24,5,11,7,4,0,2,2,2,0,0,1,1,1,1,0
障害者の年齢,20-29歳,189,71,84,51,29,13,26,8,4,5,7,3,3,10,3,5
障害者の年齢,30-39歳,238,89,121,73,51,16,43,5,7,6,10,5,5,15,2,10
障害者の年齢,40-49歳,275,109,148,82,38,20,26,5,5,4,6,2,7,28,6,10
障害者の年齢,50-59歳,372,159,229,101,47,11,26,3,2,5,9,1,10,33,7,6
障害者の年齢,60-69歳,287,113,168,88,33,9,22,3,0,5,2,1,9,15,10,6
障害者の年齢,70-120歳,327,157,214,96,24,11,27,8,1,1,20,5,28,11,11,5
障害者の年齢,18歳以上,1712,703,975,498,226,80,172,34,21,26,54,18,63,113,40,42
障害者の性別,男性,1160,425,620,365,178,77,135,72,46,18,30,49,27,111,24,25
障害者の性別,女性,847,364,430,244,123,49,95,51,36,17,32,38,41,53,20,16
障害者の性別,無回答・その他,84,40,33,24,13,4,11,5,3,0,2,0,0,7,0,6
障害種別,視覚障害,166,72,67,52,24,19,12,7,2,1,5,2,2,9,2,8
障害種別,聴覚・平衡機能障害,204,91,98,68,46,20,21,14,9,4,4,2,2,25,3,2
障害種別,音声・言語・そしゃく機能障害,77,32,38,24,12,6,10,8,2,2,7,4,9,6,1,1
障害種別,肢体不自由（上肢）,224,109,111,53,25,25,17,5,8,4,14,3,18,5,8,3
障害種別,肢体不自由（下肢）,343,158,167,84,47,25,41,6,15,8,27,8,23,15,10,5
障害種別,肢体不自由（体幹）,137,69,67,34,18,13,16,9,8,3,17,3,15,5,4,0
障害種別,肢体不自由（脳原性運動機能障害）,35,17,15,9,4,7,2,0,3,0,6,1,6,2,0,1
障害種別,内部障害,429,188,280,132,48,9,39,13,3,4,6,7,19,37,10,8
障害種別,知的障害,387,113,158,123,64,31,62,50,49,6,16,63,6,42,5,13
障害種別,精神障害,535,218,296,156,63,14,62,29,6,7,8,14,10,39,12,11
車椅子の必要性,必要とする,158,77,47,33,31,39,26,10,24,10,24,8,16,4,2,3
車椅子の必要性,必要としない,393,168,222,108,48,14,41,9,3,4,16,2,26,18,12,5
障害者手帳の有無,持っている,1357,516,714,400,205,99,159,68,76,25,55,68,51,110,29,25
障害者手帳の有無,持っていない,734,313,369,233,109,31,82,60,9,10,9,19,17,61,15,22
障害種別,身体障害者手帳　1級,273,125,153,69,29,19,23,13,6,3,18,3,18,23,7,7
障害種別,身体障害者手帳　2級,151,61,71,53,29,17,19,6,15,9,3,7,7,6,4,3
障害種別,身体障害者手帳　3級,136,52,67,45,24,13,10,2,1,2,11,2,5,8,1,2
障害種別,身体障害者手帳　4級,158,61,88,41,22,17,16,7,5,2,7,3,9,9,7,1
障害種別,身体障害者手帳　5級,64,20,32,16,9,3,10,1,2,2,2,0,1,3,0,1
障害種別,身体障害者手帳　6級,59,27,29,19,17,4,6,3,1,1,0,1,3,7,0,1
障害種別,療育手帳（愛の手帳）1度（最重度）,15,6,3,2,1,3,2,0,4,2,1,2,0,1,0,0
障害種別,療育手帳（愛の手帳）2度（重度）,67,12,26,22,10,11,8,6,17,0,7,20,0,4,2,3
障害種別,療育手帳（愛の手帳）3度（中度）,61,18,25,22,15,7,14,8,15,1,3,16,3,10,1,0
障害種別,療育手帳（愛の手帳）4度（軽度）,121,37,55,40,25,9,20,19,11,2,4,18,0,17,2,3
障害種別,精神障害者保健福祉手帳　1級,15,4,11,5,1,2,0,0,0,0,1,0,0,1,0,0
障害種別,精神障害者保健福祉手帳　2級,129,51,85,38,10,5,19,3,0,2,3,1,5,13,3,1
障害種別,精神障害者保健福祉手帳　3級,161,69,91,44,20,2,20,3,5,3,3,1,3,11,2,5
障害種別,障害者手帳は持っていない,734,313,369,233,109,31,82,60,9,10,9,19,17,61,15,22
障害の程度別,重度,499,198,255,144,67,46,50,24,38,12,28,28,24,34,13,12
障害の程度別,軽度,858,318,459,256,138,53,109,44,38,13,27,40,27,76,16,13
障害の程度別,障害者手帳は持っていない,734,313,369,233,109,31,82,60,9,10,9,19,17,61,15,22
受傷の時期,生まれたとき,603,212,211,176,113,65,79,61,52,14,23,40,10,53,9,24
受傷の時期,生まれた後,1488,617,872,457,201,65,162,67,33,21,41,47,58,118,35,23
学校の種別,小学校の普通学校（通常学級のみに在籍）,77,34,26,32,25,7,11,21,1,0,1,1,2,15,1,1
学校の種別,小学校の普通学校（通級による指導あり）,32,11,7,15,12,11,14,9,8,7,1,7,0,5,0,0
学校の種別,小学校の普通学校（特別支援学級）,73,29,18,31,23,11,13,18,5,2,4,24,1,15,2,0
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,34,12,8,18,8,6,3,3,20,0,0,17,1,6,0,0
学校の種別,中学校の普通学校（通常学級のみに在籍）,32,6,7,6,7,1,4,11,1,0,1,0,0,3,0,1
学校の種別,中学校の普通学校（通級による指導あり）,14,3,4,3,0,1,5,3,0,0,1,0,0,2,0,1
学校の種別,中学校の普通学校（特別支援学級）,29,3,10,7,3,4,6,9,5,0,1,5,0,4,0,1
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,29,5,5,6,2,4,3,5,7,0,0,7,0,3,1,0
学校の種別,高等学校の普通学校（通常学級のみに在籍）,34,14,9,9,5,1,5,12,0,1,0,1,1,3,0,1
学校の種別,高等学校の普通学校（通級による指導あり）,8,2,2,3,2,2,0,1,1,1,0,0,0,0,0,0
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,29,10,12,7,2,4,4,3,13,1,1,9,1,3,0,0
学校の種別,大学・短期大学,25,10,13,6,4,1,1,0,0,0,0,1,2,0,0,1
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,10,3,4,4,1,0,2,0,5,0,0,0,0,1,0,0
学校の種別,職業能力開発校、障害者職業能力開発校等,7,3,3,1,1,0,1,2,1,0,0,0,0,0,0,0
学校の種別,なし,80,25,38,23,15,3,16,4,2,2,4,0,0,7,2,3
仕事の有無,仕事をしている,894,353,485,262,162,50,104,29,18,24,12,10,20,79,18,23
仕事の有無,仕事をしていない,1077,441,538,338,139,69,123,95,60,7,43,75,48,85,25,21
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,120,35,60,33,13,11,14,4,7,4,9,2,0,7,1,3
平日・日中の居場所,自分の家,1098,519,619,317,116,55,105,27,10,9,31,17,44,69,29,29
平日・日中の居場所,職場（一般企業など）,506,177,290,158,94,26,58,12,8,16,5,2,8,47,9,11
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,74,14,38,22,7,8,9,4,5,2,7,1,0,5,0,2
平日・日中の居場所,学校,282,82,85,105,74,30,54,80,56,7,5,61,6,46,2,0
平日・日中の居場所,通所施設（生活介護、デイケアなど）,85,24,32,21,16,10,9,5,5,1,10,6,7,2,0,2
平日・日中の居場所,入所施設,28,8,11,7,5,1,2,0,1,0,5,0,1,1,1,2
平日・日中の居場所,その他,18,5,8,3,2,0,4,0,0,0,1,0,2,1,3,1
放課後の居場所,自分の家,256,98,71,101,58,26,37,68,28,4,6,34,3,40,2,5
放課後の居場所,習いごと（塾や英会話等の学習系）,65,22,15,22,28,18,17,23,8,6,4,8,0,14,1,1
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,57,18,16,22,30,12,25,18,7,2,2,12,0,17,2,0
放課後の居場所,習いごと（音楽や習字等の芸術系）,39,10,9,11,15,13,8,15,7,6,3,4,1,7,0,0
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,128,36,37,48,26,22,25,29,41,6,4,69,3,26,2,0
放課後の居場所,学童保育,28,7,6,10,10,7,12,5,8,5,2,5,0,3,0,0
放課後の居場所,広場や公園,34,15,12,22,16,9,13,18,8,6,3,10,3,15,0,0
放課後の居場所,学校（校庭や体育館）,34,12,10,14,8,7,10,23,2,1,1,6,0,9,0,0
放課後の居場所,児童館や図書館などの公共施設,14,6,9,10,7,4,6,9,2,0,2,6,1,9,0,0
放課後の居場所,その他,7,3,1,1,3,0,4,5,1,0,0,0,0,2,0,0
障害福祉サービスの利用状況,利用していない,1380,566,792,433,197,34,141,75,18,13,6,6,25,124,27,35
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,134,62,59,36,20,21,16,4,10,7,14,7,11,7,3,2
障害福祉サービスの利用状況,重度訪問介護,14,8,4,6,5,2,0,1,2,0,0,0,0,0,0,0
障害福祉サービスの利用状況,同行援護,49,14,18,15,15,16,7,5,7,1,7,2,1,4,0,0
障害福祉サービスの利用状況,行動援護,65,21,19,15,19,20,9,6,7,1,9,9,1,4,1,1
障害福祉サービスの利用状況,重度障害者等包括支援,24,6,6,3,4,7,6,3,4,1,2,0,1,0,0,0
障害福祉サービスの利用状況,短期入所（ショートステイ）,72,24,31,19,11,17,12,5,16,5,11,11,9,1,2,2
障害福祉サービスの利用状況,療養介護,21,9,9,8,3,9,5,3,4,1,5,1,2,1,1,0
障害福祉サービスの利用状況,生活介護,47,25,18,14,7,12,4,3,3,2,14,1,6,2,1,1
障害福祉サービスの利用状況,施設入所支援,19,4,7,5,2,2,2,0,4,1,7,1,2,1,1,1
障害福祉サービスの利用状況,自立訓練,47,20,22,7,7,6,6,3,3,2,8,4,7,2,1,1
障害福祉サービスの利用状況,就労移行支援,37,19,24,11,6,7,6,2,2,1,3,1,0,1,1,0
障害福祉サービスの利用状況,就労継続支援（A型）,21,4,9,6,3,5,6,3,3,1,1,0,0,2,0,0
障害福祉サービスの利用状況,就労継続支援（B型）,63,19,37,15,9,7,7,2,2,2,7,2,0,4,1,0
障害福祉サービスの利用状況,就労定着支援,14,4,9,8,3,2,4,1,1,0,1,0,0,1,0,0
障害福祉サービスの利用状況,自立生活援助,35,19,16,15,6,6,4,1,2,1,6,1,3,3,0,0
障害福祉サービスの利用状況,共同生活援助（グループホーム）,19,6,11,2,3,2,2,1,1,1,4,2,2,0,0,2
障害福祉サービスの利用状況,計画相談支援,41,18,16,10,10,8,8,3,7,4,6,9,4,6,0,2
障害福祉サービスの利用状況,地域相談支援,41,19,23,14,8,10,9,3,4,2,8,4,4,5,0,0
障害福祉サービスの利用状況,移動支援,54,17,22,18,6,9,10,3,5,2,7,5,5,7,2,0
障害福祉サービスの利用状況,地域活動支援センター,60,26,31,21,13,9,7,3,2,2,13,3,8,5,1,0
障害福祉サービスの利用状況,福祉ホーム,17,9,9,5,7,5,5,0,3,3,6,2,2,0,0,0
障害福祉サービスの利用状況,児童発達支援,48,17,13,21,14,7,15,13,11,3,5,21,2,14,0,0
障害福祉サービスの利用状況,医療型児童発達支援,10,4,5,5,6,3,3,4,2,0,3,1,1,2,0,0
障害福祉サービスの利用状況,放課後等デイサービス,143,47,44,45,25,22,28,30,35,6,5,65,8,23,7,1
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,2,1,4,2,4,3,1,4,1,2,1,1,2,0,1
障害福祉サービスの利用状況,保育所等訪問支援,4,1,1,1,2,1,1,2,1,1,0,2,0,1,0,0
障害福祉サービスの利用状況,訪問看護,74,38,38,18,6,3,10,1,2,0,8,4,9,7,4,1
障害福祉サービスの利用状況,訪問リハビリテーション,76,51,36,16,6,5,6,2,2,1,9,3,12,2,2,2
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,701,1041,571,190,77,142,76,42,16,45,51,49,139,33,39
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,353,253,189,114,44,86,50,28,17,29,44,30,60,15,6
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,156,102,79,90,33,63,32,22,12,11,23,19,35,11,3
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,73,79,73,57,22,35,51,21,9,8,21,6,39,2,2
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,109,100,110,114,55,110,50,37,7,6,34,8,60,4,1
過去1年間の実施種目,ブラインドサッカー,24,9,6,11,6,12,4,7,6,7,2,4,0,0,0,1
過去1年間の実施種目,車いすテニス,15,8,5,5,6,8,3,5,4,1,4,1,2,2,0,1
過去1年間の実施種目,サウンドテーブルテニス,26,5,8,6,11,13,8,3,10,7,4,3,1,1,0,0
過去1年間の実施種目,パラバレーボール,26,9,7,8,8,10,12,6,11,10,3,4,1,0,0,1
過去1年間の実施種目,車いすバスケットボール,19,9,6,6,11,7,6,5,6,4,3,3,0,1,0,0
過去1年間の実施種目,車いすラグビー,13,4,2,3,4,5,5,2,6,4,0,1,0,0,0,0
過去1年間の実施種目,ボッチャ,50,17,13,22,11,9,13,12,20,3,8,15,3,7,1,2
