調査項目,回答,全体(人),実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）をやったことがある(人),実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）をやったことがない(人),「やったことがない」のうち、やりたい(人),「やったことがない」のうち、やりたいと思わない(人)
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験及び興味関心,,3226,515,2711,800,1911
障害者の年齢,7-17歳,507,140,367,175,192
障害者の年齢,18-19歳,33,9,24,14,10
障害者の年齢,20-29歳,273,75,198,80,118
障害者の年齢,30-39歳,336,80,256,106,150
障害者の年齢,40-49歳,377,79,298,98,200
障害者の年齢,50-59歳,588,75,513,122,391
障害者の年齢,60-69歳,454,32,422,107,315
障害者の年齢,70-120歳,658,25,633,98,535
障害者の性別,男性,1698,266,1432,449,983
障害者の性別,女性,1404,226,1178,331,847
障害者の性別,無回答・その他,124,23,101,20,81
障害種別,視覚障害,247,44,203,53,150
障害種別,聴覚・平衡機能障害,300,69,231,67,164
障害種別,音声・言語・そしゃく機能障害,135,17,118,30,88
障害種別,肢体不自由（上肢）,387,40,347,82,265
障害種別,肢体不自由（下肢）,684,64,620,132,488
障害種別,肢体不自由（体幹）,308,36,272,53,219
障害種別,肢体不自由（脳原性運動機能障害）,82,11,71,13,58
障害種別,内部障害,619,82,537,155,382
障害種別,知的障害,552,115,437,168,269
障害種別,精神障害,824,144,680,199,481
車椅子の必要性,必要とする,396,56,340,87,253
車椅子の必要性,必要としない,637,56,581,130,451
障害者手帳の有無,持っている,2103,331,1772,538,1234
障害者手帳の有無,持っていない,1123,184,939,262,677
障害種別,身体障害者手帳　1級,461,58,403,111,292
障害種別,身体障害者手帳　2級,248,39,209,58,151
障害種別,身体障害者手帳　3級,225,33,192,59,133
障害種別,身体障害者手帳　4級,224,36,188,59,129
障害種別,身体障害者手帳　5級,92,14,78,21,57
障害種別,身体障害者手帳　6級,85,14,71,22,49
障害種別,療育手帳（愛の手帳）1度（最重度）,24,2,22,6,16
障害種別,療育手帳（愛の手帳）2度（重度）,96,11,85,29,56
障害種別,療育手帳（愛の手帳）3度（中度）,79,18,61,28,33
障害種別,療育手帳（愛の手帳）4度（軽度）,170,46,124,59,65
障害種別,精神障害者保健福祉手帳　1級,23,6,17,5,12
障害種別,精神障害者保健福祉手帳　2級,216,30,186,52,134
障害種別,精神障害者保健福祉手帳　3級,242,43,199,51,148
障害種別,障害者手帳は持っていない,1123,184,939,262,677
障害の程度別,重度,810,112,698,197,501
障害の程度別,軽度,1293,219,1074,341,733
障害の程度別,障害者手帳は持っていない,1123,184,939,262,677
受傷の時期,生まれたとき,852,178,674,245,429
受傷の時期,生まれた後,2374,337,2037,555,1482
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,31,58,31,27
学校の種別,小学校の普通学校（通級による指導あり）,38,19,19,10,9
学校の種別,小学校の普通学校（特別支援学級）,86,23,63,40,23
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,13,35,14,21
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,8,36,16,20
学校の種別,中学校の普通学校（通級による指導あり）,16,4,12,5,7
学校の種別,中学校の普通学校（特別支援学級）,39,9,30,17,13
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,9,31,10,21
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,13,37,15,22
学校の種別,高等学校の普通学校（通級による指導あり）,12,3,9,5,4
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,14,28,12,16
学校の種別,大学・短期大学,37,11,26,13,13
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,2,12,5,7
学校の種別,職業能力開発校、障害者職業能力開発校等,7,1,6,6,0
学校の種別,なし,136,28,108,33,75
仕事の有無,仕事をしている,1227,257,970,331,639
仕事の有無,仕事をしていない,1821,231,1590,421,1169
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,27,151,48,103
平日・日中の居場所,自分の家,1843,233,1610,383,1227
平日・日中の居場所,職場（一般企業など）,677,143,534,190,344
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,10,92,34,58
平日・日中の居場所,学校,362,102,260,135,125
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,18,117,38,79
平日・日中の居場所,入所施設,69,3,66,15,51
平日・日中の居場所,その他,38,6,32,5,27
放課後の居場所,自分の家,345,99,246,118,128
放課後の居場所,習いごと（塾や英会話等の学習系）,75,29,46,26,20
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,23,36,23,13
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,19,22,14,8
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,41,115,58,57
放課後の居場所,学童保育,34,16,18,14,4
放課後の居場所,広場や公園,35,22,13,10,3
放課後の居場所,学校（校庭や体育館）,35,16,19,15,4
放課後の居場所,児童館や図書館などの公共施設,16,7,9,5,4
放課後の居場所,その他,8,3,5,3,2
障害福祉サービスの利用状況,利用していない,2117,331,1786,500,1286
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,37,185,51,134
障害福祉サービスの利用状況,重度訪問介護,29,6,23,8,15
障害福祉サービスの利用状況,同行援護,70,18,52,25,27
障害福祉サービスの利用状況,行動援護,81,18,63,28,35
障害福祉サービスの利用状況,重度障害者等包括支援,29,7,22,12,10
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,18,123,30,93
障害福祉サービスの利用状況,療養介護,34,9,25,13,12
障害福祉サービスの利用状況,生活介護,85,13,72,19,53
障害福祉サービスの利用状況,施設入所支援,43,0,43,8,35
障害福祉サービスの利用状況,自立訓練,65,12,53,15,38
障害福祉サービスの利用状況,就労移行支援,42,16,26,10,16
障害福祉サービスの利用状況,就労継続支援（A型）,23,6,17,9,8
障害福祉サービスの利用状況,就労継続支援（B型）,89,14,75,27,48
障害福祉サービスの利用状況,就労定着支援,19,7,12,4,8
障害福祉サービスの利用状況,自立生活援助,45,10,35,10,25
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,6,27,7,20
障害福祉サービスの利用状況,計画相談支援,51,17,34,14,20
障害福祉サービスの利用状況,地域相談支援,57,16,41,12,29
障害福祉サービスの利用状況,移動支援,76,11,65,26,39
障害福祉サービスの利用状況,地域活動支援センター,81,23,58,19,39
障害福祉サービスの利用状況,福祉ホーム,25,14,11,4,7
障害福祉サービスの利用状況,児童発達支援,55,24,31,15,16
障害福祉サービスの利用状況,医療型児童発達支援,11,6,5,3,2
障害福祉サービスの利用状況,放課後等デイサービス,208,39,169,67,102
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,5,3,0,3
障害福祉サービスの利用状況,保育所等訪問支援,5,2,3,1,2
障害福祉サービスの利用状況,訪問看護,179,14,165,30,135
障害福祉サービスの利用状況,訪問リハビリテーション,165,7,158,39,119
スポーツ運動の実施の有無,行っている,2091,449,1642,621,1021
スポーツ運動の実施の有無,行っていない,1135,66,1069,179,890
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,331,1264,451,813
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,152,379,169,210
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,68,217,108,109
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,66,104,62,42
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,97,196,104,92
過去1年間の実施種目,ブラインドサッカー,24,13,11,9,2
過去1年間の実施種目,車いすテニス,15,9,6,4,2
過去1年間の実施種目,サウンドテーブルテニス,26,13,13,8,5
過去1年間の実施種目,パラバレーボール,26,15,11,5,6
過去1年間の実施種目,車いすバスケットボール,19,10,9,5,4
過去1年間の実施種目,車いすラグビー,13,5,8,5,3
