調査項目,回答,全体(人),スタジアム、体育館などの建物や設備のバリアフリー化(人),交通機関（電車やバス）やまちのバリアフリー化(人),会場までの送迎(人),障害者への施設開放の促進（障害者が優先的に使える施設が増える）(人),障害にあわせた教室やプログラム(人),介助者や手話通訳などの支援(人),障害に対応した情報の提供や問合せ方法の充実(人),施設や用具等を利用する際に必要な手続きの支援(人),障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進(人),健康や体調を管理する医療的なサポート(人),目標となる大会やイベント(人),スポーツ用具等の貸出し(人),施設の利用料減免　（利用料が安くなったり、無料になったりする）(人),リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実(人),自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実(人),一緒に行う仲間（障害の無い人）(人),一緒に行う仲間（自分と同じ障害のある人）(人),一緒に行う仲間（自分と異なる障害のある人）(人),適切な指導者やコーチ、トレーナー(人),その他(人),特にない(人),わからない(人)
スポーツを始めるきっかけとして必要な支援,,1135,31,32,95,35,112,29,38,13,5,65,9,17,46,9,57,49,65,13,87,23,385,354
障害者の年齢,7-17歳,128,9,5,16,9,25,5,8,6,2,4,4,1,4,2,3,13,15,3,16,0,24,40
障害者の年齢,18-19歳,9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,5
障害者の年齢,20-29歳,84,2,1,8,1,10,3,4,1,0,3,1,2,2,1,5,7,7,1,13,3,25,23
障害者の年齢,30-39歳,98,5,3,9,1,8,1,3,1,1,6,1,1,6,0,3,6,4,2,3,0,29,39
障害者の年齢,40-49歳,102,4,3,5,3,6,2,3,0,1,4,0,1,6,0,3,6,7,2,5,3,33,36
障害者の年齢,50-59歳,216,4,6,9,7,17,2,6,1,0,8,1,5,13,1,8,5,8,2,11,4,87,75
障害者の年齢,60-69歳,167,2,5,19,8,12,4,4,2,0,14,2,4,7,3,14,4,10,1,12,4,64,41
障害者の年齢,70-120歳,331,5,9,28,6,33,12,9,2,1,26,0,3,8,2,21,7,13,1,26,9,122,95
障害者の性別,男性,538,16,17,51,25,55,10,25,10,4,29,7,11,26,3,27,27,34,8,48,14,187,150
障害者の性別,女性,557,14,14,43,10,56,17,13,2,1,35,2,6,20,6,29,20,29,5,37,9,189,180
