調査項目,回答,全体(人),小学校の普通学校（通常学級のみに在籍）(人),小学校の普通学校（通級による指導あり）(人),小学校の普通学校（特別支援学級）(人),小学校の特別支援学校（養護学校・盲学校・ろう学校）(人),中学校の普通学校（通常学級のみに在籍）(人),中学校の普通学校（通級による指導あり）(人),中学校の普通学校（特別支援学級）(人),中学校の特別支援学校（養護学校・盲学校・ろう学校）(人),高等学校の普通学校（通常学級のみに在籍）(人),高等学校の普通学校（通級による指導あり）(人),高等学校の特別支援学校（養護学校・盲学校・ろう学校）(人),大学・短期大学(人),特別支援学校高等部専攻科、高等学校専攻科(人),職業能力開発校、障害者職業能力開発校等(人),なし(人)
学校の種別,,698,89,38,86,48,44,16,39,40,50,12,42,37,14,7,136
障害者の年齢,7-17歳,507,85,36,82,48,41,16,35,39,44,11,35,0,10,5,20
障害者の年齢,18-19歳,33,0,1,0,0,1,0,0,0,3,1,4,8,2,2,11
障害者の年齢,20-29歳,158,4,1,4,0,2,0,4,1,3,0,3,29,2,0,105
障害者の年齢,30-39歳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
障害者の年齢,40-49歳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
障害者の年齢,50-59歳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
障害者の年齢,60-69歳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
障害者の年齢,70-120歳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
障害者の性別,男性,365,41,26,53,28,24,9,28,27,22,5,20,8,8,7,59
障害者の性別,女性,295,38,12,30,18,16,6,11,13,25,6,21,25,5,0,69
障害者の性別,無回答・その他,38,10,0,3,2,4,1,0,0,3,1,1,4,1,0,8
障害種別,視覚障害,50,12,4,3,2,2,2,2,1,3,2,0,3,1,0,13
障害種別,聴覚・平衡機能障害,56,10,5,3,6,8,0,1,3,7,1,2,5,0,0,5
障害種別,音声・言語・そしゃく機能障害,28,6,4,2,1,1,2,2,2,0,0,0,2,0,0,6
障害種別,肢体不自由（上肢）,32,1,1,4,4,0,0,3,6,0,0,0,3,2,0,8
障害種別,肢体不自由（下肢）,47,2,8,3,6,2,1,2,6,0,1,3,3,1,0,9
障害種別,肢体不自由（体幹）,40,5,2,4,7,0,2,2,4,0,0,1,4,0,0,9
障害種別,肢体不自由（脳原性運動機能障害）,14,1,0,3,1,0,0,0,2,0,0,1,1,0,0,5
障害種別,内部障害,49,11,0,3,2,5,1,1,0,5,1,1,7,0,0,12
障害種別,知的障害,330,22,4,62,36,14,4,29,33,14,0,37,5,12,6,52
障害種別,精神障害,189,28,14,11,1,13,5,7,3,25,7,5,16,2,2,50
障害の程度別,重度,142,4,10,14,24,2,0,6,20,2,2,21,6,2,,29
障害の程度別,軽度,289,20,6,46,24,8,7,27,16,13,6,20,15,11,7,63
障害の程度別,障害者手帳は持っていない,267,65,22,26,0,34,9,6,4,35,4,1,16,1,0,44
車椅子の必要性,必要とする,57,1,9,8,8,0,1,5,8,0,0,3,2,1,0,11
車椅子の必要性,必要としない,29,5,2,0,3,2,2,0,1,0,1,2,5,1,0,5
障害者手帳の有無,持っている,431,24,16,60,48,10,7,33,36,15,8,41,21,13,7,92
障害者手帳の有無,持っていない,267,65,22,26,0,34,9,6,4,35,4,1,16,1,0,44
障害種別,身体障害者手帳　1級,48,2,1,4,5,1,0,3,7,2,1,3,3,1,0,15
障害種別,身体障害者手帳　2級,40,2,9,6,5,0,0,2,1,0,1,3,3,0,0,8
障害種別,身体障害者手帳　3級,21,3,2,1,6,0,0,2,1,0,1,1,1,0,0,3
障害種別,身体障害者手帳　4級,17,1,1,2,3,3,1,1,0,0,0,0,2,0,0,3
障害種別,身体障害者手帳　5級,8,0,0,1,0,1,1,1,1,0,0,0,0,0,0,3
障害種別,身体障害者手帳　6級,18,3,0,2,0,1,1,1,1,2,1,1,5,0,0,0
障害種別,療育手帳（愛の手帳）1度（最重度）,10,0,0,0,2,0,0,0,4,0,0,2,0,0,0,2
障害種別,療育手帳（愛の手帳）2度（重度）,56,0,0,3,17,0,0,1,11,0,0,16,0,1,0,7
障害種別,療育手帳（愛の手帳）3度（中度）,54,0,1,10,10,0,0,3,10,1,0,8,0,1,1,9
障害種別,療育手帳（愛の手帳）4度（軽度）,118,9,1,27,5,3,1,17,4,4,0,8,0,8,6,25
障害種別,精神障害者保健福祉手帳　1級,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
障害種別,精神障害者保健福祉手帳　2級,25,1,0,1,0,1,1,3,0,3,0,3,2,0,0,10
障害種別,精神障害者保健福祉手帳　3級,39,3,1,2,0,1,3,1,0,4,4,1,5,2,0,12
障害種別,障害者手帳は持っていない,267,65,22,26,0,34,9,6,4,35,4,1,16,1,0,44
受傷の時期,生まれたとき,368,51,12,37,38,21,7,17,26,22,4,27,20,4,3,79
受傷の時期,生まれた後,330,38,26,49,10,23,9,22,14,28,8,15,17,10,4,57
仕事の有無,仕事をしている,133,7,9,8,3,2,2,3,1,14,2,3,22,2,2,53
仕事の有無,仕事をしていない,522,82,29,77,43,42,12,35,39,35,10,38,15,12,4,49
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,43,0,0,1,2,0,2,1,0,1,0,1,0,0,1,34
