調査項目,回答,全体(人),自分の家(人),職場（一般企業など）(人),職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）(人),学校(人),通所施設（生活介護、デイケアなど）(人),入所施設(人),その他(人)
平日・日中の居場所,,3226,1843,677,102,362,135,69,38
障害者の年齢,7-17歳,507,149,11,2,337,6,2,0
障害者の年齢,18-19歳,33,10,5,3,12,2,1,0
障害者の年齢,20-29歳,273,117,83,31,13,19,4,6
障害者の年齢,30-39歳,336,155,125,27,0,19,7,3
障害者の年齢,40-49歳,377,186,142,22,0,15,8,4
障害者の年齢,50-59歳,588,348,201,10,0,12,11,6
障害者の年齢,60-69歳,454,325,94,4,0,16,9,6
障害者の年齢,70-120歳,658,553,16,3,0,46,27,13
障害者の性別,男性,1698,880,437,66,202,61,33,19
障害者の性別,女性,1404,895,217,33,141,70,31,17
障害者の性別,無回答・その他,124,68,23,3,19,4,5,2
障害種別,視覚障害,247,150,60,1,11,16,7,2
障害種別,聴覚・平衡機能障害,300,165,79,0,29,17,6,4
障害種別,音声・言語・そしゃく機能障害,135,78,16,1,14,16,5,5
障害種別,肢体不自由（上肢）,387,264,58,5,10,27,14,9
障害種別,肢体不自由（下肢）,684,474,93,7,26,37,34,13
障害種別,肢体不自由（体幹）,308,204,36,7,17,28,13,3
障害種別,肢体不自由（脳原性運動機能障害）,82,50,6,1,3,14,7,1
障害種別,内部障害,619,408,160,8,19,10,4,10
障害種別,知的障害,552,167,70,59,200,34,19,3
障害種別,精神障害,824,473,194,33,82,24,10,8
車椅子の必要性,必要とする,396,251,16,11,32,42,36,8
車椅子の必要性,必要としない,637,451,135,5,11,22,5,8
障害者手帳の有無,持っている,2103,1177,423,97,222,101,52,31
障害者手帳の有無,持っていない,1123,666,254,5,140,34,17,7
障害種別,身体障害者手帳　1級,461,309,81,7,17,20,16,11
障害種別,身体障害者手帳　2級,248,159,45,4,20,10,4,6
障害種別,身体障害者手帳　3級,225,128,60,7,7,21,1,1
障害種別,身体障害者手帳　4級,224,138,53,3,8,11,10,1
障害種別,身体障害者手帳　5級,92,63,19,0,0,6,3,1
障害種別,身体障害者手帳　6級,85,48,19,1,12,3,0,2
障害種別,療育手帳（愛の手帳）1度（最重度）,24,7,2,3,6,5,1,0
障害種別,療育手帳（愛の手帳）2度（重度）,96,18,3,15,40,13,6,1
障害種別,療育手帳（愛の手帳）3度（中度）,79,17,7,19,31,1,4,0
障害種別,療育手帳（愛の手帳）4度（軽度）,170,48,34,12,67,8,0,1
障害種別,精神障害者保健福祉手帳　1級,23,13,2,1,0,3,4,0
障害種別,精神障害者保健福祉手帳　2級,216,140,32,17,9,10,4,4
障害種別,精神障害者保健福祉手帳　3級,242,127,77,12,15,5,2,4
障害種別,障害者手帳は持っていない,1123,666,254,5,140,34,17,7
受傷の時期,生まれたとき,852,365,166,58,179,57,23,4
受傷の時期,生まれた後,2374,1478,511,44,183,78,46,34
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,30,3,0,54,2,0,0
学校の種別,小学校の普通学校（通級による指導あり）,38,10,2,0,25,1,0,0
学校の種別,小学校の普通学校（特別支援学級）,86,17,6,0,61,2,0,0
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,12,1,1,33,1,0,0
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,14,0,0,28,1,1,0
学校の種別,中学校の普通学校（通級による指導あり）,16,5,1,1,8,0,1,0
学校の種別,中学校の普通学校（特別支援学級）,39,6,3,1,26,2,1,0
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,10,1,0,29,0,0,0
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,11,3,1,35,0,0,0
学校の種別,高等学校の普通学校（通級による指導あり）,12,5,0,0,7,0,0,0
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,10,2,1,28,1,0,0
学校の種別,大学・短期大学,37,18,2,0,16,0,0,1
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,6,0,0,8,0,0,0
学校の種別,職業能力開発校、障害者職業能力開発校等,7,1,1,1,4,0,0,0
学校の種別,なし,136,70,34,20,0,8,2,2
仕事の有無,仕事をしている,1227,488,677,0,28,16,6,12
仕事の有無,仕事をしていない,1821,1304,0,0,332,106,54,25
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,51,0,102,2,13,9,1
放課後の居場所,自分の家,345,112,11,1,215,5,1,0
放課後の居場所,習いごと（塾や英会話等の学習系）,75,20,2,1,51,1,0,0
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,9,7,1,40,2,0,0
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,7,3,3,25,2,1,0
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,22,0,2,130,1,1,0
放課後の居場所,学童保育,34,4,2,1,26,1,0,0
放課後の居場所,広場や公園,35,4,1,1,29,0,0,0
放課後の居場所,学校（校庭や体育館）,35,1,0,2,32,0,0,0
放課後の居場所,児童館や図書館などの公共施設,16,1,0,1,14,0,0,0
放課後の居場所,その他,8,2,1,0,4,1,0,0
障害福祉サービスの利用状況,利用していない,2117,1271,575,17,187,25,19,23
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,151,24,4,13,25,3,2
障害福祉サービスの利用状況,重度訪問介護,29,19,4,1,1,4,0,0
障害福祉サービスの利用状況,同行援護,70,38,10,5,7,5,5,0
障害福祉サービスの利用状況,行動援護,81,35,4,6,14,17,5,0
障害福祉サービスの利用状況,重度障害者等包括支援,29,12,5,2,2,7,1,0
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,68,6,7,22,33,1,4
障害福祉サービスの利用状況,療養介護,34,20,3,1,1,2,5,2
障害福祉サービスの利用状況,生活介護,85,44,3,6,3,19,10,0
障害福祉サービスの利用状況,施設入所支援,43,6,3,0,2,7,23,2
障害福祉サービスの利用状況,自立訓練,65,41,5,1,3,8,5,2
障害福祉サービスの利用状況,就労移行支援,42,19,6,8,0,6,2,1
障害福祉サービスの利用状況,就労継続支援（A型）,23,4,8,9,1,0,0,1
障害福祉サービスの利用状況,就労継続支援（B型）,89,29,3,53,0,3,0,1
障害福祉サービスの利用状況,就労定着支援,19,4,10,4,0,0,0,1
障害福祉サービスの利用状況,自立生活援助,45,29,5,1,2,6,2,0
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,10,2,6,1,7,6,1
障害福祉サービスの利用状況,計画相談支援,51,22,5,7,11,6,0,0
障害福祉サービスの利用状況,地域相談支援,57,35,7,3,8,4,0,0
障害福祉サービスの利用状況,移動支援,76,35,8,10,12,9,2,0
障害福祉サービスの利用状況,地域活動支援センター,81,45,12,9,7,6,1,1
障害福祉サービスの利用状況,福祉ホーム,25,11,3,1,2,2,6,0
障害福祉サービスの利用状況,児童発達支援,55,10,2,2,38,3,0,0
障害福祉サービスの利用状況,医療型児童発達支援,11,2,2,0,7,0,0,0
障害福祉サービスの利用状況,放課後等デイサービス,208,72,2,1,120,11,1,1
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,1,0,0,6,0,1,0
障害福祉サービスの利用状況,保育所等訪問支援,5,1,0,0,4,0,0,0
障害福祉サービスの利用状況,訪問看護,179,144,6,3,9,13,2,2
障害福祉サービスの利用状況,訪問リハビリテーション,165,124,10,0,6,19,3,3
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,904,386,59,157,55,18,16
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,279,119,15,86,18,8,6
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,134,92,4,38,13,1,3
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,40,46,8,69,5,0,2
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,102,45,15,115,10,4,2
過去1年間の実施種目,ブラインドサッカー,24,10,6,0,8,0,0,0
過去1年間の実施種目,車いすテニス,15,9,2,1,3,0,0,0
過去1年間の実施種目,サウンドテーブルテニス,26,11,6,1,6,2,0,0
過去1年間の実施種目,パラバレーボール,26,10,2,0,8,5,1,0
過去1年間の実施種目,車いすバスケットボール,19,9,7,0,2,1,0,0
過去1年間の実施種目,車いすラグビー,13,2,3,1,4,3,0,0
過去1年間の実施種目,ボッチャ,50,8,3,7,29,2,1,0
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,23,27,6,65,3,0,0
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,27,10,6,45,4,2,0
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,4,7,1,6,0,0,1
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,9,3,0,10,2,0,0
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,6,3,0,4,2,0,0
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,9,18,1,17,1,0,1
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,11,14,3,9,1,0,0
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,6,2,1,2,2,0,0
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,36,33,2,31,2,0,1
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,45,37,3,26,3,0,0
