調査項目,回答,全体(人),スタジアム、体育館などの建物や設備のバリアフリー化(人),交通機関（電車やバス）やまちのバリアフリー化(人),会場までの送迎(人),障害者への施設開放の促進（障害者が優先的に使える施設が増える）(人),障害にあわせた教室やプログラム(人),介助者や手話通訳などの支援(人),障害に対応した情報の提供や問合せ方法の充実(人),施設や用具等を利用する際に必要な手続きの支援(人),障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進(人),健康や体調を管理する医療的なサポート(人),目標となる大会やイベント(人),スポーツ用具等の貸出し(人),施設の利用料減免　（利用料が安くなったり、無料になったりする）(人),リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実(人),自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実(人),一緒に行う仲間（障害の無い人）(人),一緒に行う仲間（自分と同じ障害のある人）(人),一緒に行う仲間（自分と異なる障害のある人）(人),適切な指導者やコーチ、トレーナー(人),その他(人),特にない(人),わからない(人)
スポーツ・運動の継続実施に必要なもの,,2091,344,375,360,274,463,120,232,138,109,280,136,172,314,89,258,331,291,157,356,44,362,247
障害者の年齢,7-17歳,379,63,53,88,74,137,40,52,36,23,32,49,44,69,13,37,101,92,58,110,7,30,27
障害者の年齢,18-19歳,24,7,3,3,1,6,0,4,3,2,6,2,4,4,2,5,6,7,3,5,0,1,1
障害者の年齢,20-29歳,189,36,30,23,31,43,13,20,14,18,21,13,19,29,3,15,34,29,16,26,1,20,30
障害者の年齢,30-39歳,238,40,40,31,33,43,11,26,12,18,40,18,27,35,16,23,41,31,14,35,3,35,27
障害者の年齢,40-49歳,275,43,52,41,35,47,9,28,19,13,31,19,20,36,16,37,43,42,17,32,5,49,43
障害者の年齢,50-59歳,372,65,67,44,38,71,15,36,20,18,46,19,33,54,17,42,42,39,21,47,13,85,54
障害者の年齢,60-69歳,287,43,61,56,36,48,9,33,17,11,36,9,13,42,10,43,27,20,12,38,11,72,35
障害者の年齢,70-120歳,327,47,69,74,26,68,23,33,17,6,68,7,12,45,12,56,37,31,16,63,4,70,30
障害者の性別,男性,1160,188,197,199,162,259,61,122,79,57,144,86,100,184,45,121,179,157,86,205,28,232,126
障害者の性別,女性,847,138,161,154,106,193,53,104,55,48,128,43,63,121,41,130,136,126,65,145,13,117,111
障害者の性別,無回答・その他,84,18,17,7,6,11,6,6,4,4,8,7,9,9,3,7,16,8,6,6,3,13,10
障害種別,視覚障害,166,42,51,28,26,30,15,17,8,20,16,13,15,22,8,21,25,15,9,14,3,20,17
障害種別,聴覚・平衡機能障害,204,49,45,34,25,38,25,20,13,13,28,18,20,24,12,24,27,22,13,25,6,36,12
障害種別,音声・言語・そしゃく機能障害,77,15,20,20,21,24,7,16,7,12,14,8,8,13,8,20,14,11,11,21,2,6,3
障害種別,肢体不自由（上肢）,224,43,62,55,40,55,17,35,19,17,38,8,23,39,13,33,20,29,16,43,4,40,20
障害種別,肢体不自由（下肢）,343,71,98,91,58,97,24,52,28,21,63,20,32,65,24,61,50,55,32,72,10,49,33
障害種別,肢体不自由（体幹）,137,37,48,36,31,34,20,23,16,15,29,10,12,28,8,29,24,28,14,26,3,11,8
障害種別,肢体不自由（脳原性運動機能障害）,35,12,14,16,8,12,6,7,4,6,6,2,4,7,1,7,5,7,5,9,1,4,1
障害種別,内部障害,429,57,81,56,34,76,14,34,21,14,75,20,25,53,13,49,50,39,22,57,9,103,56
障害種別,知的障害,387,64,54,86,71,139,28,59,41,22,35,39,42,73,12,40,89,89,51,109,6,34,45
障害種別,精神障害,535,57,62,73,59,94,13,53,31,25,68,32,45,84,26,63,103,80,40,95,13,103,92
車椅子の必要性,必要とする,158,52,62,54,48,51,26,31,20,21,26,12,16,29,12,32,20,25,16,24,3,6,8
車椅子の必要性,必要としない,393,64,84,81,48,92,19,48,28,17,68,18,30,66,16,55,50,53,27,74,10,74,41
障害者手帳の有無,持っている,1357,231,253,243,215,326,90,171,98,86,201,89,113,233,68,173,218,206,110,249,28,238,148
障害者手帳の有無,持っていない,734,113,122,117,59,137,30,61,40,23,79,47,59,81,21,85,113,85,47,107,16,124,99
障害種別,身体障害者手帳　1級,273,57,68,51,37,58,23,36,21,17,50,11,18,42,11,41,32,31,18,41,4,59,31
障害種別,身体障害者手帳　2級,151,30,45,38,21,39,17,20,13,14,28,12,7,20,11,25,20,19,12,25,3,18,16
障害種別,身体障害者手帳　3級,136,27,21,25,21,28,12,13,10,10,20,5,11,21,7,14,9,15,5,18,3,26,13
障害種別,身体障害者手帳　4級,158,30,34,27,25,40,7,20,6,8,28,13,14,29,7,18,20,19,11,33,5,36,8
障害種別,身体障害者手帳　5級,64,12,13,7,14,11,6,8,3,6,3,1,6,11,4,7,9,6,4,5,2,11,6
障害種別,身体障害者手帳　6級,59,12,7,6,7,7,2,4,1,3,5,3,5,2,1,4,7,3,0,3,1,11,7
障害種別,療育手帳（愛の手帳）1度（最重度）,15,5,5,4,8,8,2,4,3,2,1,1,2,4,2,3,1,0,0,3,0,0,0
障害種別,療育手帳（愛の手帳）2度（重度）,67,5,6,11,19,26,7,11,10,5,8,1,10,17,1,8,11,13,5,19,2,7,9
障害種別,療育手帳（愛の手帳）3度（中度）,61,14,13,22,16,29,6,11,7,6,14,12,8,12,2,10,15,17,10,18,0,3,3
障害種別,療育手帳（愛の手帳）4度（軽度）,121,22,17,30,20,44,11,17,9,6,8,16,10,22,0,9,33,42,22,39,1,15,10
障害種別,精神障害者保健福祉手帳　1級,15,1,2,3,3,2,0,3,2,1,1,2,0,2,1,2,2,2,1,5,0,2,0
障害種別,精神障害者保健福祉手帳　2級,129,20,19,20,18,24,2,17,13,6,20,8,13,26,10,15,33,28,14,28,3,20,24
障害種別,精神障害者保健福祉手帳　3級,161,15,20,18,22,26,2,15,7,9,27,12,17,36,14,24,31,23,9,23,4,30,28
障害種別,障害者手帳は持っていない,734,113,122,117,59,137,30,61,40,23,79,47,59,81,21,85,113,85,47,107,16,124,99
受傷の時期,生まれたとき,603,136,110,104,113,141,57,77,43,44,69,48,53,83,25,52,94,96,51,91,8,57,64
受傷の時期,生まれた後,1488,208,265,256,161,322,63,155,95,65,211,88,119,231,64,206,237,195,106,265,36,305,183
