調査項目,回答,全体(人),行っている(人),ウォーキング、散歩（散策、ペットの散歩など）(人),体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）(人),室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動(人),陸上競技（ランニング、ジョギングなどの軽い運動も含めます）(人),水泳・遊泳（水中歩行・水中運動）(人),ブラインドサッカー(人),車いすテニス(人),サウンドテーブルテニス(人),パラバレーボール(人),車いすバスケットボール(人),車いすラグビー(人),ボッチャ(人),球技（キャッチボールなどのボールを使った軽い運動も含めます）(人),ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）(人),格闘技（ボクシング、レスリング、相撲（すもう）など）(人),武道（柔道、剣道、空手、合気道など）(人),射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）(人),ウィンタースポーツ（スキー、スノーボード、スケートなど）(人),ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）(人),スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）(人),アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）(人),サイクリング、モーター（サイクル）スポーツ(人),運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）(人),ゲーム機を使い体を動かして行うスポーツ・フィットネス等(人),その他(人),行っていない（人）
過去1年間の実施種目,,3226,2091,1595,531,285,170,293,24,15,26,26,19,13,50,124,94,19,24,15,47,38,13,105,114,134,79,53,1135
障害者の年齢,7-17歳,507,379,216,114,49,78,137,12,7,10,11,9,5,30,73,50,8,14,6,18,12,3,38,27,114,30,8,128
障害者の年齢,18-19歳,33,24,19,3,0,3,3,0,0,1,0,0,0,1,0,6,0,1,0,2,0,0,1,1,0,0,1,9
障害者の年齢,20-29歳,273,189,134,42,31,15,20,2,2,2,4,0,1,8,11,9,2,1,1,3,4,2,8,6,7,17,6,84
障害者の年齢,30-39歳,336,238,175,57,43,23,32,5,2,8,5,7,2,2,12,12,4,3,5,7,5,5,16,14,5,14,6,98
障害者の年齢,40-49歳,377,275,220,67,36,18,36,4,1,1,3,2,1,4,11,2,3,3,0,8,8,0,13,16,6,7,6,102
障害者の年齢,50-59歳,588,372,320,97,43,19,27,1,1,2,0,1,0,2,6,6,1,1,1,6,5,1,20,25,0,6,5,216
障害者の年齢,60-69歳,454,287,233,70,41,11,19,0,0,2,2,0,2,2,6,4,1,1,1,2,2,0,4,21,1,1,12,167
障害者の年齢,70-120歳,658,327,278,81,42,3,19,0,2,0,1,0,2,1,5,5,0,0,1,1,2,2,5,4,1,4,9,331
障害者の年齢,18歳以上,2719,1712,1379,417,236,92,156,12,8,16,15,10,8,20,51,44,11,10,9,29,26,10,67,87,20,49,45,1007
障害者の性別,男性,1698,1160,901,254,156,106,168,13,7,7,9,7,8,34,79,32,12,15,6,27,20,3,71,81,72,37,29,57
障害者の性別,女性,1404,847,634,254,119,55,111,10,7,17,15,11,5,14,41,60,7,9,9,17,16,10,28,31,58,41,23,68
障害者の性別,無回答・その他,124,84,60,23,10,9,14,1,1,2,2,1,0,2,4,2,0,0,0,3,2,0,6,2,4,1,1,2
障害種別,視覚障害,247,166,131,37,26,12,18,2,2,4,4,2,1,3,5,3,2,1,0,5,7,2,7,9,5,5,4,81
障害種別,聴覚・平衡機能障害,300,204,154,64,27,29,33,4,3,6,4,4,4,3,17,11,1,4,4,16,7,4,16,16,18,13,4,96
障害種別,音声・言語・そしゃく機能障害,135,77,57,17,16,5,11,1,1,1,2,0,1,2,4,3,1,3,0,2,3,0,3,5,7,1,1,58
障害種別,肢体不自由（上肢）,387,224,172,68,38,9,18,2,1,3,5,1,2,5,3,7,4,0,3,2,2,2,6,7,6,6,4,163
障害種別,肢体不自由（下肢）,684,343,257,107,53,9,37,6,5,6,12,6,4,11,6,6,3,3,4,6,8,2,11,14,7,3,12,341
障害種別,肢体不自由（体幹）,308,137,100,41,19,9,20,5,3,5,4,3,1,5,6,6,2,4,3,1,3,2,3,7,10,4,4,171
障害種別,肢体不自由（脳原性運動機能障害）,82,35,24,9,5,2,4,0,1,3,1,1,0,3,3,0,1,0,1,0,1,1,0,2,3,0,2,47
障害種別,内部障害,619,429,366,100,61,23,36,4,3,0,6,1,1,5,17,11,2,1,1,7,4,1,19,23,10,11,10,190
障害種別,知的障害,552,387,263,81,42,54,99,1,1,2,2,1,0,27,45,37,4,7,3,7,2,0,24,14,79,21,15,165
障害種別,精神障害,824,535,415,141,58,33,55,3,2,2,3,4,0,9,28,20,3,4,2,6,13,3,28,32,26,25,15,289
車椅子の必要性,必要とする,396,158,90,50,33,13,27,10,7,11,14,8,5,14,6,6,6,5,5,4,6,4,6,8,6,4,6,238
車椅子の必要性,必要としない,637,393,318,105,51,12,40,3,0,4,1,11,2,2,9,9,2,1,2,4,3,1,10,17,12,6,10,244
障害者手帳の有無,持っている,2103,1357,1034,346,202,106,194,17,11,18,23,14,8,41,75,55,17,13,13,32,28,10,66,74,79,44,41,746
障害者手帳の有無,持っていない,1123,734,561,185,83,64,99,7,4,8,3,5,5,9,49,39,2,11,2,15,10,3,39,40,55,35,12,389
障害種別,身体障害者手帳　1級,461,273,221,73,41,16,26,3,1,2,4,4,0,9,12,2,3,1,0,7,6,3,14,16,8,4,7,188
