調査項目,回答,全体(人),生まれたとき(人),生まれた後(人)
受傷の時期,,3226,852,2374
障害者の年齢,7-17歳,507,264,243
障害者の年齢,18-19歳,33,21,12
障害者の年齢,20-29歳,273,155,118
障害者の年齢,30-39歳,336,141,195
障害者の年齢,40-49歳,377,95,282
障害者の年齢,50-59歳,588,88,500
障害者の年齢,60-69歳,454,51,403
障害者の年齢,70-120歳,658,37,621
障害者の性別,男性,1698,446,1252
障害者の性別,女性,1404,352,1052
障害者の性別,無回答・その他,124,54,70
障害種別,視覚障害,247,115,132
障害種別,聴覚・平衡機能障害,300,107,193
障害種別,音声・言語・そしゃく機能障害,135,41,94
障害種別,肢体不自由（上肢）,387,69,318
障害種別,肢体不自由（下肢）,684,91,593
障害種別,肢体不自由（体幹）,308,78,230
障害種別,肢体不自由（脳原性運動機能障害）,82,27,55
障害種別,内部障害,619,87,532
障害種別,知的障害,552,317,235
障害種別,精神障害,824,152,672
車椅子の必要性,必要とする,396,96,300
車椅子の必要性,必要としない,637,92,545
障害者手帳の有無,持っている,2103,551,1552
障害者手帳の有無,持っていない,1123,301,822
障害種別,身体障害者手帳　1級,461,94,367
障害種別,身体障害者手帳　2級,248,66,182
障害種別,身体障害者手帳　3級,225,54,171
障害種別,身体障害者手帳　4級,224,37,187
障害種別,身体障害者手帳　5級,92,20,72
障害種別,身体障害者手帳　6級,85,30,55
障害種別,療育手帳（愛の手帳）1度（最重度）,24,18,6
障害種別,療育手帳（愛の手帳）2度（重度）,96,69,27
障害種別,療育手帳（愛の手帳）3度（中度）,79,52,27
障害種別,療育手帳（愛の手帳）4度（軽度）,170,75,95
障害種別,精神障害者保健福祉手帳　1級,23,9,14
障害種別,精神障害者保健福祉手帳　2級,216,32,184
障害種別,精神障害者保健福祉手帳　3級,242,36,206
障害種別,障害者手帳は持っていない,1123,301,822
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,51,38
学校の種別,小学校の普通学校（通級による指導あり）,38,12,26
学校の種別,小学校の普通学校（特別支援学級）,86,37,49
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,38,10
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,21,23
学校の種別,中学校の普通学校（通級による指導あり）,16,7,9
学校の種別,中学校の普通学校（特別支援学級）,39,17,22
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,26,14
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,22,28
学校の種別,高等学校の普通学校（通級による指導あり）,12,4,8
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,27,15
学校の種別,大学・短期大学,37,20,17
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,4,10
学校の種別,職業能力開発校、障害者職業能力開発校等,7,3,4
学校の種別,なし,136,79,57
仕事の有無,仕事をしている,1227,323,904
仕事の有無,仕事をしていない,1821,432,1389
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,97,81
平日・日中の居場所,自分の家,1843,365,1478
平日・日中の居場所,職場（一般企業など）,677,166,511
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,58,44
平日・日中の居場所,学校,362,179,183
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,57,78
平日・日中の居場所,入所施設,69,23,46
平日・日中の居場所,その他,38,4,34
放課後の居場所,自分の家,345,173,172
放課後の居場所,習いごと（塾や英会話等の学習系）,75,32,43
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,35,24
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,25,16
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,89,67
放課後の居場所,学童保育,34,12,22
放課後の居場所,広場や公園,35,14,21
放課後の居場所,学校（校庭や体育館）,35,14,21
放課後の居場所,児童館や図書館などの公共施設,16,9,7
放課後の居場所,その他,8,5,3
障害福祉サービスの利用状況,利用していない,2117,492,1625
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,57,165
障害福祉サービスの利用状況,重度訪問介護,29,17,12
障害福祉サービスの利用状況,同行援護,70,26,44
障害福祉サービスの利用状況,行動援護,81,41,40
障害福祉サービスの利用状況,重度障害者等包括支援,29,18,11
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,50,91
障害福祉サービスの利用状況,療養介護,34,13,21
障害福祉サービスの利用状況,生活介護,85,17,68
障害福祉サービスの利用状況,施設入所支援,43,16,27
障害福祉サービスの利用状況,自立訓練,65,17,48
障害福祉サービスの利用状況,就労移行支援,42,13,29
障害福祉サービスの利用状況,就労継続支援（A型）,23,11,12
障害福祉サービスの利用状況,就労継続支援（B型）,89,40,49
