調査項目,回答,全体(人),男性(人),女性(人),無回答・その他(人)
障害者の性別,,3226,1698,1404,124
障害者の年齢,7-17歳,507,298,186,23
障害者の年齢,18-19歳,33,13,18,2
障害者の年齢,20-29歳,273,115,141,17
障害者の年齢,30-39歳,336,158,164,14
障害者の年齢,40-49歳,377,215,146,16
障害者の年齢,50-59歳,588,365,205,18
障害者の年齢,60-69歳,454,269,171,14
障害者の年齢,70-120歳,658,265,373,20
障害種別,視覚障害,247,132,97,18
障害種別,聴覚・平衡機能障害,300,130,146,24
障害種別,音声・言語・そしゃく機能障害,135,57,71,7
障害種別,肢体不自由（上肢）,387,209,169,9
障害種別,肢体不自由（下肢）,684,306,359,19
障害種別,肢体不自由（体幹）,308,157,141,10
障害種別,肢体不自由（脳原性運動機能障害）,82,38,41,3
障害種別,内部障害,619,355,243,21
障害種別,知的障害,552,332,201,19
障害種別,精神障害,824,411,385,28
車椅子の必要性,必要とする,396,174,215,7
車椅子の必要性,必要としない,637,327,290,20
障害者手帳の有無,持っている,2103,1195,867,41
障害者手帳の有無,持っていない,1123,503,537,83
障害種別,身体障害者手帳　1級,461,260,196,5
障害種別,身体障害者手帳　2級,248,143,101,4
障害種別,身体障害者手帳　3級,225,125,96,4
障害種別,身体障害者手帳　4級,224,126,94,4
障害種別,身体障害者手帳　5級,92,49,40,3
障害種別,身体障害者手帳　6級,85,50,30,5
障害種別,療育手帳（愛の手帳）1度（最重度）,24,13,11,0
障害種別,療育手帳（愛の手帳）2度（重度）,96,58,37,1
障害種別,療育手帳（愛の手帳）3度（中度）,79,51,26,2
障害種別,療育手帳（愛の手帳）4度（軽度）,170,97,70,3
障害種別,精神障害者保健福祉手帳　1級,23,11,11,1
障害種別,精神障害者保健福祉手帳　2級,216,103,111,2
障害種別,精神障害者保健福祉手帳　3級,242,147,88,7
障害種別,障害者手帳は持っていない,1123,503,537,83
受傷の時期,生まれたとき,852,446,352,54
受傷の時期,生まれた後,2374,1252,1052,70
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,41,38,10
学校の種別,小学校の普通学校（通級による指導あり）,38,26,12,0
学校の種別,小学校の普通学校（特別支援学級）,86,53,30,3
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,28,18,2
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,24,16,4
学校の種別,中学校の普通学校（通級による指導あり）,16,9,6,1
学校の種別,中学校の普通学校（特別支援学級）,39,28,11,0
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,27,13,0
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,22,25,3
学校の種別,高等学校の普通学校（通級による指導あり）,12,5,6,1
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,20,21,1
学校の種別,大学・短期大学,37,8,25,4
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,8,5,1
学校の種別,職業能力開発校、障害者職業能力開発校等,7,7,0,0
学校の種別,なし,136,59,69,8
仕事の有無,仕事をしている,1227,753,427,47
仕事の有無,仕事をしていない,1821,840,913,68
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,105,64,9
平日・日中の居場所,自分の家,1843,880,895,68
平日・日中の居場所,職場（一般企業など）,677,437,217,23
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,66,33,3
平日・日中の居場所,学校,362,202,141,19
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,61,70,4
平日・日中の居場所,入所施設,69,33,31,5
平日・日中の居場所,その他,38,19,17,2
放課後の居場所,自分の家,345,191,135,19
放課後の居場所,習いごと（塾や英会話等の学習系）,75,33,35,7
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,37,19,3
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,20,20,1
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,95,59,2
