調査項目,回答,全体(人),参加していて、体育が好きである(人),参加しているが、体育は好きではない(人),参加していない(人),わからない(人)
学校体育の参加状況,,504,279,146,42,37
障害者の年齢,7-17歳,472,263,135,41,33
障害者の年齢,18-19歳,10,4,3,1,2
障害者の年齢,20-29歳,22,12,8,0,2
障害者の年齢,30-39歳,0,0,0,0,0
障害者の年齢,40-49歳,0,0,0,0,0
障害者の年齢,50-59歳,0,0,0,0,0
障害者の年齢,60-69歳,0,0,0,0,0
障害者の年齢,70-120歳,0,0,0,0,0
障害者の性別,男性,283,155,84,23,21
障害者の性別,女性,196,113,59,14,10
障害者の性別,無回答・その他,25,11,3,5,6
障害種別,視覚障害,33,16,6,4,7
障害種別,聴覚・平衡機能障害,46,31,10,2,3
障害種別,音声・言語・そしゃく機能障害,20,11,7,1,1
障害種別,肢体不自由（上肢）,19,13,3,2,1
障害種別,肢体不自由（下肢）,34,23,4,3,4
障害種別,肢体不自由（体幹）,27,18,4,3,2
障害種別,肢体不自由（脳原性運動機能障害）,8,5,0,1,2
障害種別,内部障害,30,9,13,4,4
障害種別,知的障害,255,160,65,11,19
障害種別,精神障害,119,48,47,17,7
車椅子の必要性,必要とする,43,34,5,2,2
車椅子の必要性,必要としない,18,8,4,2,4
障害者手帳の有無,持っている,298,177,82,19,20
障害者手帳の有無,持っていない,206,102,64,23,17
障害種別,身体障害者手帳　1級,29,22,2,3,2
障害種別,身体障害者手帳　2級,29,17,6,3,3
障害種別,身体障害者手帳　3級,17,10,4,2,1
障害種別,身体障害者手帳　4級,12,7,3,2,0
障害種別,身体障害者手帳　5級,5,1,2,2,0
障害種別,身体障害者手帳　6級,13,6,5,0,2
障害種別,療育手帳（愛の手帳）1度（最重度）,8,5,2,0,1
障害種別,療育手帳（愛の手帳）2度（重度）,48,33,8,1,6
障害種別,療育手帳（愛の手帳）3度（中度）,43,30,8,2,3
障害種別,療育手帳（愛の手帳）4度（軽度）,79,45,28,3,3
障害種別,精神障害者保健福祉手帳　1級,2,2,0,0,0
障害種別,精神障害者保健福祉手帳　2級,13,4,9,0,0
障害種別,精神障害者保健福祉手帳　3級,20,7,11,1,1
障害種別,障害者手帳は持っていない,206,102,64,23,17
障害の程度別,重度,105,72,15,7,11
障害の程度別,軽度,193,105,67,12,9
障害の程度別,障害者手帳は持っていない,206,102,64,23,17
受傷の時期,生まれたとき,262,147,65,22,28
受傷の時期,生まれた後,242,132,81,20,9
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,52,20,8,9
学校の種別,小学校の普通学校（通級による指導あり）,38,24,9,5,0
学校の種別,小学校の普通学校（特別支援学級）,86,50,25,8,3
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,39,3,4,2
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,20,14,7,3
学校の種別,中学校の普通学校（通級による指導あり）,16,5,7,3,1
