調査項目,回答,全体(人),一人(人),家族(人),福祉施設の職員・仲間(人),障害がある人のサークル・障害者スポーツサークル等の仲間(人),障害がある人やない人など様々な人がいるサークルの仲間(人),スポーツ教室の指導者・仲間(人),障害者専用スポーツ施設の職員・仲間(人),地域の公共スポーツ施設の職員・仲間(人),ボランティアの人たち(人),学校の先生や学校の友達(人),児童通所サービス（放課後等デイサービス等）の職員・仲間(人),その他の友人・知人(人),その他(人),わからない(人)
一緒に実施する人,,2091,1133,762,174,91,107,151,61,48,54,150,86,137,35,40
障害者の年齢,7-17歳,379,68,205,36,30,26,66,21,16,14,140,72,26,3,7
障害者の年齢,18-19歳,24,4,11,0,2,2,1,1,0,0,2,2,5,0,0
障害者の年齢,20-29歳,189,106,64,12,16,10,10,8,8,4,5,1,16,2,3
障害者の年齢,30-39歳,238,144,82,24,12,19,19,6,5,12,2,3,21,3,4
障害者の年齢,40-49歳,275,182,87,19,12,20,9,4,3,6,1,1,18,3,5
障害者の年齢,50-59歳,372,257,108,24,7,10,15,8,3,5,0,0,20,6,6
障害者の年齢,60-69歳,287,195,72,9,3,12,12,6,3,3,0,1,17,10,7
障害者の年齢,70-120歳,327,177,133,50,9,8,19,7,10,10,0,6,14,8,8
障害者の性別,男性,1160,694,353,83,59,60,80,35,20,24,84,51,82,13,18
障害者の性別,女性,847,401,373,84,32,41,68,23,23,29,64,35,52,22,16
障害者の性別,無回答・その他,84,38,36,7,0,6,3,3,5,1,2,0,3,0,6
障害種別,視覚障害,166,83,56,13,12,14,10,4,5,4,9,0,7,3,7
障害種別,聴覚・平衡機能障害,204,97,84,17,10,17,21,9,6,7,19,5,25,1,2
障害種別,音声・言語・そしゃく機能障害,77,31,32,15,2,8,10,4,2,5,7,3,6,2,1
障害種別,肢体不自由（上肢）,224,131,56,32,16,15,13,15,7,9,6,2,10,8,5
障害種別,肢体不自由（下肢）,343,200,100,49,17,20,23,15,7,13,10,9,19,10,5
障害種別,肢体不自由（体幹）,137,69,39,22,11,17,17,7,3,7,8,5,10,2,0
障害種別,肢体不自由（脳原性運動機能障害）,35,14,16,11,4,5,3,3,2,5,3,2,1,1,0
障害種別,内部障害,429,279,164,19,5,11,16,2,7,2,6,6,28,8,5
障害種別,知的障害,387,111,193,45,30,22,38,16,8,13,85,63,19,1,9
障害種別,精神障害,535,360,164,27,7,15,20,5,3,6,30,11,39,12,9
車椅子の必要性,必要とする,158,40,64,46,25,27,20,19,9,19,13,6,6,4,3
車椅子の必要性,必要としない,393,255,101,31,13,13,28,13,10,5,7,7,23,8,5
障害者手帳の有無,持っている,1357,730,488,128,74,76,100,45,34,45,100,66,92,27,16
障害者手帳の有無,持っていない,734,403,274,46,17,31,51,16,14,9,50,20,45,8,24
障害種別,身体障害者手帳　1級,273,164,98,31,7,8,10,7,5,9,9,3,20,7,5
障害種別,身体障害者手帳　2級,151,67,50,17,11,11,19,7,8,5,7,5,11,2,3
障害種別,身体障害者手帳　3級,136,80,49,12,12,13,10,5,1,5,3,1,9,4,3
障害種別,身体障害者手帳　4級,158,91,49,19,10,14,13,8,4,9,7,6,12,3,0
障害種別,身体障害者手帳　5級,64,36,22,2,1,6,9,2,2,1,0,1,3,0,0
障害種別,身体障害者手帳　6級,59,31,16,2,2,1,6,3,2,0,4,1,9,0,0
障害種別,療育手帳（愛の手帳）1度（最重度）,15,2,5,3,1,3,0,0,3,1,4,2,0,0,0
障害種別,療育手帳（愛の手帳）2度（重度）,67,5,40,23,4,1,7,4,1,4,17,18,1,0,1
障害種別,療育手帳（愛の手帳）3度（中度）,61,12,37,6,12,6,6,7,3,7,19,17,1,0,0
障害種別,療育手帳（愛の手帳）4度（軽度）,121,42,61,8,9,10,17,4,4,4,28,19,8,1,1
障害種別,精神障害者保健福祉手帳　1級,15,5,5,4,2,2,0,0,1,0,0,0,0,1,0
障害種別,精神障害者保健福祉手帳　2級,129,94,37,8,2,3,2,0,1,0,2,0,13,6,0
障害種別,精神障害者保健福祉手帳　3級,161,119,40,7,4,6,6,1,3,2,6,0,12,4,3
障害種別,障害者手帳は持っていない,734,403,274,46,17,31,51,16,14,9,50,20,45,8,24
障害の程度別,重度,499,239,187,72,25,22,35,18,16,19,34,25,30,10,9
障害の程度別,軽度,858,491,301,56,49,54,65,27,18,26,66,41,62,17,7
障害の程度別,障害者手帳は持っていない,734,403,274,46,17,31,51,16,14,9,50,20,45,8,24
受傷の時期,生まれたとき,603,202,238,57,45,60,66,32,26,23,79,40,36,3,22
受傷の時期,生まれた後,1488,931,524,117,46,47,85,29,22,31,71,46,101,32,18
学校の種別,小学校の普通学校（通常学級のみに在籍）,77,16,45,4,4,4,18,1,2,2,18,0,9,1,1
学校の種別,小学校の普通学校（通級による指導あり）,32,5,15,6,6,10,10,6,8,3,13,7,4,1,0
学校の種別,小学校の普通学校（特別支援学級）,73,13,48,10,7,5,15,5,3,3,21,26,4,0,0
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,34,4,23,6,7,5,4,4,0,3,18,17,2,1,0
学校の種別,中学校の普通学校（通常学級のみに在籍）,32,5,10,3,0,1,3,1,2,0,14,1,2,0,2
学校の種別,中学校の普通学校（通級による指導あり）,14,1,5,2,0,1,1,2,0,0,3,1,0,0,1
学校の種別,中学校の普通学校（特別支援学級）,29,7,14,1,3,1,4,1,2,1,10,5,4,0,0
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,29,1,11,2,2,0,4,1,0,0,11,8,0,0,1
学校の種別,高等学校の普通学校（通常学級のみに在籍）,34,13,12,0,1,1,2,2,1,0,13,2,4,0,1
学校の種別,高等学校の普通学校（通級による指導あり）,8,3,5,1,0,0,2,0,1,0,1,0,0,0,0
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,29,5,16,3,3,2,2,1,1,2,12,8,0,0,0
学校の種別,大学・短期大学,25,12,10,2,2,1,0,0,0,0,1,0,6,0,0
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,10,3,5,0,0,0,0,0,0,0,6,0,0,0,0
学校の種別,職業能力開発校、障害者職業能力開発校等,7,2,4,0,0,0,1,0,0,0,2,0,0,0,0
学校の種別,なし,80,38,36,3,6,3,6,3,2,2,2,0,9,0,2
仕事の有無,仕事をしている,894,600,252,49,40,48,50,20,19,20,19,6,72,9,14
仕事の有無,仕事をしていない,1077,482,464,107,39,47,94,33,25,27,128,79,62,26,25
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,120,51,46,18,12,12,7,8,4,7,3,1,3,0,1
平日・日中の居場所,自分の家,1098,664,385,91,36,40,54,19,14,22,17,18,61,31,28
平日・日中の居場所,職場（一般企業など）,506,358,147,16,17,29,21,13,13,11,4,2,43,2,5
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,74,28,32,10,9,8,6,7,2,6,1,1,3,0,0
平日・日中の居場所,学校,282,51,144,25,19,17,55,14,12,9,124,62,27,2,3
平日・日中の居場所,通所施設（生活介護、デイケアなど）,85,17,38,19,7,12,12,8,6,5,4,3,2,0,1
平日・日中の居場所,入所施設,28,7,9,10,2,1,0,0,1,1,0,0,0,0,2
平日・日中の居場所,その他,18,8,7,3,1,0,3,0,0,0,0,0,1,0,1
放課後の居場所,自分の家,256,62,151,23,14,14,42,6,7,7,83,37,23,2,5
放課後の居場所,習いごと（塾や英会話等の学習系）,65,17,29,5,8,10,19,8,8,3,21,7,8,1,1
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,57,13,24,7,8,8,29,9,6,2,21,13,6,2,1
放課後の居場所,習いごと（音楽や習字等の芸術系）,39,5,14,6,8,12,9,9,10,2,15,5,2,0,0
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,128,9,72,24,11,10,24,12,11,9,61,70,6,1,1
放課後の居場所,学童保育,28,3,10,6,3,10,12,9,4,3,7,8,1,0,0
放課後の居場所,広場や公園,34,8,20,5,4,9,17,7,7,6,24,7,7,1,0
