調査項目,回答,　全体(人),7-17歳(人),18-19歳(人),20-29歳(人),30-39歳(人),40-49歳(人),50-59歳(人),60-69歳(人),70-120歳(人),18歳以上(人)
障害者の年齢,,3226,507,33,273,336,377,588,454,658,2719
障害者の性別,男性,1698,298,13,115,158,215,365,269,265,1400
障害者の性別,女性,1404,186,18,141,164,146,205,171,373,1218
障害者の性別,無回答・その他,124,23,2,17,14,16,18,14,20,101
障害種別,視覚障害,186,38,1,23,23,28,48,36,50,148
障害種別,聴覚・平衡機能障害,222,44,3,21,31,26,47,38,90,178
障害種別,音声・言語・そしゃく機能障害,42,19,0,14,11,12,19,13,47,23
障害種別,肢体不自由（上肢）,289,19,2,22,27,42,87,81,107,270
障害種別,肢体不自由（下肢）,373,34,1,19,32,50,141,143,264,339
障害種別,肢体不自由（体幹）,294,25,2,22,21,32,63,35,108,269
障害種別,肢体不自由（脳原性運動機能障害）,16,7,0,9,7,11,15,11,22,9
障害種別,内部障害,613,27,3,30,35,74,138,146,166,586
障害種別,知的障害,498,258,11,101,70,39,31,13,29,240
障害種別,精神障害,693,115,13,97,149,159,189,67,35,578
車椅子の必要性,必要とする,396,43,1,24,29,23,55,62,159,353
車椅子の必要性,必要としない,637,17,3,18,32,66,144,140,217,620
障害者手帳の有無,持っている,2103,296,23,190,214,254,410,327,389,1807
障害者手帳の有無,持っていない,1123,211,10,83,122,123,178,127,269,912
障害種別,身体障害者手帳　1級,461,30,2,30,30,38,94,105,132,431
障害種別,身体障害者手帳　2級,248,30,1,19,14,28,47,54,55,218
障害種別,身体障害者手帳　3級,225,13,2,17,17,30,48,30,68,212
障害種別,身体障害者手帳　4級,224,11,1,10,14,15,47,49,77,213
障害種別,身体障害者手帳　5級,92,5,0,4,7,8,19,27,22,87
障害種別,身体障害者手帳　6級,85,12,2,7,4,7,20,16,17,73
障害種別,療育手帳（愛の手帳）1度（最重度）,24,8,0,5,5,4,2,0,0,16
障害種別,療育手帳（愛の手帳）2度（重度）,96,47,3,13,18,9,5,0,1,49
障害種別,療育手帳（愛の手帳）3度（中度）,79,41,2,15,11,4,2,3,1,38
障害種別,療育手帳（愛の手帳）4度（軽度）,170,86,5,35,18,7,10,3,6,84
障害種別,精神障害者保健福祉手帳　1級,23,1,0,5,5,3,2,2,5,22
障害種別,精神障害者保健福祉手帳　2級,216,10,2,22,41,53,58,26,4,206
障害種別,精神障害者保健福祉手帳　3級,242,19,4,25,42,58,69,20,5,223
障害種別,障害者手帳は持っていない,1123,211,10,83,122,123,178,127,269,912
受傷の時期,生まれたとき,852,264,21,155,141,95,88,51,37,588
受傷の時期,生まれた後,2374,243,12,118,195,282,500,403,621,2131
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,85,0,4,0,0,0,0,0,4
学校の種別,小学校の普通学校（通級による指導あり）,38,36,1,1,0,0,0,0,0,2
学校の種別,小学校の普通学校（特別支援学級）,86,82,0,4,0,0,0,0,0,4
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,48,0,0,0,0,0,0,0,0
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,41,1,2,0,0,0,0,0,3
学校の種別,中学校の普通学校（通級による指導あり）,16,16,0,0,0,0,0,0,0,0
学校の種別,中学校の普通学校（特別支援学級）,39,35,0,4,0,0,0,0,0,4
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,39,0,1,0,0,0,0,0,1
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,44,3,3,0,0,0,0,0,6
学校の種別,高等学校の普通学校（通級による指導あり）,12,11,1,0,0,0,0,0,0,1
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,35,4,3,0,0,0,0,0,7
学校の種別,大学・短期大学,37,0,8,29,0,0,0,0,0,37
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,10,2,2,0,0,0,0,0,4
学校の種別,職業能力開発校、障害者職業能力開発校等,7,5,2,0,0,0,0,0,0,2
学校の種別,なし,136,20,11,105,0,0,0,0,0,116
仕事の有無,仕事をしている,1227,36,15,154,196,221,343,199,63,1191
仕事の有無,仕事をしていない,1821,463,14,73,95,121,222,245,588,1358
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,8,4,46,45,35,23,10,7,170
平日・日中の居場所,自分の家,1843,149,10,117,155,186,348,325,553,1694
平日・日中の居場所,職場（一般企業など）,677,11,5,83,125,142,201,94,16,666
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,2,3,31,27,22,10,4,3,100
平日・日中の居場所,学校,362,337,12,13,0,0,0,0,0,25
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,6,2,19,19,15,12,16,46,129
平日・日中の居場所,入所施設,69,2,1,4,7,8,11,9,27,67
平日・日中の居場所,その他,38,0,0,6,3,4,6,6,13,38
放課後の居場所,自分の家,345,327,5,13,0,0,0,0,0,18
放課後の居場所,習いごと（塾や英会話等の学習系）,75,72,2,1,0,0,0,0,0,3
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,55,2,2,0,0,0,0,0,4
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,34,0,7,0,0,0,0,0,7
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,152,3,1,0,0,0,0,0,4
放課後の居場所,学童保育,34,31,1,2,0,0,0,0,0,3
放課後の居場所,広場や公園,35,34,0,1,0,0,0,0,0,1
放課後の居場所,学校（校庭や体育館）,35,34,0,1,0,0,0,0,0,1
放課後の居場所,児童館や図書館などの公共施設,16,15,0,1,0,0,0,0,0,1
放課後の居場所,その他,8,6,1,1,0,0,0,0,0,2
障害福祉サービスの利用状況,利用していない,2117,272,19,171,222,260,467,352,354,1845
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,21,0,15,22,15,30,27,92,201
障害福祉サービスの利用状況,重度訪問介護,29,4,0,1,9,5,2,3,5,25
障害福祉サービスの利用状況,同行援護,70,17,0,4,4,9,9,5,22,53
障害福祉サービスの利用状況,行動援護,81,17,1,12,11,6,9,4,21,64
障害福祉サービスの利用状況,重度障害者等包括支援,29,5,1,2,4,7,3,2,5,24
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,30,1,14,11,3,9,11,62,111
障害福祉サービスの利用状況,療養介護,34,6,1,1,1,5,4,3,13,28
障害福祉サービスの利用状況,生活介護,85,5,1,9,7,7,13,11,32,80
障害福祉サービスの利用状況,施設入所支援,43,3,0,4,1,6,6,5,18,40
障害福祉サービスの利用状況,自立訓練,65,4,0,6,11,4,10,6,24,61
障害福祉サービスの利用状況,就労移行支援,42,3,0,15,7,9,6,0,2,39
障害福祉サービスの利用状況,就労継続支援（A型）,23,5,0,4,8,4,0,1,1,18
障害福祉サービスの利用状況,就労継続支援（B型）,89,1,3,23,24,18,12,8,0,88
障害福祉サービスの利用状況,就労定着支援,19,0,0,6,6,5,2,0,0,19
障害福祉サービスの利用状況,自立生活援助,45,5,0,9,8,2,6,9,6,40
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,2,0,4,10,3,4,2,8,31
障害福祉サービスの利用状況,計画相談支援,51,14,3,7,9,6,6,2,4,37
障害福祉サービスの利用状況,地域相談支援,57,12,1,7,8,3,7,4,15,45
障害福祉サービスの利用状況,移動支援,76,16,0,11,13,7,10,8,11,60
障害福祉サービスの利用状況,地域活動支援センター,81,12,0,8,12,12,9,7,21,69
障害福祉サービスの利用状況,福祉ホーム,25,5,1,1,4,3,2,4,5,20
障害福祉サービスの利用状況,児童発達支援,55,47,0,4,2,1,0,0,1,8
障害福祉サービスの利用状況,医療型児童発達支援,11,8,1,0,2,0,0,0,0,3
障害福祉サービスの利用状況,放課後等デイサービス,208,143,3,5,2,0,4,7,44,65
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,7,0,0,0,0,0,0,1,1
障害福祉サービスの利用状況,保育所等訪問支援,5,5,0,0,0,0,0,0,0,0
障害福祉サービスの利用状況,訪問看護,179,11,3,7,13,19,25,20,81,168
障害福祉サービスの利用状況,訪問リハビリテーション,165,11,0,4,9,18,26,23,74,154
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,216,19,134,175,220,320,233,278,1379
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,114,3,42,57,67,97,70,81,417
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,49,0,31,43,36,43,41,42,236
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,78,3,15,23,18,19,11,3,92
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,137,3,20,32,36,27,19,19,156
過去1年間の実施種目,ブラインドサッカー,24,12,0,2,5,4,1,0,0,12
過去1年間の実施種目,車いすテニス,15,7,0,2,2,1,1,0,2,8
過去1年間の実施種目,サウンドテーブルテニス,26,10,1,2,8,1,2,2,0,16
過去1年間の実施種目,パラバレーボール,26,11,0,4,5,3,0,2,1,15
過去1年間の実施種目,車いすバスケットボール,19,9,0,0,7,2,1,0,0,10
過去1年間の実施種目,車いすラグビー,13,5,0,1,2,1,0,2,2,8
過去1年間の実施種目,ボッチャ,50,30,1,8,2,4,2,2,1,20
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,73,0,11,12,11,6,6,5,51
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,50,6,9,12,2,6,4,5,44
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,8,0,2,4,3,1,1,0,11
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,14,1,1,3,3,1,1,0,10
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,6,0,1,5,0,1,1,1,9
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,18,2,3,7,8,6,2,1,29
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,12,0,4,5,8,5,2,2,26
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,3,0,2,5,0,1,0,2,10
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,38,1,8,16,13,20,4,5,67
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,27,1,6,14,16,25,21,4,87
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,114,0,7,5,6,0,1,1,20
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,30,0,17,14,7,6,1,4,49
過去1年間の実施種目,その他,53,8,1,6,6,6,5,12,9,45
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,128,9,84,98,102,216,167,331,1007
実施頻度（1年間）,週3日以上（年151日以上）,604,83,6,56,50,76,129,103,101,521
実施頻度（1年間）,週2日程度（年101日～150日）,429,105,0,26,57,43,72,49,77,324
実施頻度（1年間）,週1日程度（年51日～100日）,506,93,8,51,66,65,74,60,89,413
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,47,7,32,34,43,48,41,28,233
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,13,1,8,7,20,13,8,5,62
実施頻度（1年間）,年に1～3日程度,52,7,0,7,7,6,9,7,9,45
実施頻度（1年間）,わからない,145,31,2,9,17,22,27,19,18,114
実施した場所,自宅,829,126,5,71,89,109,159,113,157,703
実施した場所,道路や遊歩道,1083,108,11,84,121,148,229,168,214,975
実施した場所,広場や公園,633,135,7,51,73,82,101,88,96,498
実施した場所,民間のスポーツ施設,314,88,4,29,51,38,47,33,24,226
実施した場所,公共のスポーツ施設（障害者専用施設）,130,50,0,13,16,20,11,9,11,80
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,69,2,26,43,26,26,22,27,172
実施した場所,小中高校の体育施設,128,94,2,8,5,5,3,3,8,34
実施した場所,特別支援学校の体育施設,85,64,2,4,7,5,2,0,1,21
実施した場所,職場のスポーツ施設,35,9,0,5,6,4,5,5,1,26
実施した場所,福祉施設,64,10,0,7,10,6,9,2,20,54
