調査項目,回答,全体(人),現地の会場で対面での参加(人),リモート参加(人),ハイブリッド（現地参加とリモート参加の両方から選択できる）(人),参加したいと思わない(人)
スポーツ・運動の参加方法,,3226,1083,134,241,1768
障害者の年齢,7-17歳,507,315,18,46,128
障害者の年齢,18-19歳,33,17,1,3,12
障害者の年齢,20-29歳,273,104,20,25,124
障害者の年齢,30-39歳,336,127,21,27,161
障害者の年齢,40-49歳,377,108,15,35,219
障害者の年齢,50-59歳,588,165,16,41,366
障害者の年齢,60-69歳,454,105,19,32,298
障害者の年齢,70-120歳,658,142,24,32,460
障害者の性別,男性,1698,618,52,116,912
障害者の性別,女性,1404,434,77,116,777
障害者の性別,無回答・その他,124,31,5,9,79
障害種別,視覚障害,247,74,15,20,138
障害種別,聴覚・平衡機能障害,300,102,13,29,156
障害種別,音声・言語・そしゃく機能障害,135,39,6,17,73
障害種別,肢体不自由（上肢）,387,95,19,34,239
障害種別,肢体不自由（下肢）,684,188,31,46,419
障害種別,肢体不自由（体幹）,308,75,17,26,190
障害種別,肢体不自由（脳原性運動機能障害）,82,19,4,6,53
障害種別,内部障害,619,183,23,41,372
障害種別,知的障害,552,298,14,36,204
障害種別,精神障害,824,241,33,53,497
車椅子の必要性,必要とする,396,102,30,30,234
車椅子の必要性,必要としない,637,177,22,52,386
障害者手帳の有無,持っている,2103,735,95,163,1110
障害者手帳の有無,持っていない,1123,348,39,78,658
障害種別,身体障害者手帳　1級,461,136,18,35,272
障害種別,身体障害者手帳　2級,248,76,18,21,133
障害種別,身体障害者手帳　3級,225,73,11,22,119
障害種別,身体障害者手帳　4級,224,82,12,19,111
障害種別,身体障害者手帳　5級,92,29,5,9,49
障害種別,身体障害者手帳　6級,85,33,7,8,37
障害種別,療育手帳（愛の手帳）1度（最重度）,24,11,2,2,9
障害種別,療育手帳（愛の手帳）2度（重度）,96,53,1,8,34
障害種別,療育手帳（愛の手帳）3度（中度）,79,52,2,3,22
障害種別,療育手帳（愛の手帳）4度（軽度）,170,105,4,8,53
障害種別,精神障害者保健福祉手帳　1級,23,7,3,2,11
障害種別,精神障害者保健福祉手帳　2級,216,51,9,17,139
障害種別,精神障害者保健福祉手帳　3級,242,67,9,17,149
障害種別,障害者手帳は持っていない,1123,348,39,78,658
障害の程度別,重度,810,267,39,64,440
障害の程度別,軽度,1293,468,56,99,670
障害の程度別,障害者手帳は持っていない,1123,348,39,78,658
障害が発生した年齢２,出生時,852,365,60,75,352
障害が発生した年齢２,１０歳未満,340,184,6,28,122
障害が発生した年齢２,１０歳～１９歳,226,62,9,29,126
障害が発生した年齢２,２０歳以上,1808,472,59,109,1168
障害が発生した年齢２,中途障害,2374,718,74,166,1416
受傷の時期,生まれたとき,852,365,60,75,352
受傷の時期,生まれた後,2374,718,74,166,1416
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,62,3,7,17
学校の種別,小学校の普通学校（通級による指導あり）,38,30,0,3,5
学校の種別,小学校の普通学校（特別支援学級）,86,55,10,12,9
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,32,2,6,8
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,23,1,3,17
学校の種別,中学校の普通学校（通級による指導あり）,16,11,0,2,3
学校の種別,中学校の普通学校（特別支援学級）,39,22,2,5,10
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,26,2,2,10
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,28,2,3,17
学校の種別,高等学校の普通学校（通級による指導あり）,12,6,0,2,4
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,25,0,5,12
学校の種別,大学・短期大学,37,12,6,3,16
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,7,0,1,6
学校の種別,職業能力開発校、障害者職業能力開発校等,7,6,0,0,1
学校の種別,なし,136,51,0,8,77
仕事の有無,仕事をしている,1227,426,55,106,640
仕事の有無,仕事をしていない,1821,586,74,120,1041
