調査項目,回答,全体(人),授業の内容のとおりに身体を動かすことができないから(人),自分にはできないと思ったから(人),他の生徒や先生に迷惑をかけると思ったから(人),参加するために必要なスポーツ用具がなかったから(人),医師から止められていたから(人),学校の先生から見学するように言われたから(人),身体を動かすことが怖いから(人),その他(人)
学校体育に参加しない理由,,42,9,12,6,1,1,3,5,12
障害者の年齢,7-17歳,41,9,12,5,1,1,3,5,12
障害者の年齢,18-19歳,1,0,0,1,0,0,0,0,0
障害者の年齢,20-29歳,0,0,0,0,0,0,0,0,0
障害者の年齢,30-39歳,0,0,0,0,0,0,0,0,0
障害者の年齢,40-49歳,0,0,0,0,0,0,0,0,0
障害者の年齢,50-59歳,0,0,0,0,0,0,0,0,0
障害者の年齢,60-69歳,0,0,0,0,0,0,0,0,0
障害者の年齢,70-120歳,0,0,0,0,0,0,0,0,0
障害者の性別,男性,23,5,7,3,1,1,2,3,7
障害者の性別,女性,14,1,3,2,0,0,1,2,5
障害者の性別,無回答・その他,5,3,2,1,0,0,0,0,0
障害種別,視覚障害,4,0,1,1,0,0,0,2,0
障害種別,聴覚・平衡機能障害,2,0,0,1,0,0,1,0,0
障害種別,音声・言語・そしゃく機能障害,1,1,0,1,0,0,1,0,0
障害種別,肢体不自由（上肢）,2,2,0,0,0,0,0,0,0
障害種別,肢体不自由（下肢）,3,2,0,0,0,0,0,0,1
障害種別,肢体不自由（体幹）,3,2,0,1,0,0,0,0,0
障害種別,肢体不自由（脳原性運動機能障害）,1,1,0,0,0,0,0,0,0
障害種別,内部障害,4,0,2,0,0,1,1,0,1
障害種別,知的障害,11,3,5,2,1,0,0,1,2
障害種別,精神障害,17,3,4,0,0,0,0,2,9
車椅子の必要性,必要とする,2,2,0,0,0,0,0,0,0
車椅子の必要性,必要としない,2,0,0,1,0,0,0,0,1
障害者手帳の有無,持っている,19,4,6,4,1,0,1,2,3
障害者手帳の有無,持っていない,23,5,6,2,0,1,2,3,9
障害種別,身体障害者手帳　1級,3,2,0,0,0,0,0,1,0
障害種別,身体障害者手帳　2級,3,0,2,1,0,0,0,0,0
障害種別,身体障害者手帳　3級,2,0,1,1,0,0,0,0,0
障害種別,身体障害者手帳　4級,2,0,0,1,0,0,1,0,0
障害種別,身体障害者手帳　5級,2,1,1,0,0,0,0,0,1
障害種別,身体障害者手帳　6級,0,0,0,0,0,0,0,0,0
障害種別,療育手帳（愛の手帳）1度（最重度）,0,0,0,0,0,0,0,0,0
障害種別,療育手帳（愛の手帳）2度（重度）,1,0,1,0,0,0,0,0,0
障害種別,療育手帳（愛の手帳）3度（中度）,2,1,0,0,1,0,0,1,0
障害種別,療育手帳（愛の手帳）4度（軽度）,3,0,1,0,0,0,0,0,2
障害種別,精神障害者保健福祉手帳　1級,0,0,0,0,0,0,0,0,0
障害種別,精神障害者保健福祉手帳　2級,0,0,0,0,0,0,0,0,0
障害種別,精神障害者保健福祉手帳　3級,1,0,0,1,0,0,0,0,0
障害種別,障害者手帳は持っていない,23,5,6,2,0,1,2,3,9
受傷の時期,生まれたとき,22,7,6,4,1,0,1,5,1
受傷の時期,生まれた後,20,2,6,2,0,1,2,0,11
学校の種別,小学校の普通学校（通常学級のみに在籍）,8,1,3,0,0,0,0,2,2
学校の種別,小学校の普通学校（通級による指導あり）,5,1,1,2,0,0,1,0,3
学校の種別,小学校の普通学校（特別支援学級）,8,3,2,2,0,0,0,2,1
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,4,0,2,0,0,0,1,0,1
学校の種別,中学校の普通学校（通常学級のみに在籍）,7,1,2,0,0,1,1,1,2
学校の種別,中学校の普通学校（通級による指導あり）,3,0,0,2,0,0,0,0,1
学校の種別,中学校の普通学校（特別支援学級）,3,1,1,0,1,0,0,0,1
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,1,1,0,0,0,0,0,0,0
学校の種別,高等学校の普通学校（通常学級のみに在籍）,2,1,1,0,0,0,0,0,0
学校の種別,高等学校の普通学校（通級による指導あり）,1,0,0,0,0,0,0,0,1
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,0,0,0,0,0,0,0,0,0
学校の種別,大学・短期大学,0,0,0,0,0,0,0,0,0
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,0,0,0,0,0,0,0,0,0
学校の種別,職業能力開発校、障害者職業能力開発校等,0,0,0,0,0,0,0,0,0
学校の種別,なし,0,0,0,0,0,0,0,0,0
仕事の有無,仕事をしている,1,0,1,0,0,0,0,0,0
仕事の有無,仕事をしていない,39,9,11,5,1,1,2,5,12
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,2,0,0,1,0,0,1,0,0
平日・日中の居場所,自分の家,23,3,9,1,0,0,0,2,10
平日・日中の居場所,職場（一般企業など）,0,0,0,0,0,0,0,0,0
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,0,0,0,0,0,0,0,0,0
平日・日中の居場所,学校,18,6,3,4,1,1,3,3,2
