調査項目,回答,全体(人),指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）をやったことがある(人),指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）をやったことがない(人),「やったことがない」のうち、やりたい(人),「やったことがない」のうち、やりたいと思わない(人)
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験及び興味関心,,3226,257,2969,841,2128
障害者の年齢,7-17歳,507,72,435,196,239
障害者の年齢,18-19歳,33,6,27,17,10
障害者の年齢,20-29歳,273,46,227,86,141
障害者の年齢,30-39歳,336,37,299,119,180
障害者の年齢,40-49歳,377,37,340,111,229
障害者の年齢,50-59歳,588,33,555,132,423
障害者の年齢,60-69歳,454,18,436,90,346
障害者の年齢,70-120歳,658,8,650,90,560
障害者の性別,男性,1698,124,1574,467,1107
障害者の性別,女性,1404,121,1283,342,941
障害者の性別,無回答・その他,124,12,112,32,80
障害種別,視覚障害,247,26,221,67,154
障害種別,聴覚・平衡機能障害,300,29,271,79,192
障害種別,音声・言語・そしゃく機能障害,135,9,126,35,91
障害種別,肢体不自由（上肢）,387,25,362,102,260
障害種別,肢体不自由（下肢）,684,34,650,154,496
障害種別,肢体不自由（体幹）,308,24,284,77,207
障害種別,肢体不自由（脳原性運動機能障害）,82,11,71,19,52
障害種別,内部障害,619,39,580,138,442
障害種別,知的障害,552,58,494,177,317
障害種別,精神障害,824,75,749,210,539
車椅子の必要性,必要とする,396,31,365,114,251
車椅子の必要性,必要としない,637,34,603,138,465
障害者手帳の有無,持っている,2103,167,1936,577,1359
障害者手帳の有無,持っていない,1123,90,1033,264,769
障害種別,身体障害者手帳　1級,461,24,437,113,324
障害種別,身体障害者手帳　2級,248,19,229,77,152
障害種別,身体障害者手帳　3級,225,20,205,65,140
障害種別,身体障害者手帳　4級,224,14,210,64,146
障害種別,身体障害者手帳　5級,92,4,88,28,60
障害種別,身体障害者手帳　6級,85,5,80,22,58
障害種別,療育手帳（愛の手帳）1度（最重度）,24,2,22,7,15
障害種別,療育手帳（愛の手帳）2度（重度）,96,9,87,23,64
障害種別,療育手帳（愛の手帳）3度（中度）,79,6,73,31,42
障害種別,療育手帳（愛の手帳）4度（軽度）,170,28,142,60,82
障害種別,精神障害者保健福祉手帳　1級,23,1,22,7,15
障害種別,精神障害者保健福祉手帳　2級,216,17,199,52,147
障害種別,精神障害者保健福祉手帳　3級,242,32,210,51,159
障害種別,障害者手帳は持っていない,1123,90,1033,264,769
障害の程度別,重度,810,49,761,217,544
障害の程度別,軽度,1293,118,1175,360,815
障害の程度別,障害者手帳は持っていない,1123,90,1033,264,769
受傷の時期,生まれたとき,852,100,752,285,467
受傷の時期,生まれた後,2374,157,2217,556,1661
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,15,74,35,39
学校の種別,小学校の普通学校（通級による指導あり）,38,5,33,21,12
学校の種別,小学校の普通学校（特別支援学級）,86,16,70,34,36
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,3,45,22,23
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,7,37,11,26
学校の種別,中学校の普通学校（通級による指導あり）,16,3,13,7,6
学校の種別,中学校の普通学校（特別支援学級）,39,4,35,18,17
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,3,37,12,25
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,10,40,21,19
学校の種別,高等学校の普通学校（通級による指導あり）,12,3,9,7,2
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,7,35,14,21
学校の種別,大学・短期大学,37,8,29,9,20
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,5,9,4,5
学校の種別,職業能力開発校、障害者職業能力開発校等,7,0,7,5,2
学校の種別,なし,136,16,120,37,83
仕事の有無,仕事をしている,1227,110,1117,362,755
仕事の有無,仕事をしていない,1821,131,1690,435,1255
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,16,162,44,118
平日・日中の居場所,自分の家,1843,113,1730,418,1312
