調査項目,回答,全体(人),競技観戦(人),記録の更新(人),日本人選手の活躍(人),外国人選手の活躍(人),国際交流の促進(人),大会記念グッズの展開(人),日本東京の観光、伝統文化や食などの海外発信(人),競技体験(人),大会への子供の参加(人),デジタル技術を活用したコミュニケーション(人),手話の普及と理解の促進(人),デフスポーツの普及と理解の促進(人),障害や障害者への理解の促進(人),その他(人),期待するものはない(人)
デフリンピックに期待すること,,3226,393,195,724,183,291,91,190,104,160,155,187,323,593,13,1686
障害者の年齢,7-17歳,507,91,38,125,31,53,22,39,33,58,33,30,60,102,2,191
障害者の年齢,18-19歳,33,4,0,6,3,3,0,2,0,1,1,2,4,10,0,11
障害者の年齢,20-29歳,273,41,14,65,12,25,10,19,9,14,10,19,26,53,0,125
障害者の年齢,30-39歳,336,51,26,70,23,31,17,24,17,24,27,22,37,62,0,174
障害者の年齢,40-49歳,377,44,28,85,25,33,8,28,16,16,19,27,38,77,1,191
障害者の年齢,50-59歳,588,54,34,122,35,52,18,29,11,17,25,37,64,112,4,334
障害者の年齢,60-69歳,454,49,24,114,26,53,8,32,10,11,23,31,51,94,1,246
障害者の年齢,70-120歳,658,59,31,137,28,41,8,17,8,19,17,19,43,83,5,414
障害者の性別,男性,1698,211,109,392,93,157,40,92,61,89,81,95,174,350,6,855
障害者の性別,女性,1404,168,80,313,86,122,48,93,41,68,69,89,143,234,5,757
障害者の性別,無回答・その他,124,14,6,19,4,12,3,5,2,3,5,3,6,9,2,74
障害種別,視覚障害,247,34,22,50,13,30,11,13,6,13,11,9,22,28,1,127
障害種別,聴覚・平衡機能障害,300,63,22,77,20,48,14,22,13,23,30,36,46,49,2,132
障害種別,音声・言語・そしゃく機能障害,135,16,6,30,5,14,6,6,4,5,2,6,9,22,1,73
障害種別,肢体不自由（上肢）,387,48,16,84,19,36,12,23,12,16,19,17,32,81,2,200
障害種別,肢体不自由（下肢）,684,67,35,149,33,56,17,38,13,28,31,33,64,134,8,389
障害種別,肢体不自由（体幹）,308,31,20,61,14,28,8,22,10,13,19,16,37,63,2,166
障害種別,肢体不自由（脳原性運動機能障害）,82,10,8,17,5,11,1,7,4,6,8,3,10,22,1,44
障害種別,内部障害,619,58,35,148,42,62,10,36,22,33,27,33,53,112,1,339
障害種別,知的障害,552,81,23,115,25,42,10,26,27,34,13,21,56,138,2,255
障害種別,精神障害,824,71,48,165,51,62,23,54,28,38,40,54,80,150,0,481
車椅子の必要性,必要とする,396,63,34,85,21,36,22,30,14,23,26,18,38,80,3,196
車椅子の必要性,必要としない,637,55,26,144,31,50,8,34,12,18,30,35,62,112,6,360
障害者手帳の有無,持っている,2103,259,132,477,125,188,63,126,72,107,102,132,221,455,7,1057
障害者手帳の有無,持っていない,1123,134,63,247,58,103,28,64,32,53,53,55,102,138,6,629
障害種別,身体障害者手帳　1級,461,64,33,110,29,37,10,27,14,22,20,23,38,97,2,243
障害種別,身体障害者手帳　2級,248,27,17,58,12,24,12,14,9,15,16,15,26,47,0,115
障害種別,身体障害者手帳　3級,225,32,20,59,15,24,7,15,8,12,10,14,22,35,0,113
障害種別,身体障害者手帳　4級,224,23,11,58,14,27,6,16,8,11,16,18,26,52,4,106
障害種別,身体障害者手帳　5級,92,9,6,27,8,11,4,4,3,5,5,6,9,19,0,42
障害種別,身体障害者手帳　6級,85,10,1,20,6,6,3,4,3,3,1,4,7,12,0,47
障害種別,療育手帳（愛の手帳）1度（最重度）,24,2,1,1,1,2,0,1,0,0,0,0,2,8,0,10
障害種別,療育手帳（愛の手帳）2度（重度）,96,14,8,17,2,4,0,5,4,4,3,4,11,30,0,42
障害種別,療育手帳（愛の手帳）3度（中度）,79,16,3,12,3,6,2,5,6,11,8,4,12,23,1,32
障害種別,療育手帳（愛の手帳）4度（軽度）,170,29,6,47,11,14,8,9,8,8,3,11,20,46,0,72
障害種別,精神障害者保健福祉手帳　1級,23,1,1,3,2,2,1,1,2,0,3,1,3,2,0,14
障害種別,精神障害者保健福祉手帳　2級,216,17,14,41,15,16,6,15,7,11,12,21,21,56,0,117
障害種別,精神障害者保健福祉手帳　3級,242,27,22,50,15,22,11,21,10,8,15,21,36,51,0,135
障害種別,障害者手帳は持っていない,1123,134,63,247,58,103,28,64,32,53,53,55,102,138,6,629
障害の程度別,重度,810,102,55,178,42,65,22,41,25,41,38,39,75,172,2,405
障害の程度別,軽度,1293,157,77,299,83,123,41,85,47,66,64,93,146,283,5,652
障害の程度別,障害者手帳は持っていない,1123,134,63,247,58,103,28,64,32,53,53,55,102,138,6,629
受傷の時期,生まれたとき,852,129,64,186,51,71,33,58,38,57,44,51,84,136,2,380
受傷の時期,生まれた後,2374,264,131,538,132,220,58,132,66,103,111,136,239,457,11,1306
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,18,9,16,4,11,1,5,4,8,4,4,9,6,0,37
学校の種別,小学校の普通学校（通級による指導あり）,38,7,5,12,4,5,9,9,5,11,9,6,1,5,0,10
学校の種別,小学校の普通学校（特別支援学級）,86,13,3,19,3,6,2,4,7,15,7,4,11,28,1,26
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,11,4,9,4,5,2,6,5,8,2,3,9,11,1,15
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,6,2,11,2,7,2,1,1,5,1,3,4,4,0,19
学校の種別,中学校の普通学校（通級による指導あり）,16,3,1,3,1,1,1,1,0,0,1,1,1,1,0,6
学校の種別,中学校の普通学校（特別支援学級）,39,15,3,16,3,7,3,6,7,4,2,2,6,11,0,14
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,6,3,9,3,3,0,0,3,1,1,2,7,9,0,14
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,10,4,20,7,6,1,6,1,1,4,4,4,5,0,20
学校の種別,高等学校の普通学校（通級による指導あり）,12,4,3,5,1,2,1,1,0,0,0,0,2,0,0,4
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,6,3,9,1,3,2,3,2,2,2,3,6,19,0,13
学校の種別,大学・短期大学,37,8,2,11,6,6,0,0,1,1,2,4,6,8,0,13
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,0,1,3,0,0,0,0,0,1,2,1,0,4,0,7
学校の種別,職業能力開発校、障害者職業能力開発校等,7,1,0,2,1,0,0,0,0,1,0,0,1,3,0,2
学校の種別,なし,136,8,4,26,4,8,3,7,3,10,5,4,11,26,0,76
仕事の有無,仕事をしている,1227,179,94,308,82,137,53,90,48,63,79,91,151,236,5,602
仕事の有無,仕事をしていない,1821,198,93,385,92,143,30,83,50,88,68,84,155,316,8,993
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,16,8,31,9,11,8,17,6,9,8,12,17,41,0,91
平日・日中の居場所,自分の家,1843,173,96,382,89,151,33,87,42,71,64,86,151,305,8,1064
平日・日中の居場所,職場（一般企業など）,677,104,56,179,50,75,29,51,32,31,46,55,89,133,3,327
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,9,4,19,4,3,6,10,2,7,5,9,9,26,0,48
平日・日中の居場所,学校,362,76,26,98,28,38,15,26,25,43,26,22,48,82,2,126
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,19,7,26,9,15,6,11,2,4,9,9,14,26,0,58
平日・日中の居場所,入所施設,69,10,4,10,2,6,2,4,1,2,3,3,8,16,0,39
平日・日中の居場所,その他,38,2,2,10,1,3,0,1,0,2,2,3,4,5,0,24
放課後の居場所,自分の家,345,67,29,86,27,41,10,30,23,33,22,24,39,71,1,134
放課後の居場所,習いごと（塾や英会話等の学習系）,75,20,9,23,10,11,13,13,7,13,12,9,9,4,0,22
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,9,2,22,5,10,7,8,6,16,9,11,6,8,1,15
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,11,6,13,3,9,11,8,6,11,8,6,6,3,0,8
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,25,15,45,10,15,9,18,15,24,12,12,21,47,2,48
放課後の居場所,学童保育,34,6,5,9,3,5,7,6,3,7,5,5,3,5,0,8
放課後の居場所,広場や公園,35,9,5,8,5,10,10,11,6,11,10,9,9,10,0,8
放課後の居場所,学校（校庭や体育館）,35,11,3,17,5,10,4,3,5,8,6,4,5,7,0,6
放課後の居場所,児童館や図書館などの公共施設,16,5,2,7,1,2,2,3,4,4,4,2,4,5,0,5
放課後の居場所,その他,8,1,0,4,2,2,0,1,1,0,2,2,2,4,0,2
障害福祉サービスの利用状況,利用していない,2117,241,108,464,120,185,32,98,55,84,95,120,210,357,7,1195
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,35,24,55,12,21,9,19,9,17,14,15,27,47,0,98
障害福祉サービスの利用状況,重度訪問介護,29,8,5,9,2,1,2,5,1,0,2,0,2,5,0,13
障害福祉サービスの利用状況,同行援護,70,17,11,17,3,9,7,6,5,5,6,2,8,13,0,27
障害福祉サービスの利用状況,行動援護,81,19,6,24,5,10,9,9,4,5,5,4,11,20,0,21
障害福祉サービスの利用状況,重度障害者等包括支援,29,7,2,3,4,2,4,6,1,1,2,2,0,3,0,6
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,18,8,33,10,13,6,9,10,10,6,7,12,29,0,64
障害福祉サービスの利用状況,療養介護,34,7,6,13,5,6,5,7,7,3,5,5,9,7,0,9
障害福祉サービスの利用状況,生活介護,85,13,9,20,7,14,6,9,4,5,5,5,11,22,0,39
障害福祉サービスの利用状況,施設入所支援,43,4,1,7,0,1,2,3,2,0,2,2,4,9,0,23
障害福祉サービスの利用状況,自立訓練,65,9,8,18,4,10,3,8,3,4,4,4,7,16,1,22
障害福祉サービスの利用状況,就労移行支援,42,8,3,11,3,8,4,4,2,4,4,7,10,11,0,16
障害福祉サービスの利用状況,就労継続支援（A型）,23,6,2,8,2,2,5,4,1,2,1,3,3,7,0,7
