調査項目,回答,全体(人),ルールが簡単(人),自分のペースに合わせてできる(人),汗をかかない(人),自宅で実施できる(人),短い時間で実施できる(人),上達したことが分かる(人),ゲーム機を使い体を動かして行なうスポーツ・フィットネス等(人),好きな種目を選べる(人),やったことがないスポーツを試せる(人),予約や申し込みなしに、参加したいときに参加できる(人),有名な選手に会える(人),親子で一緒に参加ができる(人),新しい友達をつくることができる(人),スポーツ以外に芸術・文化的なパフォーマンスも楽しめる(人),失敗しても笑われたり恥ずかしい思いをしない(人),新しい道具やウェアを買わなくてよい(人),その他(人),どのようなスポーツや運動でも参加したいと思わない(人)
参加したいスポーツ活動,,3226,891,1507,151,570,705,362,203,468,138,355,85,149,263,130,365,326,63,909
障害者の年齢,7-17歳,507,239,285,17,56,95,111,52,127,54,72,32,80,89,30,110,52,7,61
障害者の年齢,18-19歳,33,18,20,2,3,7,6,4,10,0,6,1,4,6,1,6,7,0,2
障害者の年齢,20-29歳,273,99,125,17,48,60,36,37,43,10,34,8,18,26,12,41,22,7,49
障害者の年齢,30-39歳,336,107,144,18,62,76,44,33,63,25,49,13,13,33,20,46,35,4,75
障害者の年齢,40-49歳,377,105,179,17,63,81,40,34,45,12,46,9,15,27,17,36,41,9,101
障害者の年齢,50-59歳,588,132,268,26,95,118,50,18,73,18,52,10,5,34,19,51,67,15,200
障害者の年齢,60-69歳,454,75,211,25,92,112,34,9,58,11,53,6,7,22,15,35,51,10,161
障害者の年齢,70-120歳,658,116,275,29,151,156,41,16,49,8,43,6,7,26,16,40,51,11,260
障害者の性別,男性,1698,474,819,69,272,362,189,93,264,81,202,47,80,144,66,211,191,34,442
障害者の性別,女性,1404,386,644,79,283,325,152,104,195,52,143,35,66,108,60,144,131,27,424
障害者の性別,無回答・その他,124,31,44,3,15,18,21,6,9,5,10,3,3,11,4,10,4,2,43
障害種別,視覚障害,247,63,82,13,36,54,21,14,21,9,11,2,8,16,9,18,16,5,83
障害種別,聴覚・平衡機能障害,300,83,141,16,49,61,40,20,50,19,31,14,14,23,7,32,23,4,83
障害種別,音声・言語・そしゃく機能障害,135,32,55,2,21,31,19,9,15,8,9,5,8,9,6,19,19,5,40
障害種別,肢体不自由（上肢）,387,81,161,13,80,92,34,17,50,14,40,8,10,23,19,30,39,12,123
障害種別,肢体不自由（下肢）,684,128,279,31,139,143,56,22,79,23,62,9,14,41,26,61,75,19,255
障害種別,肢体不自由（体幹）,308,56,125,20,62,73,38,18,33,11,30,5,10,21,18,21,30,11,107
障害種別,肢体不自由（脳原性運動機能障害）,82,18,27,5,18,19,6,3,9,4,7,3,8,8,2,8,8,4,31
障害種別,内部障害,619,131,322,31,136,155,48,25,89,19,64,12,13,39,22,53,65,13,174
障害種別,知的障害,552,265,307,13,65,106,89,52,103,35,80,25,78,77,26,106,66,14,104
障害種別,精神障害,824,247,389,46,146,182,107,61,125,44,107,20,30,81,36,126,104,11,241
車椅子の必要性,必要とする,396,81,137,27,87,84,40,21,36,19,29,14,21,28,22,34,33,11,144
車椅子の必要性,必要としない,637,120,293,26,122,143,58,23,84,16,67,5,8,38,22,50,65,15,208
障害者手帳の有無,持っている,2103,597,1015,109,382,473,231,135,313,94,262,54,115,183,93,246,240,52,567
障害者手帳の有無,持っていない,1123,294,492,42,188,232,131,68,155,44,93,31,34,80,37,119,86,11,342
障害種別,身体障害者手帳　1級,461,96,221,27,90,106,34,19,58,18,47,12,15,31,19,37,57,10,141
障害種別,身体障害者手帳　2級,248,48,98,20,52,47,29,12,32,14,23,6,14,12,12,20,21,7,77
障害種別,身体障害者手帳　3級,225,54,96,9,36,37,20,8,35,5,18,4,10,15,2,17,14,6,69
障害種別,身体障害者手帳　4級,224,57,118,12,52,69,22,17,36,8,30,6,6,18,14,18,26,8,48
障害種別,身体障害者手帳　5級,92,20,36,4,14,24,2,9,7,4,7,1,0,6,2,6,7,2,29
障害種別,身体障害者手帳　6級,85,18,40,3,12,15,5,3,8,1,6,1,2,3,1,4,5,1,21
障害種別,療育手帳（愛の手帳）1度（最重度）,24,7,10,0,3,4,2,1,0,1,4,0,3,1,0,1,3,1,5
障害種別,療育手帳（愛の手帳）2度（重度）,96,50,56,1,14,19,11,9,12,5,16,1,23,9,1,17,17,5,11
障害種別,療育手帳（愛の手帳）3度（中度）,79,46,45,1,8,17,13,7,18,6,20,4,17,16,7,21,9,0,13
障害種別,療育手帳（愛の手帳）4度（軽度）,170,96,101,7,22,40,44,23,44,11,29,9,21,30,11,39,19,5,28
障害種別,精神障害者保健福祉手帳　1級,23,6,13,1,3,6,1,2,2,0,1,1,1,2,1,0,2,0,5
障害種別,精神障害者保健福祉手帳　2級,216,58,107,14,42,38,35,19,38,13,34,5,4,26,15,32,32,4,70
障害種別,精神障害者保健福祉手帳　3級,242,67,120,17,51,68,31,16,38,15,41,11,7,23,16,46,41,3,68
障害種別,障害者手帳は持っていない,1123,294,492,42,188,232,131,68,155,44,93,31,34,80,37,119,86,11,342
障害が発生した年齢２,出生時,852,300,365,40,105,133,112,75,130,43,83,25,68,79,32,104,63,12,187
障害が発生した年齢２,１０歳未満,340,140,194,12,51,75,74,44,83,34,51,18,44,46,21,74,34,11,46
障害が発生した年齢２,１０歳～１９歳,226,61,101,14,45,55,30,15,50,12,30,14,12,30,13,35,33,2,66
障害が発生した年齢２,２０歳以上,1808,390,847,85,369,442,146,69,205,49,191,28,25,108,64,152,196,38,610
障害が発生した年齢２,中途障害,2374,591,1142,111,465,572,250,128,338,95,272,60,81,184,98,261,263,51,722
