調査項目,回答,全体(人),自分の家(人),習いごと（塾や英会話等の学習系）(人),習いごと（スイミングやサッカー等のスポーツ系）(人),習いごと（音楽や習字等の芸術系）(人),児童通所サービス（放課後等デイサービス等）(人),学童保育(人),広場や公園(人),学校（校庭や体育館）(人),児童館や図書館などの公共施設(人),その他(人)
放課後の居場所,,504,345,75,59,41,156,34,35,35,16,8
障害者の年齢,7-17歳,472,327,72,55,34,152,31,34,34,15,6
障害者の年齢,18-19歳,10,5,2,2,0,3,1,0,0,0,1
障害者の年齢,20-29歳,22,13,1,2,7,1,2,1,1,1,1
障害者の年齢,30-39歳,0,0,0,0,0,0,0,0,0,0,0
障害者の年齢,40-49歳,0,0,0,0,0,0,0,0,0,0,0
障害者の年齢,50-59歳,0,0,0,0,0,0,0,0,0,0,0
障害者の年齢,60-69歳,0,0,0,0,0,0,0,0,0,0,0
障害者の年齢,70-120歳,0,0,0,0,0,0,0,0,0,0,0
障害者の性別,男性,283,191,33,37,20,95,19,19,26,10,6
障害者の性別,女性,196,135,35,19,20,59,15,16,8,5,2
障害者の性別,無回答・その他,25,19,7,3,1,2,0,0,1,1,0
障害種別,視覚障害,33,25,5,3,4,1,1,0,1,0,0
障害種別,聴覚・平衡機能障害,46,30,14,13,9,4,4,5,4,2,0
障害種別,音声・言語・そしゃく機能障害,20,14,1,5,2,2,2,2,0,0,1
障害種別,肢体不自由（上肢）,19,11,2,0,6,8,0,0,0,0,0
障害種別,肢体不自由（下肢）,34,20,8,4,7,18,8,7,1,0,0
障害種別,肢体不自由（体幹）,27,17,2,2,6,10,3,4,1,1,0
障害種別,肢体不自由（脳原性運動機能障害）,8,5,0,0,1,4,0,1,0,1,0
障害種別,内部障害,30,21,10,4,3,5,1,2,2,1,1
障害種別,知的障害,255,165,19,19,5,123,16,12,16,8,1
障害種別,精神障害,119,95,17,11,7,19,5,4,11,5,6
車椅子の必要性,必要とする,43,24,10,4,11,23,7,10,2,2,0
車椅子の必要性,必要としない,18,10,2,2,6,4,4,2,0,0,0
障害者手帳の有無,持っている,298,190,30,26,25,130,22,22,15,5,5
障害者手帳の有無,持っていない,206,155,45,33,16,26,12,13,20,11,3
障害種別,身体障害者手帳　1級,29,22,4,0,3,11,1,1,1,0,1
障害種別,身体障害者手帳　2級,29,17,8,4,7,12,8,8,1,0,0
障害種別,身体障害者手帳　3級,17,8,1,5,1,3,2,1,0,0,0
障害種別,身体障害者手帳　4級,12,7,4,2,5,5,0,0,1,1,0
障害種別,身体障害者手帳　5級,5,2,0,3,0,1,1,0,0,0,0
障害種別,身体障害者手帳　6級,13,10,3,3,3,1,0,1,0,0,0
障害種別,療育手帳（愛の手帳）1度（最重度）,8,6,0,0,1,3,0,0,0,0,0
障害種別,療育手帳（愛の手帳）2度（重度）,48,18,0,2,0,46,1,2,1,0,0
障害種別,療育手帳（愛の手帳）3度（中度）,43,21,1,4,1,31,2,3,2,2,0
障害種別,療育手帳（愛の手帳）4度（軽度）,79,61,6,4,3,26,9,6,6,2,1
障害種別,精神障害者保健福祉手帳　1級,2,0,0,1,1,0,0,0,0,0,0
障害種別,精神障害者保健福祉手帳　2級,13,12,2,0,0,3,0,0,1,0,2
障害種別,精神障害者保健福祉手帳　3級,20,18,3,0,2,0,0,0,2,0,1
障害種別,障害者手帳は持っていない,206,155,45,33,16,26,12,13,20,11,3
受傷の時期,生まれたとき,262,173,32,35,25,89,12,14,14,9,5
受傷の時期,生まれた後,242,172,43,24,16,67,22,21,21,7,3
障害の程度別,重度,105,57,12,6,12,63,9,11,3,0,1
障害の程度別,軽度,193,133,18,20,13,67,13,11,12,5,4
障害の程度別,障害者手帳は持っていない,206,155,45,33,16,26,12,13,20,11,3
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,75,23,18,10,4,6,10,1,3,1
