調査項目,回答,全体(人),家族(人),友人(人),学校や職場、施設の人(人),ボランティア(人),ホームヘルパー、ガイドヘルパーなどの支援者(人),医師や看護師、理学療法士、作業療法士などの医療関係者(人),テレビ(人),ラジオ(人),新聞(人),雑誌(人),障害者団体の会合や機関誌(人),検索エンジンを活用（Yahoo!、Googleなど）(人),インターネットのニュースサイトやニュースアプリ(人),ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）(人),動画配信サービス（YouTubeなど）(人),行政の窓口(人),区市町村などの広報誌(人),その他(人),わからない(人),得ていない(人)
情報入手先,,3226,1446,791,564,76,206,367,1551,314,466,199,80,743,1129,808,718,164,272,16,84,181
障害者の年齢,7-17歳,507,330,196,228,23,28,37,174,17,17,17,13,79,110,102,174,14,11,1,13,25
障害者の年齢,18-19歳,33,15,10,9,1,2,2,14,1,2,1,0,8,8,19,12,1,1,0,1,0
障害者の年齢,20-29歳,273,123,66,50,5,14,22,91,16,15,12,8,62,100,100,70,8,7,0,9,23
障害者の年齢,30-39歳,336,143,88,70,18,23,38,116,30,22,20,18,104,115,139,87,15,16,2,13,21
障害者の年齢,40-49歳,377,143,90,65,11,19,36,151,45,28,32,12,123,157,150,98,29,41,3,12,19
障害者の年齢,50-59歳,588,190,116,63,9,20,59,278,65,64,40,8,181,288,175,137,38,59,2,15,34
障害者の年齢,60-69歳,454,177,95,48,2,21,68,275,49,88,33,10,130,225,92,104,32,69,2,8,21
障害者の年齢,70-120歳,658,325,130,31,7,79,105,452,91,230,44,11,56,126,31,36,27,68,6,13,38
障害者の性別,男性,1698,697,374,312,41,97,171,809,175,253,113,49,473,703,432,430,80,144,8,34,89
障害者の性別,女性,1404,694,397,236,31,103,185,701,129,198,81,30,253,396,350,273,77,124,8,41,78
障害者の性別,無回答・その他,124,55,20,16,4,6,11,41,10,15,5,1,17,30,26,15,7,4,0,9,14
障害種別,視覚障害,247,95,57,32,7,21,25,96,26,29,13,6,37,54,43,33,9,12,0,11,28
障害種別,聴覚・平衡機能障害,300,148,87,56,7,16,31,136,23,59,27,5,46,86,56,42,10,17,1,9,15
障害種別,音声・言語・そしゃく機能障害,135,67,25,25,3,20,26,57,17,19,5,1,19,26,18,14,7,7,0,3,13
障害種別,肢体不自由（上肢）,387,161,81,45,5,51,69,189,47,51,13,10,81,148,85,51,12,28,3,8,22
障害種別,肢体不自由（下肢）,684,283,146,73,10,71,116,381,89,136,40,15,161,245,125,112,35,66,5,15,43
障害種別,肢体不自由（体幹）,308,131,53,42,6,44,55,159,37,46,16,7,64,95,57,52,20,28,2,5,22
障害種別,肢体不自由（脳原性運動機能障害）,82,37,11,13,3,12,13,38,8,6,0,4,12,21,11,11,9,9,3,3,13
障害種別,内部障害,619,280,155,70,10,19,78,359,69,129,57,14,148,268,154,128,39,84,0,15,27
障害種別,知的障害,552,321,132,215,20,37,37,202,25,22,15,19,89,117,98,149,22,16,3,18,40
障害種別,精神障害,824,325,197,131,16,29,81,331,66,62,46,19,257,345,329,267,54,77,5,16,50
車椅子の必要性,必要とする,396,184,75,62,15,89,82,193,53,58,17,16,57,81,55,53,20,26,4,12,24
車椅子の必要性,必要としない,637,254,134,56,6,34,85,365,76,135,39,7,165,277,137,111,34,65,5,10,35
障害者手帳の有無,持っている,2103,919,503,405,61,160,272,1038,218,310,122,71,531,796,532,487,123,212,13,53,96
障害者手帳の有無,持っていない,1123,527,288,159,15,46,95,513,96,156,77,9,212,333,276,231,41,60,3,31,85
障害種別,身体障害者手帳　1級,461,218,115,70,13,43,77,261,47,94,33,14,98,169,89,83,24,55,0,9,25
障害種別,身体障害者手帳　2級,248,106,55,34,9,19,37,131,36,44,15,14,64,91,58,45,12,23,3,5,10
障害種別,身体障害者手帳　3級,225,88,58,33,9,18,31,117,28,40,17,4,52,78,52,42,16,21,1,7,6
障害種別,身体障害者手帳　4級,224,89,59,23,8,20,33,133,35,52,13,9,60,96,50,43,17,29,1,4,7
障害種別,身体障害者手帳　5級,92,31,18,11,1,8,13,50,8,15,3,2,22,37,17,12,2,6,0,1,5
障害種別,身体障害者手帳　6級,85,26,19,9,0,9,9,41,6,12,5,1,21,33,18,14,3,6,0,2,6
障害種別,療育手帳（愛の手帳）1度（最重度）,24,12,2,7,3,3,0,4,0,1,1,1,0,1,2,1,0,0,1,1,5
障害種別,療育手帳（愛の手帳）2度（重度）,96,56,11,51,3,9,9,21,1,2,2,6,6,8,4,14,3,5,1,4,8
障害種別,療育手帳（愛の手帳）3度（中度）,79,47,17,41,9,11,4,29,6,4,2,3,10,16,11,22,6,4,0,2,4
障害種別,療育手帳（愛の手帳）4度（軽度）,170,107,63,70,5,6,10,83,7,11,4,7,43,59,39,62,8,3,1,7,2
障害種別,精神障害者保健福祉手帳　1級,23,10,1,4,1,4,4,10,2,2,3,0,5,4,5,6,2,0,0,0,0
障害種別,精神障害者保健福祉手帳　2級,216,74,46,30,3,14,27,87,19,12,9,8,73,103,83,67,22,36,2,8,11
障害種別,精神障害者保健福祉手帳　3級,242,90,55,42,3,8,30,100,27,26,18,8,91,128,120,93,18,30,3,4,13
障害種別,障害者手帳は持っていない,1123,527,288,159,15,46,95,513,96,156,77,9,212,333,276,231,41,60,3,31,85
