調査項目,回答,全体(人),持っている(人),持っていない(人)
障害者手帳の有無,,3226,2103,1123
障害者の年齢,7-17歳,507,296,211
障害者の年齢,18-19歳,33,23,10
障害者の年齢,20-29歳,273,190,83
障害者の年齢,30-39歳,336,214,122
障害者の年齢,40-49歳,377,254,123
障害者の年齢,50-59歳,588,410,178
障害者の年齢,60-69歳,454,327,127
障害者の年齢,70-120歳,658,389,269
障害者の性別,男性,1698,1195,503
障害者の性別,女性,1404,867,537
障害者の性別,無回答・その他,124,41,83
障害種別,視覚障害,247,110,137
障害種別,聴覚・平衡機能障害,300,140,160
障害種別,音声・言語・そしゃく機能障害,135,78,57
障害種別,肢体不自由（上肢）,387,303,84
障害種別,肢体不自由（下肢）,684,496,188
障害種別,肢体不自由（体幹）,308,200,108
障害種別,肢体不自由（脳原性運動機能障害）,82,58,24
障害種別,内部障害,619,434,185
障害種別,知的障害,552,425,127
障害種別,精神障害,824,512,312
車椅子の必要性,必要とする,396,320,76
車椅子の必要性,必要としない,637,404,233
障害種別,身体障害者手帳　1級,461,461,0
障害種別,身体障害者手帳　2級,248,248,0
障害種別,身体障害者手帳　3級,225,225,0
障害種別,身体障害者手帳　4級,224,224,0
障害種別,身体障害者手帳　5級,92,92,0
障害種別,身体障害者手帳　6級,85,85,0
障害種別,療育手帳（愛の手帳）1度（最重度）,24,24,0
障害種別,療育手帳（愛の手帳）2度（重度）,96,96,0
障害種別,療育手帳（愛の手帳）3度（中度）,79,79,0
障害種別,療育手帳（愛の手帳）4度（軽度）,170,170,0
障害種別,精神障害者保健福祉手帳　1級,23,23,0
障害種別,精神障害者保健福祉手帳　2級,216,216,0
障害種別,精神障害者保健福祉手帳　3級,242,242,0
障害種別,障害者手帳は持っていない,1123,0,1123
受傷の時期,生まれたとき,852,551,301
受傷の時期,生まれた後,2374,1552,822
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,24,65
学校の種別,小学校の普通学校（通級による指導あり）,38,16,22
学校の種別,小学校の普通学校（特別支援学級）,86,60,26
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,48,0
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,10,34
学校の種別,中学校の普通学校（通級による指導あり）,16,7,9
学校の種別,中学校の普通学校（特別支援学級）,39,33,6
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,36,4
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,15,35
学校の種別,高等学校の普通学校（通級による指導あり）,12,8,4
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,41,1
学校の種別,大学・短期大学,37,21,16
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,13,1
学校の種別,職業能力開発校、障害者職業能力開発校等,7,7,0
学校の種別,なし,136,92,44
仕事の有無,仕事をしている,1227,760,467
