調査項目,回答,全体(人),青ヶ島村(人),昭島市(人),あきる野市(人),足立区(人),荒川区(人),板橋区(人),稲城市(人),江戸川区(人),青梅市(人),大島町(人),大田区(人),小笠原村(人),奥多摩町(人),葛飾区(人),北区(人),清瀬市(人),国立市(人),神津島村(人),江東区(人),小金井市(人),国分寺市(人),小平市(人),狛江市(人),品川区(人),渋谷区(人),新宿区(人),杉並区(人),墨田区(人),世田谷区(人),台東区(人),立川市(人),多摩市(人),中央区(人),調布市(人),千代田区(人),豊島区(人),利島村(人),中野区(人),新島村(人),西東京市(人),練馬区(人),八王子市(人),八丈町(人),羽村市(人),東久留米市(人),東村山市(人),東大和市(人),日野市(人),日の出町(人),檜原村(人),府中市(人),福生市(人),文京区(人),町田市(人),御蔵島村(人),瑞穂町(人),三鷹市(人),港区(人),三宅村(人),武蔵野市(人),武蔵村山市(人),目黒区(人),上記以外(人)
回答者居住地域,,3226,2,23,23,164,48,146,25,162,31,2,168,0,33,104,88,22,18,2,115,27,25,53,21,89,47,72,125,53,201,39,45,43,35,72,14,60,1,70,0,64,187,148,3,10,28,32,14,46,3,1,58,13,43,91,1,4,46,56,1,35,19,55,0
回答者の年齢,7-17歳,29,0,1,1,3,0,0,0,2,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
回答者の年齢,18-19歳,17,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
回答者の年齢,20-29歳,195,0,2,3,12,6,7,3,13,3,1,12,0,2,6,4,0,1,1,4,4,1,5,1,7,3,7,4,3,16,1,2,1,1,3,2,5,0,1,0,2,15,5,0,0,0,4,0,3,0,0,1,0,1,4,0,0,0,5,0,2,1,5,0
回答者の年齢,30-39歳,417,1,2,3,26,2,22,5,19,4,1,21,0,4,16,9,7,0,0,19,3,2,9,2,14,5,12,11,5,29,7,7,4,3,6,1,11,0,14,0,5,16,14,0,4,1,4,2,6,0,1,10,2,6,11,0,0,7,9,0,5,3,5,0
回答者の年齢,40-49歳,776,0,5,10,40,14,32,2,39,8,0,38,0,8,18,26,4,11,0,22,6,4,10,5,24,6,21,31,13,46,7,9,12,10,20,5,8,0,16,0,11,48,45,1,3,5,6,3,16,2,0,16,2,13,17,0,1,17,20,0,5,6,9,0
回答者の年齢,50-59歳,980,1,8,4,44,15,46,7,46,7,0,44,0,11,35,23,6,3,1,37,4,12,15,7,23,18,20,48,22,57,19,14,11,17,16,4,19,0,21,0,24,55,44,2,1,11,11,5,11,0,0,16,2,12,32,1,1,14,15,1,12,4,21,0
回答者の年齢,60-69歳,588,0,3,2,27,9,31,4,38,8,0,33,0,6,23,19,5,2,0,23,5,4,8,3,14,14,10,19,6,31,2,7,11,2,21,1,13,0,11,0,12,42,27,0,2,7,6,2,6,1,0,10,5,7,16,0,1,4,3,0,8,3,11,0
回答者の年齢,70-120歳,224,0,2,0,9,2,8,4,5,1,0,17,0,2,5,6,0,1,0,9,4,2,5,3,6,1,0,12,3,20,3,5,3,2,5,0,4,0,7,0,8,11,6,0,0,3,1,2,4,0,0,4,2,3,11,0,0,3,3,0,3,1,3,0
障害者の年齢,7-17歳,507,0,5,9,29,10,18,3,42,4,0,25,0,1,11,12,3,6,1,14,4,2,9,4,20,4,11,13,13,25,3,5,6,5,8,1,4,0,6,0,13,29,32,0,2,4,4,2,12,0,0,9,0,6,14,0,1,13,13,0,8,2,7,0
障害者の年齢,18-19歳,33,0,0,0,1,1,1,0,1,2,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,2,0,5,0,0,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0
障害者の年齢,20-29歳,273,0,1,2,13,6,13,5,12,4,1,12,0,1,8,6,0,1,1,8,4,5,8,2,7,3,8,9,3,20,1,1,4,2,6,2,6,1,5,0,7,21,10,0,1,3,5,0,3,0,0,6,1,4,5,1,0,2,6,0,3,1,3,0
障害者の年齢,30-39歳,336,0,2,0,16,3,14,3,14,2,1,17,0,3,15,9,7,0,0,19,1,1,3,1,10,4,10,12,3,29,7,3,5,1,10,0,11,0,11,0,4,15,13,0,1,0,5,2,5,0,0,5,3,4,10,0,0,5,5,0,6,2,4,0
障害者の年齢,40-49歳,377,0,3,1,21,8,18,1,12,4,0,17,0,9,9,14,2,3,0,18,3,2,5,3,11,6,10,14,3,25,2,4,5,7,6,4,4,0,8,0,6,26,19,1,2,2,2,0,3,0,0,9,1,5,10,0,2,7,12,0,3,0,5,0
障害者の年齢,50-59歳,588,1,6,2,28,4,24,2,30,6,0,36,0,7,19,14,2,2,0,22,2,2,10,2,13,10,10,29,16,42,15,11,7,10,16,3,12,0,14,0,10,36,27,0,1,7,7,4,6,0,0,5,2,7,11,0,0,6,8,1,5,2,14,0
障害者の年齢,60-69歳,454,1,3,5,22,8,27,5,25,3,0,21,0,5,13,14,5,2,0,13,5,4,9,2,11,8,7,20,7,16,2,8,5,2,11,1,12,0,9,0,10,26,24,0,2,3,5,2,7,1,0,10,4,6,15,0,0,3,5,0,7,4,9,0
障害者の年齢,70-120歳,658,0,3,4,34,8,31,6,26,6,0,38,0,7,28,19,3,4,0,21,7,8,9,7,17,12,13,26,8,39,9,13,10,7,13,2,10,0,17,0,13,34,23,2,1,9,4,4,10,2,1,14,2,10,25,0,1,9,6,0,3,7,13,0
回答者の性別,男性,2014,2,8,14,99,29,91,13,91,26,1,109,0,21,64,61,13,10,1,66,16,18,30,14,55,26,50,81,34,123,19,26,28,21,47,10,37,0,49,0,50,129,91,3,7,17,22,9,29,1,1,33,10,25,58,0,1,24,27,1,23,11,39,0
回答者の性別,女性,1184,0,15,9,58,19,52,12,71,4,0,57,0,12,40,27,9,8,1,47,10,7,22,7,34,19,22,44,19,78,20,18,14,14,23,4,23,1,20,0,14,58,56,0,3,11,10,5,17,2,0,25,3,18,33,1,3,22,27,0,12,8,16,0
回答者の性別,無回答・その他,28,0,0,0,7,0,3,0,0,1,1,2,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
障害者の性別,男性,1698,1,10,12,93,24,75,14,80,11,1,84,0,17,52,49,9,11,1,59,16,14,28,10,43,19,43,67,30,99,21,23,20,21,35,9,34,0,37,0,38,104,90,2,5,12,21,8,25,1,1,31,7,21,36,1,2,32,28,1,21,11,28,0
障害者の性別,女性,1404,0,11,11,61,22,61,10,78,16,0,79,0,15,50,39,12,5,1,52,10,10,23,10,41,24,29,55,21,96,17,20,18,13,34,5,25,1,28,0,26,78,51,1,4,15,11,6,20,2,0,26,6,18,52,0,2,14,25,0,12,6,26,0
障害者の性別,無回答・その他,124,1,2,0,10,2,10,1,4,4,1,5,0,1,2,0,1,2,0,4,1,1,2,1,5,4,0,3,2,6,1,2,5,1,3,0,1,0,5,0,0,5,7,0,1,1,0,0,1,0,0,1,0,4,3,0,0,0,3,0,2,2,1,0
障害種別,視覚障害,186,0,1,4,9,2,6,0,12,2,0,17,0,3,4,2,2,2,0,3,2,2,5,0,5,4,6,18,2,10,5,3,0,1,2,2,3,0,3,0,5,8,7,0,2,1,0,1,3,1,0,0,0,1,4,0,1,0,4,0,0,0,6,0
障害種別,聴覚・平衡機能障害,222,0,2,0,14,2,13,4,12,3,0,12,0,2,10,3,1,3,0,9,2,2,2,0,8,6,5,8,3,15,1,5,4,3,4,1,4,1,8,0,4,6,14,0,0,1,3,0,0,0,0,6,1,0,5,0,0,1,4,0,1,3,1,0
障害種別,音声・言語・そしゃく機能障害,42,0,1,1,1,2,3,1,2,0,0,1,0,0,1,1,0,0,0,5,2,1,2,1,0,0,0,0,0,6,1,1,0,0,0,2,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
障害種別,肢体不自由（上肢）,289,0,2,3,17,3,16,3,13,1,0,12,0,2,10,9,3,3,0,11,3,0,4,1,7,6,4,12,4,13,6,7,5,4,6,0,4,0,6,0,9,21,12,1,2,3,1,0,4,0,0,8,2,2,3,0,1,3,5,0,5,1,6,0
障害種別,肢体不自由（下肢）,373,1,3,0,13,7,17,3,24,5,0,22,0,4,11,6,2,1,0,13,3,4,4,5,5,9,5,17,5,25,1,3,4,5,8,0,10,0,11,0,6,19,17,1,0,6,4,3,7,0,0,6,0,5,18,0,0,6,5,0,3,3,8,0
障害種別,肢体不自由（体幹）,294,0,0,1,13,3,14,4,16,7,0,13,0,2,10,14,1,2,0,11,2,2,8,1,9,3,5,12,5,15,4,4,7,4,5,3,4,0,5,0,4,24,14,1,0,1,2,1,4,0,0,6,1,4,3,1,0,4,4,1,5,1,4,0
障害種別,肢体不自由（脳原性運動機能障害）,16,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
