調査項目,回答,全体(人),旅行(人),グルメ・食べ歩き(人),買い物・ショッピング(人),テレビ視聴(人),動画配信サービス視聴(人),CDやスマートフォンによる音楽鑑賞(人),ＳＮＳ閲覧・投稿(人),インターネット閲覧(人),映画鑑賞(人),読書(人),アニメ／漫画(人),スマートフォン・家庭用ゲーム機によるゲーム(人),写真の撮影(人),遊園地・動物園・水族館などの見物(人),美術鑑賞(人),コンサートなどによる音楽鑑賞(人),演劇・舞踏鑑賞(人),カラオケ(人),楽器の演奏(人),料理・菓子作り(人),園芸・ガーデニング(人),日曜大工(人),編み物・手芸(人),和裁・洋裁(人),大道芸や手品等の鑑賞(人),ギャンブル(人),その他(人),特にない(人)
スポーツ以外に関心のある事,,3226,1225,1182,840,1133,912,481,528,957,765,563,592,615,289,347,293,350,178,330,161,284,189,75,123,46,33,103,134,322
障害者の年齢,7-17歳,507,160,166,89,164,236,87,70,138,94,49,157,190,64,111,20,29,16,59,33,52,11,8,9,3,11,0,12,45
障害者の年齢,18-19歳,33,12,17,10,9,13,11,15,10,6,3,13,14,4,6,1,3,2,8,3,3,2,1,1,1,1,2,1,1
障害者の年齢,20-29歳,273,95,99,87,68,104,50,71,89,52,24,73,81,30,34,24,41,13,39,9,21,6,1,16,4,2,7,11,29
障害者の年齢,30-39歳,336,130,144,111,92,112,67,92,115,91,54,104,90,39,51,29,46,17,62,20,35,14,7,32,4,8,10,11,22
障害者の年齢,40-49歳,377,155,165,129,106,128,77,92,151,103,87,100,87,39,45,45,52,26,43,23,48,21,11,13,5,4,22,15,33
障害者の年齢,50-59歳,588,253,242,173,185,150,90,108,211,173,116,100,80,50,49,59,80,47,56,33,53,29,15,13,7,2,32,25,60
障害者の年齢,60-69歳,454,211,167,119,193,126,68,67,146,137,116,40,49,35,34,53,48,26,32,25,38,35,18,14,10,1,12,26,36
障害者の年齢,70-120歳,658,209,182,122,316,43,31,13,97,109,114,5,24,28,17,62,51,31,31,15,34,71,14,25,12,4,18,33,96
障害者の性別,男性,1698,641,599,348,584,526,277,270,596,447,308,340,372,163,165,140,159,82,149,86,119,89,59,19,8,20,83,86,157
障害者の性別,女性,1404,538,543,462,516,361,193,243,338,298,245,235,226,116,171,147,180,94,177,70,152,96,15,101,38,12,19,42,136
障害者の性別,無回答・その他,124,46,40,30,33,25,11,15,23,20,10,17,17,10,11,6,11,2,4,5,13,4,1,3,0,1,1,6,29
障害種別,視覚障害,247,78,77,47,66,53,33,32,55,31,29,29,35,14,14,9,15,7,20,8,18,18,8,8,4,3,5,7,42
障害種別,聴覚・平衡機能障害,300,134,118,80,111,60,30,40,64,69,53,41,42,25,30,26,25,19,15,8,30,31,10,19,5,4,9,11,34
障害種別,音声・言語・そしゃく機能障害,135,42,41,28,39,25,14,17,24,21,13,14,16,5,8,9,18,8,7,6,15,11,3,6,2,0,7,6,20
障害種別,肢体不自由（上肢）,387,141,138,95,142,85,46,53,113,90,65,48,53,20,22,39,33,18,31,13,30,31,9,10,3,0,17,17,43
障害種別,肢体不自由（下肢）,684,251,241,164,271,135,86,85,184,167,129,76,90,49,42,64,69,41,58,28,52,50,23,27,9,3,26,33,79
障害種別,肢体不自由（体幹）,308,97,104,68,124,67,42,43,80,60,57,44,46,22,27,26,27,19,27,10,21,20,8,11,4,1,13,13,43
障害種別,肢体不自由（脳原性運動機能障害）,82,25,26,16,28,10,9,9,20,13,14,12,8,8,5,5,9,2,6,1,4,8,1,3,1,2,3,2,21
