調査項目,回答,全体(人),実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）(人),実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）(人),指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）(人),指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）(人),やったことはない(人)
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,,3226,515,390,758,257,2004
障害者の年齢,7-17歳,507,140,136,211,72,191
障害者の年齢,18-19歳,33,9,8,18,6,10
障害者の年齢,20-29歳,273,75,56,103,46,110
障害者の年齢,30-39歳,336,80,68,125,37,149
障害者の年齢,40-49歳,377,79,50,96,37,203
障害者の年齢,50-59歳,588,75,35,100,33,406
障害者の年齢,60-69歳,454,32,21,70,18,346
障害者の年齢,70-120歳,658,25,16,35,8,589
障害者の性別,男性,1698,266,193,432,124,1026
障害者の性別,女性,1404,226,182,301,121,905
障害者の性別,無回答・その他,124,23,15,25,12,73
障害種別,視覚障害,247,44,33,38,26,146
障害種別,聴覚・平衡機能障害,300,69,46,60,29,184
障害種別,音声・言語・そしゃく機能障害,135,17,15,23,9,91
障害種別,肢体不自由（上肢）,387,40,30,71,25,265
障害種別,肢体不自由（下肢）,684,64,47,112,34,504
障害種別,肢体不自由（体幹）,308,36,28,62,24,210
障害種別,肢体不自由（脳原性運動機能障害）,82,11,9,16,11,55
障害種別,内部障害,619,82,45,45,39,422
障害種別,知的障害,552,115,98,98,58,282
障害種別,精神障害,824,144,102,102,75,486
車椅子の必要性,必要とする,396,56,50,72,31,259
車椅子の必要性,必要としない,637,56,39,115,34,464
障害者手帳の有無,持っている,2103,331,255,520,167,1294
障害者手帳の有無,持っていない,1123,184,135,238,90,710
障害種別,身体障害者手帳　1級,461,58,39,80,24,316
障害種別,身体障害者手帳　2級,248,39,35,55,19,161
障害種別,身体障害者手帳　3級,225,33,23,49,20,139
障害種別,身体障害者手帳　4級,224,36,21,59,14,139
障害種別,身体障害者手帳　5級,92,14,13,20,4,58
障害種別,身体障害者手帳　6級,85,14,12,21,5,52
障害種別,療育手帳（愛の手帳）1度（最重度）,24,2,3,1,2,16
障害種別,療育手帳（愛の手帳）2度（重度）,96,11,10,19,9,67
障害種別,療育手帳（愛の手帳）3度（中度）,79,18,18,37,6,32
障害種別,療育手帳（愛の手帳）4度（軽度）,170,46,39,75,28,71
障害種別,精神障害者保健福祉手帳　1級,23,6,5,6,1,13
障害種別,精神障害者保健福祉手帳　2級,216,30,23,53,17,135
障害種別,精神障害者保健福祉手帳　3級,242,43,35,70,32,138
障害種別,障害者手帳は持っていない,1123,184,135,238,90,710
障害の程度別,重度,810,112,86,156,49,543
障害の程度別,軽度,1293,219,169,364,118,751
障害の程度別,障害者手帳は持っていない,1123,184,135,238,90,710
受傷の時期,生まれたとき,852,178,151,248,100,417
受傷の時期,生まれた後,2374,337,239,510,157,1587
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,31,27,38,15,26
学校の種別,小学校の普通学校（通級による指導あり）,38,19,20,21,5,10
学校の種別,小学校の普通学校（特別支援学級）,86,23,25,41,16,25
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,13,10,18,3,21
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,8,11,16,7,21
学校の種別,中学校の普通学校（通級による指導あり）,16,4,5,9,3,2
学校の種別,中学校の普通学校（特別支援学級）,39,9,9,15,4,14
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,9,6,8,3,20
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,13,16,24,10,15
学校の種別,高等学校の普通学校（通級による指導あり）,12,3,2,6,3,2
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,14,12,19,7,18
学校の種別,大学・短期大学,37,11,10,16,8,12
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,2,2,7,5,6
学校の種別,職業能力開発校、障害者職業能力開発校等,7,1,2,3,0,3
学校の種別,なし,136,28,22,48,16,74
仕事の有無,仕事をしている,1227,257,174,329,110,688
仕事の有無,仕事をしていない,1821,231,198,380,131,1214
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,27,18,49,16,102
平日・日中の居場所,自分の家,1843,233,155,333,113,1281
平日・日中の居場所,職場（一般企業など）,677,143,98,188,63,372
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,10,12,28,11,58
平日・日中の居場所,学校,362,102,103,167,54,130
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,18,20,26,10,81
平日・日中の居場所,入所施設,69,3,2,6,4,56
平日・日中の居場所,その他,38,6,0,10,2,26
放課後の居場所,自分の家,345,99,97,151,54,119
放課後の居場所,習いごと（塾や英会話等の学習系）,75,29,28,40,15,12
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,23,25,34,11,10
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,19,22,27,13,3
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,41,43,68,15,63
放課後の居場所,学童保育,34,16,16,18,8,9
放課後の居場所,広場や公園,35,22,19,28,13,2
放課後の居場所,学校（校庭や体育館）,35,16,13,20,7,7
放課後の居場所,児童館や図書館などの公共施設,16,7,7,13,5,2
放課後の居場所,その他,8,3,3,7,2,0
障害福祉サービスの利用状況,利用していない,2117,331,216,476,150,1362
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,37,36,47,18,132
障害福祉サービスの利用状況,重度訪問介護,29,6,6,6,6,15
障害福祉サービスの利用状況,同行援護,70,18,23,23,11,28
障害福祉サービスの利用状況,行動援護,81,18,18,23,11,40
障害福祉サービスの利用状況,重度障害者等包括支援,29,7,7,7,5,7
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,18,14,20,10,104
障害福祉サービスの利用状況,療養介護,34,9,13,10,7,15
障害福祉サービスの利用状況,生活介護,85,13,14,16,10,53
障害福祉サービスの利用状況,施設入所支援,43,0,2,5,3,35
障害福祉サービスの利用状況,自立訓練,65,12,7,17,6,40
障害福祉サービスの利用状況,就労移行支援,42,16,11,21,6,15
障害福祉サービスの利用状況,就労継続支援（A型）,23,6,8,8,4,8
障害福祉サービスの利用状況,就労継続支援（B型）,89,14,13,28,8,51
障害福祉サービスの利用状況,就労定着支援,19,7,5,9,3,5
障害福祉サービスの利用状況,自立生活援助,45,10,9,17,7,21
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,6,3,10,7,19
障害福祉サービスの利用状況,計画相談支援,51,17,13,24,5,20
障害福祉サービスの利用状況,地域相談支援,57,16,17,20,11,30
障害福祉サービスの利用状況,移動支援,76,11,9,18,6,47
障害福祉サービスの利用状況,地域活動支援センター,81,23,14,24,7,45
障害福祉サービスの利用状況,福祉ホーム,25,14,7,13,3,4
障害福祉サービスの利用状況,児童発達支援,55,24,23,28,16,13
障害福祉サービスの利用状況,医療型児童発達支援,11,6,7,6,3,1
障害福祉サービスの利用状況,放課後等デイサービス,208,39,38,70,18,114
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,5,6,3,2,2
障害福祉サービスの利用状況,保育所等訪問支援,5,2,3,3,1,2
障害福祉サービスの利用状況,訪問看護,179,14,12,26,10,134
障害福祉サービスの利用状況,訪問リハビリテーション,165,7,8,22,5,130
スポーツ運動の実施の有無,行っている,2091,449,332,582,211,1114
スポーツ運動の実施の有無,行っていない,1135,66,58,176,46,890
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,331,224,393,139,922
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,152,115,165,50,262
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,68,73,98,34,125
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,66,53,84,25,41
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,97,78,123,44,104
過去1年間の実施種目,ブラインドサッカー,24,13,18,9,6,1
過去1年間の実施種目,車いすテニス,15,9,8,7,6,3
過去1年間の実施種目,サウンドテーブルテニス,26,13,14,17,6,1
