区分１,区分２,部門,名称,説明
個人競技,陸上競技,身体・知的・精神障害部門,50m走（視覚障害音源走）,視力0～0.03、視野5度以内の視覚障害者による50m競走では、フィニッシュライン後方で鳴らす音源等を頼りに走ります。※視覚障害者の競走競技種目では、100ｍ走以上の距離について伴走者が認められています。
個人競技,陸上競技,身体・知的障害部門,100m走,-
個人競技,陸上競技,身体・知的障害部門,200m走,-
個人競技,陸上競技,知的障害部門,400m走,-
個人競技,陸上競技,身体・知的障害部門,800m走,-
個人競技,陸上競技,身体・知的障害部門,1500m走,-
個人競技,陸上競技,身体障害部門,スラローム,車いす使用者が参加する種目です。全長30mのコースに置かれた12の旗門を、白の旗門は前進、赤の旗門は後進で通過します。所要時間で勝敗を決めますが、旗門を倒したら1本につき5秒が加算されます。
個人競技,陸上競技,身体・知的障害部門,走高跳,-
個人競技,陸上競技,身体・知的障害部門,走幅跳,-
個人競技,陸上競技,身体・知的障害部門,立幅跳,-
個人競技,陸上競技,身体障害部門,砲丸投,-
個人競技,陸上競技,身体・知的・精神障害部門,ジャベリックスロー,ターボジャブという、ポリエチレン製で先端がやわらかく、長さ約70cm、重さ300gの安全な用具を投げてその距離を競います。やり投に代わる種目として行われ、ルールはやり投に準じます。
個人競技,陸上競技,身体・知的・精神障害部門,ソフトボール投,-
個人競技,陸上競技,身体障害部門,ビーンバッグ投,重度の障害がある車いす使用者を対象とした種目です。大豆などを入れた重さ150g、12cm四方の袋を投げます。足に乗せて蹴り出すなど、投げ方は自由ですが、助走をせず、車いす等を固定して座った姿勢から投げ始めます。
個人競技,陸上競技,知的障害部門,25m走（車椅子）,-
個人競技,陸上競技,身体障害部門,30m走（電動車椅子）,-
個人競技,陸上競技,知的障害部門,4×100mリレー,-
個人競技,水泳,身体・知的障害部門,自由形,距離は種目に応じて、25m、50m、100mなどがあります。日本水泳連盟競技規則に準じて行われますが、障害の種別によって水中スタートや浮助具の使用が認められます。また、視覚障害によりターンやゴールの判断ができない選手に対しては、主催者に許可された者が、指示棒などで合図をしてもよいことになっています。
