名称,説明,参考URL
アンプティサッカー,主に上肢、下肢の切断障害を持った選手がプレーするサッカーです。日常の生活や、医療目的で使用しているクラッチ（松葉杖）で競技を行います。足に障害を持つ人々にとっては、気楽に楽しめるスポーツであり、リハビリやメンタルヘルスケアにも取り入れられています。アンプティサッカーは７人制競技で、フィールドプレーヤー６名とゴールキーパーの計７名で行います。　フィールドプレーヤーは基本的には下肢切断者、ゴールキーパーは上肢切断者が担当します。フィールドプレーヤーは移動のためにクラッチを使用しますが、このクラッチをボール操作に使用することはできません。通常のサッカーと違って、オフサイドのルールは適用されず、選手交代は何回でも可能です。国際大会での試合時間は前後半２５分の、計５０分間で行われ、その間に１０分間のハーフタイムがあります。日本での歴史は比較的浅く、２０１０年に日本アンプティサッカー協会が設立されました。２０１５年現在で、日本アンプティサッカー協会に公認されているチームは全国で8つです。日本選手権は毎年９月から１２月の時期に開催され、２０１５年は１１月に富士通スタジアム川崎において６チームで争われます。ワールドカップは２年に１度開催され、日本は協会が設立された２０１０年のアルゼンチン大会から出場しています。２０１４年のメキシコ大会では、初勝利をあげて決勝トーナメントにも出場するなど、着実に代表のレベルは上がってきています。,http://tokyo-shospo-navi.info/sportsinfo/amputeefootball
ウィルチェアーラグビー,手や腕にも障害のある車いす選手が行う４人制のラグビーです。競技はバスケットボールコートで行います。ボールはバレーボール球を使用し、選手は蹴ること以外で前にも後ろにも運ぶことができます。試合は８分×４ピリオドでボールを持った選手がエンドライン上の２本のパイロンの間を通過することで得点になります。競技中は、相手チームの攻撃を防いだり、相手ディフェンスを押しのけたりするためにぶつかる(タックル)ことが認められています。選手は障害の程度によって0.5点から3.5点まで0.5点刻みの持ち点があり、コート上でプレーをする選手の持ち点の合計が8.0点以下になるように編成されています。,http://tokyo-shospo-navi.info/sportsinfo/wheelchairrugby
グランドソフトボール,グランドソフトボールは視覚障害者がプレーする、野球に似た競技です。ハンドボールと似た大きなボールを使用し、投手はボールを転がし、打者はバットで打ちます。選手は1チーム10人。男女の区分はありません。通常の野球のポジションに加えて、右遊撃手という独自のポジションがあります。10人のうち、全盲の選手を４人以上含めるのがルールです。ほかは弱視の選手で、大会によっては晴眼者を含める場合もあります。全盲の選手は、アイシェード(目隠し)と赤い布の腕章をつけて競技を行います。投手は必ず全盲の選手が務めます。言葉での指示は禁じられ、捕手は手を叩くことによって投手にストライクゾーンを伝えます。ハイレベルな大会では、変化球や剛速球を駆使した投球術も見どころです。走塁では、ランナーコーチが手を叩くことによって塁の方向を指示します。また、全盲選手同士が衝突する事故を避けるために、走塁用ベースと守備用ベースが分かれていることも特徴です。ボールが動いている間に全盲選手が捕球した場合、ゴロであってもアウトが宣告されます。外野にゴロが転がってもヒットとは断定できないので、走者がヒットと判断し進塁してしまい、併殺になることもあります。このルールがグランドソフトボールの奥深さでもあり、守備の上手な全盲選手の活躍で、ヒット性の当たりがアウトになってしまうことも珍しくありません。つまり、守備力の高い全盲選手の存在がチーム力を押し上げるという点が、グランドソフトボール独自の面白さともいえます。また、マウンドの半径1.5mの円内に送球されたときは試合停止(ボールデッド)となります。全盲選手がボールを持ったまま、どこに投げていいかわからず、その間に走者が走り放題になることを避けるための特別なルールです。,http://tokyo-shospo-navi.info/sportsinfo/grandsoftball
車いすテニス,車いすに乗って行うテニスです。コートやボール、ラケットなどはすべて一般のテニスと同じものを使います。車いすテニスも一般のテニスと同様、国際ランキング制度を採用しています。そのために、パラリンピックを目指すトップ選手たちは、年間を通じて世界各国を転戦しランキングの上位を目指して熱い戦いをしています。ルールは、ツーバウンドまで返球が認められている以外は一般のテニスと同じです。 競技は、男女別ほか、手に障害のある「クァード」と、それ以外の「オープン」に分かれて行われています。,http://tokyo-shospo-navi.info/sportsinfo/tennis
車いすバスケットボール,ルールは一般のバスケットボールに準じており、得点の種類やコートの広さ、リングの高さなどは同じです。車いすは日常使用のものではなく、高い敏捷性や回転性能をもった専用の車いすを使用します。ボールを保持した状態で２回まで車いすをこぐことが認められており（続けて３回こぐとトラベリング）、１回ドリブルすれば、またボールを保持したまま２回こぐことができるので、ダブルドリブルは適用されません。選手の障害状況に応じて持ち点が定められ、各自１．０点から４．５点まで０．５点きざみでクラス分けされています。低い点数ほど障害が重く、コート上でプレーしている５人の持ち点の合計を１４点以下にすることが必要です。車いすバスケットボールは、バスケットボールの技術に加え、車いすをこぐスピードや高い操作性が求められるアグレッシブなスポーツであり、障害者だけでなく、健常者でも競技を楽しむ人が増えています。,http://tokyo-shospo-navi.info/sportsinfo/wheelchairbasketball
車いすフェンシング,車いすフェンシングは脊髄損傷などの肢体不自由の方が対象で、車いすを床に固定して上半身だけで競技することが特徴です。障害の程度に応じて２つのクラスに分けられますが、基本的には通常のフェンシングとほぼ同じルール、用具で行われます。種目は男女ともに、フルーレ（胴体のみの突き）、エペ（上半身の突き）、サーブル（上半身の突きと斬り）の３種類があります。フルーレとサーブルには攻撃権があり、先に腕を伸ばし剣先を相手に向けた方に攻撃権が与えられ、その攻撃をかわされると相手に攻撃権が移動します。攻撃権がない状態で、相手の有効面を突いても得点は認められません。エペには攻撃権が存在せず、先に相手の有効面をついた方に得点が与えられます。通常のフェンシングと違い、車いすが固定されているため、前後のフットワークを活かすことができません。上半身の動きと剣さばきの技術やスピードが重要な競技になります。パラリンピックでは、第１回の１９６０年ローマ大会から正式競技として採用されていますが、出場権を得るには世界ランキング２０位以内に入ることが必要です。日本では競技人口はまだ少ないですが、フェンシング発祥のヨーロッパでは盛んに行われているスポーツです。,http://tokyo-shospo-navi.info/sportsinfo/wheelchairfencing
ゴールボール,視覚障害者のために考案された対戦型屋内競技で、パラリンピック種目になっています。アイシェード（見えないように加工した、スキーのゴーグル）をした３人の選手が自陣ゴールを守りながら、相手ゴールへとボールを転がして、得点を奪い合うゲームです。ロンドンパラリンピックでは、日本女子チームが金メダルをとりました。バレーボールコートと同じ広さで両端にサッカーと同じ形のゴールがあるコートを使用します。１チーム３人で鈴入りの専用ボールを使用します。選手はアイシェードをつけて、ボールの転がりの音などを頼りにプレーをします。そのため試合中は静かに観戦します。攻撃は、助走をつけてアンダースローでボールを転がすように投げます。この時、ボールの音を消すテクニックを使ったり、ディフェンスの弱点を見抜いて狙って投げる戦術を使ったりします。ディフェンスは、転がってくるボールの音などを頼りに３人で幅９ｍのゴールを守らないといけないため、身体を投げ出し、ディフェンスシフトを組み立てて守っていきます。１試合１２分ハーフで行います。,http://tokyo-shospo-navi.info/sportsinfo/goalball
サウンドテーブルテニス（ＳＴＴ）,全国障害者スポーツ大会の競技のひとつで、視覚障害者が行う卓球です。ネットの下があいており、そのネットの下にボールをとおして、転がして競技を行います。障害の程度によるハンデをなくすため、選手はアイマスクをつけています。ボールの中に金属球を４つ入れて音を出し、その音を頼りに競技を行い、打球音がわかるようにラバーのないラケットを使っています。また、卓球台は平坦で継ぎ目のないサウンドテーブルテニス専用の卓球台を使用しています。,http://tokyo-shospo-navi.info/sportsinfo/stt
視覚障害柔道,視覚障害者による競技です。試合会場、道着などは一般の柔道と同じです。障害の程度によるクラス分けがなく、弱視の選手や全盲の選手関係なく、体重別の階級で戦います。競技は、国際柔道連盟の競技規則をもとに行われますが、試合開始の際には、選手がお互い組み合ってから試合が始まります。視覚障害者も、一般の選手と同じように昇段試験があり、同じ基準で段位を取得しています。,http://tokyo-shospo-navi.info/sportsinfo/judo
シッティングバレーボール,シッティングバレーボールは、名前の通り座ったまま競技をする下肢に障害のある選手が行うバレーボールです。コートの大きさは一般のバレーボールコートよりも狭く、ネットも低く設定されています。(男子1.5m・女1.05m）6人制のバレーボール規則に準じて行われますが、選手はプレー中には臀部（おしり）を床から離してはいけないというルールがあります。,http://tokyo-shospo-navi.info/sportsinfo/sittingvolleyball
